26 325
0 1 83
0 2 93
0 3 129
0 4 133
0 5 139
0 6 151
0 7 169
0 8 135
0 9 114
0 10 110
0 11 98
0 12 99
0 13 95
0 14 81
0 15 152
0 16 159
0 17 181
0 18 172
0 19 185
0 20 147
0 21 157
0 22 185
0 23 220
0 24 127
0 25 181
1 2 40
1 3 53
1 4 62
1 5 64
1 6 91
1 7 116
1 8 93
1 9 84
1 10 95
1 11 98
1 12 89
1 13 68
1 14 67
1 15 127
1 16 156
1 17 175
1 18 152
1 19 165
1 20 160
1 21 180
1 22 223
1 23 268
1 24 179
1 25 197
2 3 42
2 4 42
2 5 49
2 6 59
2 7 81
2 8 54
2 9 44
2 10 58
2 11 64
2 12 54
2 13 31
2 14 36
2 15 86
2 16 117
2 17 135
2 18 112
2 19 125
2 20 124
2 21 147
2 22 193
2 23 241
2 24 157
2 25 161
3 4 11
3 5 11
3 6 46
3 7 72
3 8 65
3 9 70
3 10 88
3 11 100
3 12 89
3 13 66
3 14 76
3 15 102
3 16 142
3 17 156
3 18 127
3 19 139
3 20 155
3 21 180
3 22 228
3 23 278
3 24 197
3 25 190
4 5 9
4 6 35
4 7 61
4 8 55
4 9 62
4 10 82
4 11 95
4 12 84
4 13 62
4 14 74
4 15 93
4 16 133
4 17 146
4 18 117
4 19 128
4 20 148
4 21 173
4 22 222
4 23 272
4 24 194
4 25 182
5 6 39
5 7 65
5 8 63
5 9 71
5 10 90
5 11 103
5 12 92
5 13 71
5 14 82
5 15 100
5 16 141
5 17 153
5 18 124
5 19 135
5 20 156
5 21 181
5 22 230
5 23 280
5 24 202
5 25 190
6 7 26
6 8 34
6 9 52
6 10 71
6 11 88
6 12 77
6 13 63
6 14 78
6 15 66
6 16 110
6 17 119
6 18 88
6 19 98
6 20 130
6 21 156
6 22 206
6 23 257
6 24 188
6 25 160
7 8 37
7 9 59
7 10 75
7 11 92
7 12 83
7 13 76
7 14 91
7 15 54
7 16 98
7 17 103
7 18 70
7 19 78
7 20 122
7 21 148
7 22 198
7 23 250
7 24 188
7 25 148
8 9 22
8 10 39
8 11 56
8 12 47
8 13 40
8 14 55
8 15 37
8 16 78
8 17 91
8 18 62
8 19 74
8 20 96
8 21 122
8 22 172
8 23 223
8 24 155
8 25 128
9 10 20
9 11 36
9 12 26
9 13 20
9 14 34
9 15 43
9 16 74
9 17 91
9 18 68
9 19 82
9 20 86
9 21 111
9 22 160
9 23 210
9 24 136
9 25 121
10 11 18
10 12 11
10 13 27
10 14 32
10 15 42
10 16 61
10 17 80
10 18 64
10 19 77
10 20 68
10 21 92
10 22 140
10 23 190
10 24 116
10 25 103
11 12 11
11 13 34
11 14 31
11 15 56
11 16 63
11 17 85
11 18 75
11 19 87
11 20 62
11 21 83
11 22 129
11 23 178
11 24 100
11 25 99
12 13 23
12 14 24
12 15 53
12 16 68
12 17 89
12 18 74
12 19 87
12 20 71
12 21 93
12 22 140
12 23 189
12 24 111
12 25 107
13 14 15
13 15 62
13 16 87
13 17 106
13 18 87
13 19 100
13 20 93
13 21 116
13 22 163
13 23 212
13 24 132
13 25 130
14 15 73
14 16 92
14 17 112
14 18 96
14 19 109
14 20 93
14 21 113
14 22 158
14 23 205
14 24 122
14 25 130
15 16 44
15 17 54
15 18 26
15 19 39
15 20 68
15 21 94
15 22 144
15 23 196
15 24 139
15 25 95
16 17 22
16 18 34
16 19 38
16 20 30
16 21 53
16 22 102
16 23 154
16 24 109
16 25 51
17 18 33
17 19 29
17 20 46
17 21 64
17 22 107
17 23 157
17 24 125
17 25 51
18 19 13
18 20 63
18 21 87
18 22 135
18 23 186
18 24 141
18 25 81
19 20 68
19 21 90
19 22 136
19 23 186
19 24 148
19 25 79
20 21 26
20 22 77
20 23 128
20 24 80
20 25 37
21 22 50
21 23 102
21 24 65
21 25 27
22 23 51
22 24 64
22 25 58
23 24 93
23 25 107
24 25 90
