17 136
0 1 633
0 2 257
0 3 91
0 4 412
0 5 150
0 6 80
0 7 134
0 8 259
0 9 505
0 10 353
0 11 324
0 12 70
0 13 211
0 14 268
0 15 246
0 16 121
1 2 390
1 3 661
1 4 227
1 5 488
1 6 572
1 7 530
1 8 555
1 9 289
1 10 282
1 11 638
1 12 567
1 13 466
1 14 420
1 15 745
1 16 518
2 3 228
2 4 169
2 5 112
2 6 196
2 7 154
2 8 372
2 9 262
2 10 110
2 11 437
2 12 191
2 13 74
2 14 53
2 15 472
2 16 142
3 4 383
3 5 120
3 6 77
3 7 105
3 8 175
3 9 476
3 10 324
3 11 240
3 12 27
3 13 182
3 14 239
3 15 237
3 16 84
4 5 267
4 6 351
4 7 309
4 8 338
4 9 196
4 10 61
4 11 421
4 12 346
4 13 243
4 14 199
4 15 528
4 16 297
5 6 63
5 7 34
5 8 264
5 9 360
5 10 208
5 11 329
5 12 83
5 13 105
5 14 123
5 15 364
5 16 35
6 7 29
6 8 232
6 9 444
6 10 292
6 11 297
6 12 47
6 13 150
6 14 207
6 15 332
6 16 29
7 8 249
7 9 402
7 10 250
7 11 314
7 12 68
7 13 108
7 14 165
7 15 349
7 16 36
8 9 495
8 10 352
8 11 95
8 12 189
8 13 326
8 14 383
8 15 202
8 16 236
9 10 154
9 11 578
9 12 439
9 13 336
9 14 240
9 15 685
9 16 390
10 11 435
10 12 287
10 13 184
10 14 140
10 15 542
10 16 238
11 12 254
11 13 391
11 14 448
11 15 157
11 16 301
12 13 145
12 14 202
12 15 289
12 16 55
13 14 57
13 15 426
13 16 96
14 15 483
14 16 153
15 16 336
