50 25
0 1 53
0 2 73
0 3 95
0 4 72
0 5 52
0 6 0
0 7 56
0 8 64
0 9 12
0 10 8
0 11 92
0 12 80
0 13 48
0 14 29
0 15 82
0 16 70
0 17 91
0 18 71
0 19 93
0 20 17
0 21 71
0 22 66
0 23 82
0 24 69
0 25 74
0 26 85
0 27 76
0 28 44
0 29 89
0 30 18
0 31 99
0 32 15
0 33 3
0 34 50
0 35 49
0 36 10
0 37 94
0 38 35
0 39 49
0 40 40
0 41 85
0 42 50
0 43 70
0 44 39
0 45 56
0 46 1
0 47 55
0 48 30
0 49 47
1 2 78
1 3 23
1 4 100
1 5 70
1 6 70
1 7 74
1 8 41
1 9 37
1 10 13
1 11 34
1 12 80
1 13 45
1 14 88
1 15 35
1 16 76
1 17 96
1 18 7
1 19 74
1 20 25
1 21 83
1 22 83
1 23 88
1 24 0
1 25 52
1 26 50
1 27 80
1 28 46
1 29 4
1 30 55
1 31 25
1 32 60
1 33 87
1 34 5
1 35 31
1 36 3
1 37 86
1 38 0
1 39 85
1 40 2
1 41 42
1 42 100
1 43 23
1 44 62
1 45 17
1 46 69
1 47 44
1 48 77
1 49 42
2 3 15
2 4 44
2 5 87
2 6 92
2 7 37
2 8 8
2 9 83
2 10 74
2 11 18
2 12 92
2 13 4
2 14 36
2 15 73
2 16 83
2 17 43
2 18 2
2 19 18
2 20 12
2 21 41
2 22 42
2 23 60
2 24 65
2 25 79
2 26 38
2 27 55
2 28 47
2 29 31
2 30 91
2 31 81
2 32 72
2 33 3
2 34 82
2 35 6
2 36 20
2 37 57
2 38 83
2 39 43
2 40 15
2 41 68
2 42 26
2 43 97
2 44 71
2 45 41
2 46 60
2 47 60
2 48 14
2 49 38
3 4 10
3 5 35
3 6 16
3 7 46
3 8 18
3 9 83
3 10 69
3 11 36
3 12 89
3 13 30
3 14 36
3 15 72
3 16 25
3 17 0
3 18 79
3 19 87
3 20 23
3 21 83
3 22 29
3 23 22
3 24 2
3 25 77
3 26 62
3 27 76
3 28 82
3 29 13
3 30 48
3 31 98
3 32 70
3 33 72
3 34 28
3 35 41
3 36 34
3 37 37
3 38 40
3 39 62
3 40 85
3 41 99
3 42 90
3 43 83
3 44 43
3 45 22
3 46 71
3 47 29
3 48 71
3 49 68
4 5 66
4 6 78
4 7 26
4 8 43
4 9 65
4 10 9
4 11 53
4 12 64
4 13 11
4 14 33
4 15 28
4 16 41
4 17 30
4 18 18
4 19 27
4 20 82
4 21 26
4 22 95
4 23 72
4 24 70
4 25 74
4 26 82
4 27 55
4 28 4
4 29 69
4 30 3
4 31 95
4 32 89
4 33 65
4 34 98
4 35 40
4 36 21
4 37 76
4 38 90
4 39 72
4 40 79
4 41 95
4 42 67
4 43 77
4 44 93
4 45 90
4 46 60
4 47 61
4 48 68
4 49 68
5 6 70
5 7 22
5 8 13
5 9 82
5 10 94
5 11 11
5 12 13
5 13 21
5 14 45
5 15 27
5 16 68
5 17 97
5 18 62
5 19 59
5 20 64
5 21 95
5 22 19
5 23 0
5 24 52
5 25 46
5 26 87
5 27 89
5 28 39
5 29 46
5 30 1
5 31 47
5 32 4
5 33 71
5 34 27
5 35 8
5 36 22
5 37 79
5 38 50
5 39 23
5 40 40
5 41 10
5 42 96
5 43 31
5 44 44
5 45 50
5 46 77
5 47 1
5 48 8
5 49 20
6 7 68
6 8 62
6 9 16
6 10 4
6 11 11
6 12 53
6 13 63
6 14 74
6 15 3
6 16 8
6 17 67
6 18 11
6 19 24
6 20 62
6 21 60
6 22 98
6 23 15
6 24 15
6 25 87
6 26 4
6 27 79
6 28 8
6 29 89
6 30 71
6 31 73
6 32 35
6 33 70
6 34 61
6 35 5
6 36 89
6 37 25
6 38 12
6 39 3
6 40 65
6 41 20
6 42 90
6 43 29
6 44 84
6 45 81
6 46 44
6 47 27
6 48 90
6 49 44
7 8 89
7 9 75
7 10 21
7 11 10
7 12 21
7 13 1
7 14 31
7 15 47
7 16 69
7 17 78
7 18 60
7 19 10
7 20 41
7 21 72
7 22 39
7 23 69
7 24 63
7 25 65
7 26 48
7 27 79
7 28 53
7 29 84
7 30 69
7 31 70
7 32 90
7 33 83
7 34 100
7 35 51
7 36 100
7 37 54
7 38 81
7 39 82
7 40 45
7 41 63
7 42 24
7 43 57
7 44 34
7 45 31
7 46 51
7 47 24
7 48 46
7 49 50
8 9 77
8 10 74
8 11 46
8 12 50
8 13 63
8 14 74
8 15 29
8 16 93
8 17 4
8 18 18
8 19 68
8 20 67
8 21 80
8 22 34
8 23 44
8 24 73
8 25 46
8 26 4
8 27 64
8 28 73
8 29 21
8 30 42
8 31 16
8 32 30
8 33 23
8 34 7
8 35 47
8 36 41
8 37 77
8 38 98
8 39 59
8 40 8
8 41 83
8 42 8
8 43 74
8 44 70
8 45 2
8 46 14
8 47 21
8 48 57
8 49 90
9 10 23
9 11 71
9 12 94
9 13 60
9 14 29
9 15 27
9 16 19
9 17 69
9 18 28
9 19 22
9 20 55
9 21 71
9 22 29
9 23 60
9 24 47
9 25 36
9 26 96
9 27 16
9 28 75
9 29 24
9 30 34
9 31 96
9 32 67
9 33 34
9 34 48
9 35 41
9 36 57
9 37 4
9 38 22
9 39 36
9 40 58
9 41 54
9 42 39
9 43 15
9 44 28
9 45 85
9 46 28
9 47 98
9 48 36
9 49 25
10 11 29
10 12 31
10 13 50
10 14 2
10 15 1
10 16 79
10 17 1
10 18 85
10 19 4
10 20 34
10 21 34
10 22 23
10 23 84
10 24 94
10 25 2
10 26 60
10 27 85
10 28 74
10 29 69
10 30 94
10 31 67
10 32 41
10 33 98
10 34 84
