63 31
0 1 48
0 2 9
0 3 65
0 4 44
0 5 86
0 6 55
0 7 1
0 8 57
0 9 2
0 10 38
0 11 23
0 12 14
0 13 69
0 14 86
0 15 38
0 16 72
0 17 90
0 18 72
0 19 76
0 20 35
0 21 16
0 22 81
0 23 59
0 24 70
0 25 52
0 26 56
0 27 6
0 28 70
0 29 44
0 30 87
0 31 80
0 32 66
0 33 97
0 34 66
0 35 25
0 36 64
0 37 10
0 38 75
0 39 89
0 40 28
0 41 70
0 42 74
0 43 32
0 44 56
0 45 100
0 46 24
0 47 100
0 48 37
0 49 14
0 50 62
0 51 47
0 52 89
0 53 14
0 54 23
0 55 20
0 56 23
0 57 80
0 58 12
0 59 56
0 60 22
0 61 66
0 62 61
1 2 6
1 3 69
1 4 29
1 5 54
1 6 24
1 7 29
1 8 42
1 9 35
1 10 57
1 11 36
1 12 29
1 13 35
1 14 61
1 15 59
1 16 81
1 17 70
1 18 45
1 19 91
1 20 92
1 21 97
1 22 50
1 23 41
1 24 77
1 25 46
1 26 92
1 27 33
1 28 94
1 29 89
1 30 26
1 31 98
1 32 61
1 33 67
1 34 23
1 35 34
1 36 41
1 37 6
1 38 34
1 39 62
1 40 97
1 41 88
1 42 27
1 43 19
1 44 33
1 45 25
1 46 0
1 47 73
1 48 47
1 49 32
1 50 6
1 51 12
1 52 36
1 53 14
1 54 63
1 55 98
1 56 10
1 57 22
1 58 73
1 59 34
1 60 49
1 61 48
1 62 6
2 3 3
2 4 29
2 5 95
2 6 51
2 7 51
2 8 13
2 9 38
2 10 73
2 11 31
2 12 35
2 13 39
2 14 30
2 15 73
2 16 59
2 17 23
2 18 46
2 19 86
2 20 49
2 21 2
2 22 48
2 23 38
2 24 46
2 25 63
2 26 21
2 27 37
2 28 63
2 29 71
2 30 62
2 31 4
2 32 62
2 33 95
2 34 38
2 35 71
2 36 96
2 37 24
2 38 5
2 39 29
2 40 97
2 41 45
2 42 18
2 43 96
2 44 97
2 45 29
2 46 79
