29 434
1 2 97
1 3 205
1 4 139
1 5 86
1 6 60
1 7 220
1 8 65
1 9 111
1 10 115
1 11 227
1 12 95
1 13 82
1 14 225
1 15 168
1 16 103
1 17 266
1 18 205
1 19 149
1 20 120
1 21 58
1 22 257
1 23 152
1 24 52
1 25 180
1 26 136
1 27 82
1 28 34
1 29 145
2 3 129
2 4 103
2 5 71
2 6 105
2 7 258
2 8 154
2 9 112
2 10 65
2 11 204
2 12 150
2 13 87
2 14 176
2 15 137
2 16 142
2 17 204
2 18 148
2 19 148
2 20 49
2 21 41
2 22 211
2 23 226
2 24 116
2 25 197
2 26 89
2 27 153
2 28 124
2 29 74
3 4 219
3 5 125
3 6 175
3 7 386
3 8 269
3 9 134
3 10 184
3 11 313
3 12 201
3 13 215
3 14 267
3 15 248
3 16 271
3 17 274
3 18 236
3 19 272
3 20 160
3 21 151
3 22 300
3 23 350
3 24 239
3 25 322
3 26 78
3 27 276
3 28 220
3 29 60
4 5 167
4 6 182
4 7 180
4 8 162
4 9 208
4 10 39
4 11 102
4 12 227
4 13 60
4 14 86
4 15 34
4 16 96
4 17 129
4 18 69
4 19 58
4 20 60
4 21 120
4 22 119
4 23 192
4 24 114
4 25 110
4 26 192
4 27 136
4 28 173
4 29 173
5 6 51
5 7 296
5 8 150
5 9 42
5 10 131
5 11 268
5 12 88
5 13 131
5 14 245
5 15 201
5 16 175
5 17 275
5 18 218
5 19 202
5 20 119
5 21 50
5 22 281
5 23 238
5 24 131
5 25 244
5 26 51
5 27 166
5 28 95
5 29 69
6 7 279
6 8 114
6 9 56
6 10 150
6 11 278
6 12 46
6 13 133
6 14 266
6 15 214
6 16 162
6 17 302
6 18 242
6 19 203
6 20 146
6 21 67
6 22 300
6 23 205
6 24 111
6 25 238
6 26 98
6 27 139
6 28 52
6 29 120
7 8 178
7 9 328
7 10 206
7 11 147
7 12 308
7 13 172
7 14 203
7 15 165
7 16 121
7 17 251
7 18 216
7 19 122
7 20 231
7 21 249
7 22 209
7 23 111
7 24 169
7 25 72
7 26 338
7 27 144
7 28 237
7 29 331
8 9 169
8 10 151
8 11 227
8 12 133
8 13 104
8 14 242
8 15 182
8 16 84
8 17 290
8 18 230
8 19 146
8 20 165
8 21 121
8 22 270
8 23 91
8 24 48
8 25 158
8 26 200
8 27 39
8 28 64
8 29 210
9 10 172
9 11 309
9 12 68
9 13 169
9 14 286
9 15 242
9 16 208
9 17 315
9 18 259
9 19 240
9 20 160
9 21 90
9 22 322
9 23 260
9 24 160
9 25 281
9 26 57
9 27 192
9 28 107
9 29 90
10 11 140
10 12 195
10 13 51
10 14 117
10 15 72
10 16 104
10 17 153
10 18 93
10 19 88
10 20 25
10 21 85
10 22 152
10 23 200
10 24 104
10 25 139
10 26 154
10 27 134
10 28 149
10 29 135
11 12 320
11 13 146
11 14 64
11 15 68
11 16 143
11 17 106
11 18 88
11 19 81
11 20 159
11 21 219
11 22 63
11 23 216
11 24 187
11 25 88
11 26 293
11 27 191
11 28 258
11 29 272
12 13 174
12 14 311
12 15 258
12 16 196
12 17 347
12 18 288
12 19 243
12 20 192
12 21 113
12 22 345
12 23 222
12 24 144
12 25 274
12 26 124
12 27 165
12 28 71
12 29 153
13 14 144
13 15 86
13 16 57
13 17 189
13 18 128
13 19 71
13 20 71
13 21 82
13 22 176
13 23 150
13 24 56
13 25 114
13 26 168
13 27 83
13 28 115
13 29 160
14 15 61
14 16 165
14 17 51
14 18 32
14 19 105
14 20 127
14 21 201
14 22 36
14 23 254
14 24 196
14 25 136
14 26 260
14 27 212
14 28 258
14 29 234
15 16 106
15 17 110
15 18 56
15 19 49
15 20 91
15 21 153
15 22 91
15 23 197
15 24 136
15 25 94
15 26 225
15 27 151
15 28 201
15 29 205
16 17 215
16 18 159
16 19 64
16 20 126
16 21 128
16 22 190
16 23 98
16 24 53
16 25 78
16 26 218
16 27 48
16 28 127
16 29 214
17 18 61
17 19 155
17 20 157
17 21 235
17 22 47
17 23 305
17 24 243
17 25 186
17 26 282
17 27 261
17 28 300
17 29 252
18 19 105
18 20 100
18 21 176
18 22 66
18 23 253
18 24 183
18 25 146
18 26 231
18 27 203
18 28 239
18 29 204
19 20 113
19 21 152
19 22 127
19 23 150
19 24 106
19 25 52
19 26 235
19 27 112
19 28 179
19 29 221
20 21 79
20 22 163
20 23 220
20 24 119
20 25 164
20 26 135
20 27 152
20 28 153
20 29 114
21 22 236
21 23 201
21 24 90
21 25 195
21 26 90
21 27 127
21 28 84
21 29 91
22 23 273
22 24 226
22 25 148
22 26 296
22 27 238
22 28 291
22 29 269
23 24 112
23 25 130
23 26 286
23 27 74
23 28 155
23 29 291
24 25 130
24 26 178
24 27 38
24 28 75
24 29 180
25 26 281
25 27 120
25 28 205
25 29 270
26 27 213
26 28 145
26 29 36
27 28 94
27 29 217
28 29 162
