29 840
1 2 107
1 3 241
1 4 190
1 5 124
1 6 80
1 7 316
1 8 76
1 9 152
1 10 157
1 11 283
1 12 133
1 13 113
1 14 297
1 15 228
1 16 129
1 17 348
1 18 276
1 19 188
1 20 150
1 21 65
1 22 341
1 23 184
1 24 67
1 25 221
1 26 169
1 27 108
1 28 45
1 29 167
2 3 148
2 4 137
2 5 88
2 6 127
2 7 336
2 8 183
2 9 134
2 10 95
2 11 254
2 12 180
2 13 101
2 14 234
2 15 175
2 16 176
2 17 265
2 18 199
2 19 182
2 20 67
2 21 42
2 22 278
2 23 271
2 24 146
2 25 251
2 26 105
2 27 191
2 28 139
2 29 79
3 4 374
3 5 171
3 6 259
3 7 509
3 8 317
3 9 217
3 10 232
3 11 491
3 12 312
3 13 280
3 14 391
3 15 412
3 16 349
3 17 422
3 18 356
3 19 355
3 20 204
3 21 182
3 22 435
3 23 417
3 24 292
3 25 424
3 26 116
3 27 337
3 28 273
3 29 77
4 5 202
4 6 234
4 7 222
4 8 192
4 9 248
4 10 42
4 11 117
4 12 287
4 13 79
4 14 107
4 15 38
4 16 121
4 17 152
4 18 86
4 19 68
4 20 70
4 21 137
4 22 151
4 23 239
4 24 135
4 25 137
4 26 242
4 27 165
4 28 228
4 29 205
5 6 61
5 7 392
5 8 202
5 9 46
5 10 160
5 11 319
5 12 112
5 13 163
5 14 322
5 15 240
5 16 232
5 17 314
5 18 287
5 19 238
5 20 155
5 21 65
5 22 366
5 23 300
5 24 175
5 25 307
5 26 57
5 27 220
5 28 121
5 29 97
6 7 386
6 8 141
6 9 72
6 10 167
6 11 351
6 12 55
6 13 157
6 14 331
6 15 272
6 16 226
6 17 362
6 18 296
6 19 232
6 20 164
6 21 85
6 22 375
6 23 249
6 24 147
6 25 301
6 26 118
6 27 188
6 28 60
6 29 185
7 8 233
7 9 438
7 10 254
7 11 202
7 12 439
7 13 235
7 14 254
7 15 210
7 16 187
7 17 313
7 18 266
7 19 154
7 20 282
7 21 321
7 22 298
7 23 168
7 24 249
7 25 95
7 26 437
7 27 190
7 28 314
7 29 435
8 9 213
8 10 188
8 11 272
8 12 193
8 13 131
8 14 302
8 15 233
8 16 98
8 17 344
8 18 289
8 19 177
8 20 216
8 21 141
8 22 346
8 23 108
8 24 57
8 25 190
8 26 245
8 27 43
8 28 81
8 29 243
9 10 206
9 11 365
9 12 89
9 13 209
9 14 368
9 15 286
9 16 278
9 17 360
9 18 333
9 19 284
9 20 201
9 21 111
9 22 412
9 23 321
9 24 221
9 25 353
9 26 72
9 27 266
9 28 132
9 29 111
10 11 159
10 12 220
10 13 57
10 14 149
10 15 80
10 16 132
10 17 193
10 18 127
10 19 100
10 20 28
10 21 95
10 22 193
10 23 241
10 24 131
10 25 169
10 26 200
10 27 161
10 28 189
10 29 163
11 12 404
11 13 176
11 14 106
11 15 79
11 16 161
11 17 165
11 18 141
11 19 95
11 20 187
11 21 254
11 22 103
11 23 279
11 24 215
11 25 117
11 26 359
11 27 216
11 28 308
11 29 322
12 13 210
12 14 384
12 15 325
12 16 279
12 17 415
12 18 349
12 19 285
12 20 217
12 21 138
12 22 428
12 23 310
12 24 200
12 25 354
12 26 169
12 27 241
12 28 112
12 29 238
13 14 186
13 15 117
13 16 75
13 17 231
13 18 165
13 19 81
13 20 85
13 21 92
13 22 230
13 23 184
13 24 74
13 25 150
13 26 208
13 27 104
13 28 158
13 29 206
14 15 69
14 16 191
14 17 59
14 18 35
14 19 125
14 20 167
14 21 255
14 22 44
14 23 309
14 24 245
14 25 169
14 26 327
14 27 246
14 28 335
14 29 288
15 16 122
15 17 122
15 18 56
15 19 56
15 20 108
15 21 175
15 22 113
15 23 240
15 24 176
15 25 125
15 26 280
15 27 177
15 28 266
15 29 243
16 17 244
16 18 178
16 19 66
16 20 160
16 21 161
16 22 235
16 23 118
16 24 62
16 25 92
16 26 277
16 27 55
16 28 155
16 29 275
17 18 66
17 19 178
17 20 198
17 21 286
17 22 77
17 23 362
17 24 287
17 25 228
17 26 358
17 27 299
17 28 380
17 29 319
18 19 112
18 20 132
18 21 220
18 22 79
18 23 296
18 24 232
18 25 181
18 26 292
18 27 233
18 28 314
18 29 253
19 20 128
19 21 167
19 22 169
19 23 179
19 24 120
19 25 69
19 26 283
19 27 121
19 28 213
19 29 281
20 21 88
20 22 211
20 23 269
20 24 159
20 25 197
20 26 172
20 27 189
20 28 182
20 29 135
21 22 299
21 23 229
21 24 104
21 25 236
21 26 110
21 27 149
21 28 97
21 29 108
22 23 353
22 24 289
22 25 213
22 26 371
22 27 290
22 28 379
22 29 332
23 24 121
23 25 162
23 26 345
23 27 80
23 28 189
23 29 342
24 25 154
24 26 220
24 27 41
24 28 93
24 29 218
25 26 352
25 27 147
25 28 247
25 29 350
26 27 265
26 28 178
26 29 39
27 28 124
27 29 263
28 29 199
