127 8127
1 2 656
1 3 1556
1 4 1353
1 5 1661
1 6 991
1 7 418
1 8 1874
1 9 1397
1 10 1233
1 11 1276
1 12 1044
1 13 844
1 14 883
1 15 836
1 16 259
1 17 1476
1 18 2133
1 19 1612
1 20 1148
1 21 1561
1 22 1416
1 23 1402
1 24 1249
1 25 3322
1 26 2285
1 27 1774
1 28 3764
1 29 3793
1 30 1453
1 31 1628
1 32 4114
1 33 3528
1 34 1888
1 35 1166
1 36 1038
1 37 883
1 38 2320
1 39 2133
1 40 1724
1 41 1069
1 42 2320
1 43 1649
1 44 2167
1 45 2499
1 46 4153
1 47 3269
1 48 3536
1 49 3603
1 50 1050
1 51 1069
1 52 2091
1 53 3412
1 54 2065
1 55 3267
1 56 1982
1 57 1640
1 58 2625
1 59 3236
1 60 2678
1 61 2698
1 62 2865
1 63 9305
1 64 2708
1 65 5834
1 66 3396
1 67 2678
1 68 3603
1 69 5020
1 70 4537
1 71 4158
1 72 1870
1 73 2806
1 74 2738
1 75 4548
1 76 3507
1 77 2391
1 78 3382
1 79 2311
1 80 2480
1 81 4916
1 82 6809
1 83 6827
1 84 4698
1 85 7346
1 86 7489
1 87 7447
1 88 7631
1 89 6090
1 90 2349
1 91 2706
1 92 6406
1 93 4779
1 94 4518
1 95 4278
1 96 6705
1 97 5926
1 98 12004
1 99 7540
1 100 2139
1 101 11021
1 102 10723
1 103 2645
1 104 7007
1 105 591
1 106 883
1 107 9753
1 108 1094
1 109 6434
1 110 5852
1 111 6564
1 112 6149
1 113 3899
1 114 812
1 115 1100
1 116 2422
1 117 4111
1 118 3642
1 119 8622
1 120 820
1 121 1556
1 122 3641
1 123 4722
1 124 2346
1 125 5096
1 126 5911
1 127 6612
2 3 1870
2 4 1996
2 5 1166
2 6 1612
2 7 844
2 8 2491
2 9 1945
2 10 1358
2 11 1801
2 12 1578
2 13 778
2 14 1281
2 15 1486
2 16 625
2 17 2133
2 18 2789
2 19 2252
2 20 1805
2 21 2216
2 22 2065
2 23 2029
2 24 1870
2 25 3602
2 26 2594
2 27 2207
2 28 3946
2 29 4080
2 30 1755
2 31 2117
2 32 4417
2 33 3778
2 34 1972
2 35 906
2 36 1038
2 37 883
2 38 2499
2 39 2231
2 40 1561
2 41 1297
2 42 2320
2 43 1713
2 44 1628
2 45 1913
2 46 3507
2 47 2650
2 48 2881
2 49 2964
2 50 676
2 51 418
2 52 1661
2 53 2767
2 54 1416
2 55 2786
2 56 1411
2 57 984
2 58 2706
2 59 3613
2 60 3036
2 61 2982
2 62 3185
2 63 9953
2 64 2767
2 65 5560
2 66 3045
2 67 3275
2 68 4248
2 69 5675
2 70 5180
2 71 4773
2 72 2509
2 73 3443
2 74 3388
2 75 5199
2 76 4153
2 77 3045
2 78 3995
2 79 2909
2 80 3045
2 81 5515
2 82 7378
2 83 7373
2 84 5301
2 85 7924
2 86 8070
2 87 8038
2 88 8229
2 89 6072
2 90 2691
2 91 2935
2 92 6406
2 93 4292
2 94 3863
2 95 3964
2 96 7341
2 97 5908
2 98 11977
2 99 7475
2 100 2189
2 101 11489
2 102 11238
2 103 2101
2 104 7315
2 105 1194
2 106 1512
2 107 9132
2 108 1740
2 109 7056
2 110 6422
2 111 5908
2 112 5502
2 113 3787
2 114 1358
2 115 998
2 116 2794
2 117 4698
2 118 2994
2 119 9278
2 120 1050
2 121 957
2 122 3856
2 123 4571
2 124 1860
2 125 5180
2 126 6493
2 127 6165
3 4 1411
3 5 1972
3 6 1142
3 7 1142
3 8 1435
3 9 812
3 10 625
3 11 706
3 12 2228
3 13 1166
3 14 2303
3 15 1353
3 16 1816
3 17 1774
3 18 2207
3 19 1508
3 20 1616
3 21 1755
3 22 1526
3 23 1281
3 24 1183
3 25 4640
3 26 3624
3 27 2994
3 28 5173
3 29 5084
3 30 2872
3 31 2767
3 32 5374
3 33 4873
3 34 3412
3 35 2678
3 36 2594
3 37 2439
3 38 3777
3 39 3642
3 40 3275
