150 11324
1 2 577
1 3 188
1 4 410
1 5 139
1 6 657
1 7 76
1 8 110
1 9 631
1 10 168
1 11 752
1 12 560
1 13 543
1 14 396
1 15 330
1 16 303
1 17 777
1 18 340
1 19 596
1 20 463
1 21 330
1 22 302
1 23 475
1 24 588
1 25 444
1 26 285
1 27 589
1 28 645
1 29 534
1 30 89
1 31 571
1 32 463
1 33 270
1 34 40
1 35 172
1 36 697
1 37 606
1 38 487
1 39 636
1 40 613
1 41 603
1 42 602
1 43 489
1 44 416
1 45 435
1 46 372
1 47 539
1 48 104
1 49 488
1 50 499
1 51 465
1 52 232
1 53 584
1 54 349
1 55 452
1 56 307
1 57 637
1 58 463
1 59 295
1 60 723
1 61 703
1 62 236
1 63 104
1 64 445
1 65 405
1 66 752
1 67 475
1 68 502
1 69 670
1 70 545
1 71 436
1 72 456
1 73 87
1 74 575
1 75 310
1 76 59
1 77 386
1 78 327
1 79 275
1 80 393
1 81 495
1 82 115
1 83 359
1 84 87
1 85 392
1 86 522
1 87 21
1 88 237
1 89 118
1 90 368
1 91 524
1 92 335
1 93 194
1 94 212
1 95 110
1 96 136
1 97 183
1 98 12
1 99 619
1 100 176
1 101 576
1 102 601
1 103 25
1 104 399
1 105 296
1 106 514
1 107 114
1 108 552
1 109 461
1 110 505
1 111 290
1 112 483
1 113 165
1 114 623
1 115 388
1 116 561
1 117 664
1 118 617
1 119 518
1 120 575
1 121 239
1 122 390
1 123 584
1 124 163
1 125 299
1 126 237
1 127 654
1 128 464
1 129 555
1 130 724
1 131 434
1 132 468
1 133 341
1 134 389
1 135 523
1 136 510
1 137 541
1 138 390
1 139 579
1 140 751
1 141 424
1 142 349
1 143 202
1 144 510
1 145 505
1 146 262
1 147 489
1 148 770
1 149 270
1 150 379
2 3 591
2 4 666
2 5 489
2 6 82
2 7 501
2 8 471
2 9 69
2 10 525
2 11 325
2 12 220
2 13 633
2 14 422
2 15 428
2 16 404
2 17 434
2 18 311
2 19 46
2 20 136
2 21 541
2 22 647
2 23 339
2 24 217
2 25 139
2 26 295
2 27 471
2 28 86
2 29 54
2 30 508
2 31 497
2 32 321
2 33 337
2 34 554
2 35 424
2 36 272
2 37 38
2 38 327
2 39 339
2 40 155
2 41 366
2 42 63
2 43 229
2 44 593
2 45 647
