198 19700
1 2 1139
1 3 1177
1 4 1220
1 5 1262
1 6 1221
1 7 1183
1 8 1614
1 9 1642
1 10 1657
1 11 1672
1 12 1687
1 13 1702
1 14 1728
1 15 1692
1 16 1628
1 17 1648
1 18 1772
1 19 1814
1 20 1879
1 21 1934
1 22 1872
1 23 1831
1 24 1928
1 25 1964
1 26 1958
1 27 1938
1 28 1898
1 29 1858
1 30 1894
1 31 1871
1 32 1891
1 33 1930
1 34 1949
1 35 2025
1 36 1927
1 37 1907
1 38 1869
1 39 2001
1 40 1615
1 41 1688
1 42 1813
1 43 1831
1 44 1867
1 45 1922
1 46 1979
1 47 2017
1 48 2096
1 49 2132
1 50 2092
1 51 2053
1 52 2015
1 53 1977
1 54 1939
1 55 1885
1 56 1867
1 57 1814
1 58 1833
1 59 1885
1 60 1903
1 61 1957
1 62 1994
1 63 2168
1 64 2125
1 65 2049
1 66 1975
1 67 1921
1 68 1903
1 69 1851
1 70 1943
1 71 1870
1 72 1922
1 73 1939
1 74 1992
1 75 2029
1 76 2103
1 77 2122
1 78 2141
1 79 2216
1 80 2197
1 81 2102
1 82 2028
1 83 2010
1 84 1957
1 85 1906
1 86 1909
1 87 1976
1 88 2028
1 89 2064
1 90 2082
1 91 2213
1 92 2232
1 93 2192
1 94 2173
1 95 2155
1 96 2118
1 97 2064
1 98 2047
1 99 1995
1 100 1945
1 101 2191
1 102 2209
1 103 2264
1 104 2283
1 105 2321
1 106 2378
1 107 2398
1 108 2477
1 109 2473
1 110 2453
1 111 2434
1 112 2395
1 113 2376
1 114 2356
1 115 2425
1 116 2443
1 117 2462
1 118 2500
1 119 2519
1 120 2538
1 121 2479
1 122 2442
1 123 2560
1 124 2646
1 125 2704
1 126 2733
1 127 2782
1 128 2829
1 129 2814
1 130 2775
1 131 2756
1 132 2772
1 133 2792
1 134 2789
1 135 2808
1 136 2827
1 137 2901
1 138 2722
1 139 2639
1 140 2806
1 141 2825
1 142 2823
1 143 2842
1 144 2880
1 145 2877
1 146 2859
1 147 2840
1 148 2857
1 149 2876
1 150 2913
1 151 2951
1 152 2893
1 153 2874
1 154 2678
1 155 2695
1 156 2713
1 157 2730
1 158 2747
1 159 2783
1 160 2859
1 161 2891
1 162 2910
1 163 3004
1 164 3042
1 165 3100
1 166 3120
1 167 2463
1 168 2568
1 169 2687
1 170 2767
1 171 2921
1 172 2990
1 173 3789
1 174 3860
1 175 3881
1 176 3810
1 177 3899
1 178 3972
1 179 4021
1 180 3980
1 181 3883
1 182 3800
1 183 3890
1 184 3987
1 185 4036
1 186 4236
1 187 4164
1 188 3952
1 189 3880
1 190 3906
1 191 3978
1 192 4188
1 193 4260
1 194 4014
1 195 4099
1 196 4172
1 197 4153
1 198 4079
2 3 76
2 4 152
2 5 161
2 6 92
2 7 51
2 8 485
2 9 521
2 10 540
2 11 559
2 12 579
2 13 599
2 14 773
2 15 744
2 16 737
2 17 762
2 18 914
2 19 965
2 20 1041
2 21 1046
2 22 971
2 23 920
2 24 1024
2 25 1052
2 26 1031
2 27 1006
2 28 956
2 29 907
2 30 937
2 31 893
2 32 918
2 33 967
2 34 992
2 35 1072
2 36 949
2 37 925
2 38 876
2 39 1029
2 40 623
2 41 651
2 42 774
2 43 797
2 44 844
2 45 916
2 46 988
2 47 1036
2 48 1134
2 49 1165
2 50 1117
2 51 1068
2 52 1020
2 53 972
2 54 925
