42 902
1 2 8
1 3 39
1 4 37
1 5 50
1 6 61
1 7 58
1 8 59
1 9 62
1 10 81
1 11 103
1 12 108
1 13 145
1 14 181
1 15 187
1 16 161
1 17 142
1 18 174
1 19 185
1 20 164
1 21 137
1 22 117
1 23 114
1 24 85
1 25 77
1 26 87
1 27 91
1 28 105
1 29 111
1 30 91
1 31 83
1 32 89
1 33 95
1 34 74
1 35 67
1 36 74
1 37 57
1 38 45
1 39 35
1 40 29
1 41 3
1 42 5
2 3 45
2 4 47
2 5 49
2 6 62
2 7 60
2 8 60
2 9 66
2 10 81
2 11 107
2 12 117
2 13 149
2 14 185
2 15 191
2 16 170
2 17 146
2 18 178
2 19 186
2 20 165
2 21 139
2 22 122
2 23 118
2 24 89
2 25 80
2 26 89
2 27 93
2 28 106
2 29 113
2 30 92
2 31 85
2 32 91
2 33 97
2 34 81
2 35 69
2 36 76
2 37 59
2 38 46
2 39 37
2 40 33
2 41 11
2 42 12
3 4 9
3 5 21
3 6 21
3 7 16
3 8 15
3 9 20
3 10 40
3 11 62
3 12 66
3 13 104
3 14 140
3 15 146
3 16 120
3 17 101
3 18 133
3 19 142
3 20 120
3 21 94
3 22 77
3 23 73
3 24 44
3 25 36
3 26 44
3 27 48
3 28 62
3 29 69
3 30 50
3 31 42
3 32 55
3 33 64
3 34 44
3 35 42
3 36 61
3 37 46
3 38 41
3 39 35
3 40 30
3 41 41
3 42 55
4 5 15
4 6 20
4 7 17
4 8 20
4 9 25
4 10 44
4 11 67
4 12 71
4 13 108
4 14 144
4 15 150
4 16 124
4 17 104
4 18 138
4 19 143
4 20 123
4 21 96
4 22 80
4 23 78
4 24 48
4 25 40
4 26 46
4 27 50
4 28 63
4 29 71
4 30 51
4 31 43
4 32 55
4 33 63
4 34 43
4 35 41
4 36 60
4 37 41
4 38 34
4 39 26
4 40 21
4 41 37
4 42 41
5 6 17
5 7 18
5 8 26
5 9 31
5 10 50
5 11 72
5 12 77
5 13 114
5 14 150
5 15 156
5 16 130
5 17 111
5 18 143
5 19 140
5 20 124
5 21 94
5 22 83
5 23 84
5 24 53
5 25 46
5 26 46
5 27 48
5 28 64
5 29 66
5 30 46
5 31 38
5 32 50
5 33 56
5 34 35
5 35 31
5 36 42
5 37 25
5 38 20
5 39 18
5 40 18
5 41 47
5 42 53
6 7 6
6 8 17
6 9 22
6 10 41
6 11 63
6 12 68
6 13 106
6 14 142
6 15 142
6 16 115
6 17 97
6 18 129
6 19 130
6 20 106
6 21 80
6 22 68
6 23 69
6 24 41
6 25 34
6 26 30
6 27 34
6 28 47
6 29 51
6 30 30
6 31 22
6 32 34
6 33 42
6 34 23
6 35 25
6 36 44
6 37 30
6 38 34
6 39 34
6 40 35
6 41 57
6 42 64
7 8 10
7 9 15
7 10 35
7 11 57
7 12 61
7 13 99
7 14 135
7 15 137
7 16 110
7 17 91
7 18 123
7 19 126
7 20 106
7 21 78
7 22 62
7 23 63
7 24 34
7 25 27
7 26 28
7 27 32
7 28 46
7 29 53
7 30 34
7 31 26
7 32 39
7 33 49
7 34 30
