76 2925
1 2 15
1 3 23
1 4 26
1 5 33
1 6 16
1 7 40
1 8 40
1 9 37
1 10 48
1 11 54
1 12 32
1 13 42
1 14 53
1 15 40
1 16 14
1 17 25
1 18 36
1 19 48
1 20 45
1 21 24
1 22 10
1 23 13
1 24 26
1 25 42
1 26 31
1 27 35
1 28 14
1 29 30
1 30 21
1 31 55
1 32 31
1 33 8
1 34 33
1 35 43
1 36 34
1 37 39
1 38 51
1 39 39
1 40 29
1 41 11
1 42 11
1 43 7
1 44 26
1 45 29
1 46 35
1 47 29
1 48 26
1 49 19
1 50 35
1 51 18
1 52 36
1 53 48
1 54 49
1 55 49
1 56 16
1 57 43
1 58 42
1 59 64
1 60 46
1 61 21
1 62 8
1 63 8
1 64 18
1 65 56
1 66 61
1 67 30
1 68 19
1 69 33
1 70 46
1 71 41
1 72 40
1 73 5
1 74 18
1 75 23
1 76 25
2 3 24
2 4 13
2 5 20
2 6 9
2 7 28
2 8 27
2 9 34
2 10 40
2 11 43
2 12 25
2 13 28
2 14 40
2 15 26
2 16 18
2 17 18
2 18 40
2 19 34
2 20 32
2 21 15
2 22 16
2 23 25
2 24 34
2 25 42
2 26 21
2 27 21
2 28 10
2 29 16
2 30 7
2 31 50
2 32 30
2 33 10
2 34 20
2 35 31
2 36 24
2 37 26
2 38 41
2 39 35
2 40 25
2 41 26
2 42 24
2 43 21
2 44 27
2 45 15
2 46 22
2 47 18
2 48 13
2 49 27
2 50 37
2 51 15
2 52 22
2 53 36
2 54 34
2 55 51
2 56 30
2 57 29
2 58 34
2 59 51
2 60 36
2 61 20
2 62 8
2 63 16
2 64 30
2 65 46
2 66 51
2 67 18
2 68 7
2 69 26
2 70 35
2 71 31
2 72 34
2 73 9
2 74 7
2 75 12
2 76 15
3 4 26
3 5 42
3 6 16
3 7 29
3 8 34
3 9 15
3 10 28
3 11 39
3 12 15
3 13 42
3 14 43
3 15 46
3 16 9
3 17 12
3 18 16
3 19 41
3 20 55
3 21 39
3 22 32
3 23 20
3 24 14
3 25 19
3 26 20
3 27 36
3 28 32
3 29 36
3 30 29
3 31 33
