262 34452
1 2 152
1 3 149
1 4 88
1 5 84
1 6 170
1 7 118
1 8 138
1 9 171
1 10 202
1 11 180
1 12 84
1 13 191
1 14 196
1 15 185
1 16 165
1 17 239
1 18 103
1 19 88
1 20 227
1 21 77
1 22 171
1 23 182
1 24 241
1 25 137
1 26 167
1 27 129
1 28 119
1 29 223
1 30 102
1 31 30
1 32 222
1 33 65
1 34 108
1 35 136
1 36 147
1 37 165
1 38 189
1 39 183
1 40 247
1 41 228
1 42 216
1 43 175
1 44 163
1 45 184
1 46 165
1 47 225
1 48 185
1 49 85
1 50 175
1 51 229
1 52 182
1 53 106
1 54 114
1 55 229
1 56 200
1 57 184
1 58 154
1 59 197
1 60 235
1 61 70
1 62 164
1 63 159
1 64 156
1 65 132
1 66 218
1 67 222
1 68 42
1 69 154
1 70 55
1 71 22
1 72 87
1 73 118
1 74 123
1 75 193
1 76 69
1 77 181
1 78 224
1 79 81
1 80 218
1 81 87
1 82 168
1 83 135
1 84 166
1 85 186
1 86 182
1 87 92
1 88 182
1 89 184
1 90 69
1 91 174
1 92 213
1 93 172
1 94 177
1 95 109
1 96 119
1 97 214
1 98 207
1 99 56
1 100 77
1 101 170
1 102 183
1 103 226
1 104 128
1 105 201
1 106 182
1 107 204
1 108 60
1 109 227
1 110 232
1 111 184
1 112 126
1 113 222
1 114 166
1 115 76
1 116 141
1 117 213
1 118 149
1 119 152
1 120 175
1 121 182
1 122 176
1 123 148
1 124 96
1 125 155
1 126 139
1 127 259
1 128 180
1 129 67
1 130 77
1 131 191
1 132 211
1 133 83
1 134 247
1 135 161
1 136 203
1 137 107
1 138 73
1 139 19
1 140 110
1 141 131
1 142 43
1 143 190
1 144 150
1 145 75
1 146 165
1 147 249
1 148 166
1 149 181
1 150 153
1 151 180
1 152 146
1 153 172
1 154 74
1 155 55
1 156 134
1 157 167
1 158 241
1 159 266
1 160 119
1 161 171
1 162 193
1 163 153
1 164 109
1 165 173
1 166 107
1 167 188
1 168 224
1 169 186
1 170 158
1 171 193
1 172 100
1 173 120
1 174 191
1 175 224
1 176 198
1 177 157
1 178 221
1 179 169
1 180 156
1 181 192
1 182 116
1 183 151
1 184 153
1 185 89
1 186 86
1 187 176
1 188 101
1 189 172
1 190 140
1 191 90
1 192 151
1 193 169
1 194 220
1 195 143
1 196 188
1 197 216
1 198 117
1 199 155
1 200 161
1 201 231
1 202 26
1 203 183
1 204 121
1 205 38
1 206 133
1 207 108
1 208 139
1 209 67
1 210 228
1 211 69
1 212 198
1 213 121
1 214 187
1 215 131
1 216 161
1 217 139
1 218 154
1 219 188
1 220 148
1 221 61
1 222 181
1 223 178
1 224 158
1 225 180
1 226 210
1 227 224
1 228 109
1 229 13
1 230 163
1 231 29
1 232 44
1 233 193
1 234 55
1 235 175
1 236 182
1 237 160
1 238 201
1 239 144
1 240 213
1 241 179
1 242 192
1 243 173
1 244 63
1 245 245
1 246 132
1 247 196
1 248 178
1 249 165
1 250 146
1 251 147
1 252 195
1 253 164
1 254 61
1 255 199
1 256 198
1 257 100
1 258 101
1 259 225
1 260 140
1 261 123
1 262 86
2 3 69
2 4 123
2 5 70
2 6 98
2 7 111
2 8 62
2 9 21
2 10 59
2 11 43
2 12 68
