21 230
0 1 510
0 2 635
0 3 91
0 4 385
0 5 155
0 6 110
0 7 130
0 8 490
0 9 370
0 10 155
0 11 68
0 12 610
0 13 655
0 14 480
0 15 265
0 16 255
0 17 450
0 18 170
0 19 240
0 20 380
1 2 355
1 3 415
1 4 585
1 5 475
1 6 480
1 7 500
1 8 605
1 9 320
1 10 380
1 11 440
1 12 360
1 13 235
1 14 81
1 15 480
1 16 440
1 17 270
1 18 445
1 19 290
1 20 140
2 3 605
2 4 390
2 5 495
2 6 570
2 7 540
2 8 295
2 9 700
2 10 640
2 11 575
2 12 705
2 13 585
2 14 435
2 15 420
2 16 755
2 17 625
2 18 750
2 19 590
2 20 495
3 4 350
3 5 120
3 6 78
3 7 97
3 8 460
3 9 280
3 10 63
3 11 27
3 12 520
3 13 555
3 14 380
3 15 235
3 16 235
3 17 345
3 18 160
3 19 140
3 20 280
4 5 240
4 6 320
4 7 285
4 8 120
4 9 590
4 10 430
4 11 320
4 12 835
4 13 750
4 14 575
4 15 125
4 16 650
4 17 660
4 18 495
4 19 480
4 20 480
5 6 96
5 7 36
5 8 350
5 9 365
5 10 200
5 11 91
5 12 605
5 13 615
5 14 440
5 15 125
5 16 370
5 17 430
5 18 265
5 19 255
5 20 340
6 7 29
6 8 425
6 9 350
6 10 160
6 11 48
6 12 590
6 13 625
6 14 455
6 15 200
6 16 320
6 17 420
6 18 220
6 19 205
6 20 350
7 8 390
7 9 370
7 10 175
7 11 67
7 12 610
7 13 645
7 14 465
7 15 165
7 16 350
7 17 440
7 18 240
7 19 220
7 20 370
8 9 625
8 10 535
8 11 430
8 12 865
8 13 775
8 14 600
8 15 230
8 16 680
8 17 690
8 18 600
8 19 515
8 20 505
9 10 240
9 11 300
9 12 250
9 13 285
9 14 245
9 15 475
9 16 150
9 17 77
9 18 235
9 19 150
9 20 185
10 11 90
10 12 480
10 13 515
10 14 345
10 15 310
10 16 175
10 17 310
10 18 125
10 19 100
10 20 240
11 12 545
11 13 585
11 14 415
11 15 205
11 16 265
11 17 380
11 18 170
11 19 170
11 20 310
12 13 190
12 14 295
12 15 715
12 16 400
12 17 180
12 18 485
12 19 390
12 20 345
13 14 170
13 15 650
13 16 435
13 17 215
13 18 525
13 19 425
13 20 280
14 15 475
14 16 385
14 17 190
14 18 405
14 19 255
14 20 105
15 16 485
15 17 545
15 18 375
15 19 395
15 20 380
16 17 225
16 18 87
16 19 205
16 20 280
17 18 315
17 19 220
17 20 165
18 19 155
18 20 305
19 20 150
