100 5049
1 2 1693
1 3 2252
1 4 1104
1 5 2523
1 6 397
1 7 1447
1 8 425
1 9 1424
1 10 749
1 11 902
1 12 1547
1 13 2554
1 14 2378
1 15 1015
1 16 1259
1 17 1018
1 18 1167
1 19 814
1 20 1405
1 21 885
1 22 1330
1 23 882
1 24 1206
1 25 1194
1 26 1511
1 27 1572
1 28 416
1 29 2081
1 30 2145
1 31 887
1 32 790
1 33 2641
1 34 1804
1 35 1576
1 36 1173
1 37 2518
1 38 1225
1 39 2102
1 40 1358
1 41 2698
1 42 661
1 43 2251
1 44 1668
1 45 923
1 46 2115
1 47 429
1 48 2523
1 49 442
1 50 1707
1 51 1129
1 52 2474
1 53 1010
1 54 1394
1 55 1708
1 56 795
1 57 1360
1 58 718
1 59 1031
1 60 1152
1 61 1043
1 62 1260
1 63 288
1 64 1366
1 65 1250
1 66 1286
1 67 593
1 68 1618
1 69 1241
1 70 1387
1 71 2635
1 72 802
1 73 1531
1 74 942
1 75 628
1 76 2649
1 77 1048
1 78 2442
1 79 1008
1 80 863
1 81 1220
1 82 2186
1 83 1716
1 84 888
1 85 1734
1 86 1508
1 87 1255
1 88 1219
1 89 806
1 90 644
1 91 753
1 92 303
1 93 413
1 94 1359
1 95 2431
1 96 2377
1 97 815
1 98 783
1 99 1468
1 100 2643
2 3 1708
2 4 2403
2 5 1186
2 6 2057
2 7 1392
2 8 1620
2 9 1343
2 10 2442
2 11 2359
2 12 1606
2 13 970
2 14 1662
2 15 2446
2 16 2831
2 17 2455
2 18 2837
2 19 2310
2 20 1603
2 21 2502
2 22 2897
2 23 1921
2 24 2895
2 25 893
2 26 2671
2 27 1737
2 28 1363
2 29 1501
2 30 1191
2 31 1592
2 32 2166
2 33 1069
2 34 1451
2 35 1893
2 36 2858
2 37 1143
2 38 2917
2 39 961
2 40 337
2 41 1984
2 42 1536
2 43 1835
2 44 257
2 45 2124
2 46 1636
2 47 1933
2 48 1596
2 49 2094
2 50 416
2 51 1147
2 52 1302
2 53 2577
2 54 331
2 55 1529
2 56 1903
2 57 1400
2 58 1161
2 59 2626
2 60 1851
2 61 1006
2 62 1803
2 63 1979
2 64 332
2 65 2527
2 66 2618
2 67 1103
2 68 711
2 69 573
2 70 2887
2 71 1902
2 72 2459
2 73 462
2 74 2544
2 75 2076
2 76 1045
2 77 1664
2 78 1262
2 79 2647
2 80 1670
2 81 843
2 82 570
2 83 1513
2 84 2581
2 85 832
2 86 1752
2 87 1219
2 88 2806
2 89 1420
2 90 2302
2 91 1978
2 92 1769
2 93 1400
2 94 2963
2 95 794
2 96 1201
2 97 2093
2 98 1911
2 99 3156
2 100 1831
3 4 3333
3 5 1074
3 6 2623
3 7 811
3 8 2502
3 9 829
3 10 2794
3 11 2265
3 12 782
3 13 1533
3 14 221
3 15 2280
3 16 3482
3 17 2293
3 18 3286
3 19 3066
3 20 934
3 21 2582
3 22 3552
3 23 1703
3 24 3246
3 25 1184
3 26 3717
3 27 846
3 28 1856
3 29 214
3 30 592
3 31 2770
3 32 2087
3 33 1533
3 34 448
3 35 983
3 36 3047
3 37 1133
3 38 3216
3 39 851
3 40 1731
3 41 451
3 42 2592
3 43 171
3 44 1452
3 45 1896
3 46 139
3 47 2139
3 48 507
3 49 2670
3 50 1293
3 51 1138
3 52 823
3 53 3246
3 54 1828
3 55 567
3 56 2917
3 57 903
3 58 1572
3 59 2626
3 60 1378
3 61 1275
3 62 1228
3 63 2474
3 64 1651
3 65 3480
3 66 3529
3 67 1872
3 68 1021
3 69 1424
3 70 3631
3 71 401
3 72 2640
3 73 1287
3 74 2583
3 75 2870
3 76 1615
3 77 1333
3 78 833
3 79 3193
3 80 2812
3 81 1193
3 82 1531
3 83 553
3 84 2913
3 85 881
3 86 927
3 87 1001
3 88 3435
3 89 2587
3 90 2842
3 91 1885
3 92 2515
3 93 1846
3 94 3554
3 95 1633
3 96 826
3 97 3018
3 98 1786
3 99 3315
3 100 454
4 5 3447
4 6 822
4 7 2538
4 8 851
4 9 2512
4 10 1030
4 11 1695
4 12 2649
4 13 3362
4 14 3442
4 15 1794
4 16 625
4 17 1789
4 18 929
4 19 372
4 20 2508
4 21 1445
4 22 661
4 23 1928
4 24 1101
4 25 2204
4 26 417
4 27 2675
4 28 1478
4 29 3150
4 30 3152
4 31 844
4 32 1697
4 33 3459
4 34 2887
4 35 2674
4 36 1336
4 37 3428
4 38 1190
4 39 3061
4 40 2087
4 41 3771
4 42 868
4 43 3343
4 44 2479
4 45 1895
4 46 3198
4 47 1395
4 48 3556
4 49 785
4 50 2569
4 51 2196
4 52 3448
4 53 498
4 54 2072
4 55 2802
4 56 500
4 57 2454
4 58 1763
4 59 1573
4 60 2235
4 61 2076
4 62 2353
4 63 974
4 64 2131
4 65 147
4 66 216
4 67 1502
4 68 2575
4 69 2133
4 70 554
4 71 3704
4 72 1293
4 73 2416
4 74 1508
4 75 477
4 76 3444
4 77 2148
4 78 3412
4 79 718
4 80 758
4 81 2216
4 82 2965
4 83 2808
4 84 1061
4 85 2713
4 86 2611
4 87 2332
4 88 644
4 89 992
4 90 747
4 91 1760
4 92 819
4 93 1491
4 94 785
4 95 3196
4 96 3344
4 97 324
4 98 1821
4 99 1499
4 100 3701
5 6 2919
5 7 1424
5 8 2606
5 9 1400
5 10 3218
5 11 2883
5 12 1553
5 13 502
5 14 891
5 15 2934
5 16 3770
5 17 2947
5 18 3681
5 19 3277
5 20 1656
5 21 3135
5 22 3840
5 23 2329
5 24 3692
5 25 1344
5 26 3765
5 27 1676
5 28 2114
5 29 973
5 30 553
5 31 2701
5 32 2683
5 33 475
5 34 1178
5 35 1851
5 36 3569
5 37 69
5 38 3689
5 39 437
5 40 1413
5 41 1079
5 42 2594
5 43 1245
5 44 1007
5 45 2548
5 46 1107
5 47 2592
5 48 652
5 49 2964
5 50 887
5 51 1498
5 52 259
5 53 3516
5 54 1468
5 55 1343
5 56 2962
5 57 1500
5 58 1818
5 59 3222
5 60 2088
5 61 1506
5 62 1965
5 63 2800
5 64 1350
5 65 3584
5 66 3661
5 67 1971
5 68 906
5 69 1317
5 70 3869
5 71 1007
5 72 3145
5 73 1031
5 74 3157
5 75 3049
5 76 564
5 77 1958
5 78 242
5 79 3531
5 80 2768
5 81 1310
5 82 704
5 83 1319
5 84 3355
5 85 805
5 86 1738
5 87 1442
5 88 3735
5 89 2516
5 90 3166
5 91 2468
5 92 2701
5 93 2129
5 94 3879
5 95 671
5 96 253
5 97 3124
5 98 2374
5 99 3863
5 100 894
6 7 1812
6 8 534
6 9 1794
6 10 436
6 11 907
6 12 1892
6 13 2941
6 14 2758
6 15 1015
6 16 867
6 17 1012
6 18 782
6 19 474
6 20 1744
6 21 737
6 22 937
6 23 1111
6 24 843
6 25 1590
6 26 1239
6 27 1900
6 28 811
6 29 2458
6 30 2539
6 31 944
6 32 881
6 33 3029
6 34 2175
6 35 1880
6 36 877
6 37 2914
6 38 878
6 39 2499
6 40 1720
6 41 3071
6 42 764
6 43 2610
6 44 2051
6 45 1074
6 46 2484
6 47 574
6 48 2911
6 49 47
6 50 2096
6 51 1514
6 52 2870
6 53 624
6 54 1745
6 55 2068
6 56 698
6 57 1722
6 58 1113
6 59 886
6 60 1429
6 61 1438
6 62 1556
6 63 157
6 64 1736
6 65 960
6 66 970
6 67 974
6 68 2014
6 69 1631
6 70 1008
6 71 3011
6 72 604
6 73 1923
6 74 803
6 75 374
6 76 3034
6 77 1361
6 78 2839
6 79 612
6 80 886
6 81 1616
6 82 2567
6 83 2078
6 84 561
6 85 2131
6 86 1830
6 87 1634
6 88 825
6 89 943
6 90 249
6 91 939
6 92 329
6 93 804
6 94 962
6 95 2811
6 96 2773
6 97 610
6 98 1003
6 99 1154
6 100 3025
7 8 1725
7 9 50
7 10 1989
7 11 1511
7 12 216
7 13 1709
7 14 963
7 15 1545
7 16 2671
7 17 1558
7 18 2481
7 19 2260
7 20 242
7 21 1806
7 22 2740
7 23 942
7 24 2448
7 25 556
7 26 2931
7 27 346
7 28 1062
7 29 663
7 30 895
7 31 2041
7 32 1320
7 33 1756
7 34 367
7 35 509
7 36 2266
7 37 1454
7 38 2423
7 39 1006
7 40 1259
7 41 1261
7 42 1844
7 43 805
7 44 1165
7 45 1154
7 46 672
7 47 1333
7 48 1165
7 49 1859
7 50 1052
7 51 383
7 52 1263
7 53 2435
7 54 1362
7 55 264
7 56 2145
7 57 93
7 58 800
7 59 1867
7 60 666
7 61 562
7 62 542
7 63 1663
7 64 1187
7 65 2686
7 66 2730
7 67 1131
7 68 741
7 69 895
7 70 2820
7 71 1205
7 72 1851
7 73 935
7 74 1814
