100 5049
1 2 2607
1 3 549
1 4 2009
1 5 1368
1 6 2233
1 7 1131
1 8 581
1 9 515
1 10 582
1 11 722
1 12 263
1 13 2790
1 14 2301
1 15 2490
1 16 2439
1 17 2949
1 18 2589
1 19 3008
1 20 783
1 21 258
1 22 1980
1 23 1988
1 24 2459
1 25 527
1 26 1184
1 27 662
1 28 814
1 29 492
1 30 881
1 31 3070
1 32 440
1 33 2433
1 34 838
1 35 844
1 36 2910
1 37 1129
1 38 699
1 39 1124
1 40 1100
1 41 3099
1 42 2517
1 43 1673
1 44 3350
1 45 2851
1 46 477
1 47 1488
1 48 2963
1 49 655
1 50 1989
1 51 3164
1 52 1417
1 53 1003
1 54 1437
1 55 2040
1 56 1299
1 57 1008
1 58 1177
1 59 592
1 60 1414
1 61 810
1 62 1258
1 63 2953
1 64 2359
1 65 1227
1 66 1535
1 67 1427
1 68 652
1 69 1034
1 70 1192
1 71 439
1 72 1045
1 73 839
1 74 1359
1 75 940
1 76 674
1 77 2349
1 78 2796
1 79 1316
1 80 822
1 81 1472
1 82 2579
1 83 2065
1 84 1156
1 85 773
1 86 629
1 87 1628
1 88 1867
1 89 1719
1 90 149
1 91 792
1 92 3020
1 93 765
1 94 966
1 95 96
1 96 2883
1 97 737
1 98 229
1 99 618
1 100 1249
2 3 3154
2 4 1013
2 5 3183
2 6 932
2 7 1480
2 8 3056
2 9 2097
2 10 2886
2 11 3328
2 12 2435
2 13 184
2 14 412
2 15 882
2 16 236
2 17 511
2 18 523
2 19 882
2 20 2274
2 21 2578
2 22 1244
2 23 1287
2 24 608
2 25 2091
2 26 2701
2 27 1988
2 28 3367
2 29 2958
2 30 2437
2 31 554
2 32 2798
2 33 707
2 34 1769
2 35 2032
2 36 604
2 37 1804
2 38 2291
2 39 3318
2 40 3187
2 41 665
2 42 217
2 43 936
2 44 1093
2 45 531
2 46 2148
2 47 2040
2 48 505
2 49 2547
2 50 673
2 51 941
2 52 1228
2 53 3355
2 54 1296
2 55 888
2 56 2637
2 57 1620
2 58 1445
2 59 2907
2 60 1254
2 61 1977
2 62 2881
2 63 394
2 64 465
2 65 2070
2 66 1434
2 67 3389
2 68 2826
2 69 2696
2 70 3425
2 71 2248
2 72 1802
2 73 3362
2 74 1348
2 75 2441
2 76 3046
2 77 489
2 78 259
2 79 2231
2 80 2280
2 81 2318
2 82 457
2 83 800
2 84 1457
2 85 3322
2 86 2544
2 87 1118
2 88 1283
2 89 907
2 90 2512
2 91 3326
2 92 831
2 93 3370
2 94 1717
2 95 2694
2 96 742
2 97 3188
2 98 2621
2 99 3075
2 100 2661
3 4 2515
3 5 1413
3 6 2739
3 7 1679
3 8 369
3 9 1064
3 10 665
3 11 190
3 12 739
3 13 3337
3 14 2841
3 15 2996
3 16 2987
3 17 3497
3 18 3135
3 19 3548
3 20 1203
3 21 661
3 22 2497
3 23 2500
3 24 3003
3 25 1074
3 26 1417
3 27 1186
3 28 344
3 29 385
3 30 1225
3 31 3609
3 32 528
3 33 2952
3 34 1386
