100 5049
1 2 2793
1 3 2097
1 4 1655
1 5 2251
1 6 2118
1 7 1515
1 8 685
1 9 2586
1 10 2736
1 11 590
1 12 2971
1 13 365
1 14 2003
1 15 1023
1 16 1433
1 17 636
1 18 2104
1 19 2630
1 20 2440
1 21 2939
1 22 1327
1 23 854
1 24 407
1 25 2415
1 26 2869
1 27 350
1 28 3096
1 29 1783
1 30 2741
1 31 1832
1 32 561
1 33 2057
1 34 360
1 35 2460
1 36 1681
1 37 2535
1 38 521
1 39 1183
1 40 2094
1 41 660
1 42 1005
1 43 1500
1 44 1796
1 45 2035
1 46 875
1 47 2858
1 48 2950
1 49 980
1 50 93
1 51 2609
1 52 663
1 53 2079
1 54 1301
1 55 2691
1 56 3156
1 57 1883
1 58 1579
1 59 1948
1 60 1979
1 61 1258
1 62 2361
1 63 1298
1 64 1709
1 65 1798
1 66 608
1 67 1661
1 68 2011
1 69 1060
1 70 974
1 71 1457
1 72 1791
1 73 1041
1 74 1260
1 75 1696
1 76 1452
1 77 1460
1 78 1761
1 79 438
1 80 1525
1 81 372
1 82 2311
1 83 2110
1 84 710
1 85 1918
1 86 1655
1 87 2872
1 88 403
1 89 780
1 90 654
1 91 1297
1 92 2778
1 93 1723
1 94 509
1 95 3179
1 96 1639
1 97 779
1 98 971
1 99 1877
1 100 2719
2 3 993
2 4 1157
2 5 725
2 6 1114
2 7 3132
2 8 2871
2 9 956
2 10 1101
2 11 3275
2 12 1788
2 13 2456
2 14 2059
2 15 1921
2 16 1674
2 17 3406
2 18 1323
2 19 195
2 20 1197
2 21 1395
2 22 3844
2 23 3235
2 24 2398
2 25 1224
2 26 837
2 27 2459
2 28 1722
2 29 3937
2 30 207
2 31 2444
2 32 3338
2 33 2143
2 34 2818
2 35 403
2 36 3583
2 37 260
2 38 2910
2 39 1641
2 40 1096
2 41 2151
2 42 3447
2 43 1372
2 44 1012
2 45 2302
2 46 2682
2 47 1560
2 48 202
2 49 3746
2 50 2862
2 51 188
2 52 2785
2 53 781
2 54 1630
2 55 773
2 56 1397
2 57 2663
2 58 3860
2 59 1223
2 60 821
2 61 2926
2 62 436
2 63 1718
2 64 1345
2 65 2064
2 66 2892
2 67 3475
2 68 2079
2 69 2158
2 70 3695
2 71 1344
2 72 2765
2 73 1767
2 74 3088
2 75 3470
2 76 2534
2 77 1480
2 78 2365
2 79 2382
2 80 2426
2 81 2771
2 82 1593
2 83 1065
2 84 2152
2 85 1365
2 86 1835
2 87 827
2 88 2390
2 89 3471
2 90 3409
2 91 1626
2 92 388
2 93 1070
2 94 3302
2 95 1306
2 96 1785
2 97 3565
2 98 3751
2 99 2415
2 100 102
3 4 572
3 5 268
3 6 156
3 7 2156
3 8 2004
3 9 506
3 10 688
3 11 2480
3 12 1206
3 13 1823
3 14 1085
3 15 1097
3 16 748
3 17 2648
3 18 371
3 19 798
3 20 479
3 21 972
3 22 2960
3 23 2360
3 24 1691
3 25 478
3 26 772
3 27 1747
3 28 1243
3 29 2983
