100 5049
1 2 3475
1 3 793
1 4 3349
1 5 1685
1 6 2940
1 7 147
1 8 1304
1 9 2084
1 10 1489
1 11 3496
1 12 365
1 13 2475
1 14 870
1 15 1050
1 16 671
1 17 854
1 18 3242
1 19 2851
1 20 1065
1 21 121
1 22 2309
1 23 910
1 24 3385
1 25 999
1 26 909
1 27 2882
1 28 1052
1 29 3520
1 30 2059
1 31 1809
1 32 455
1 33 1976
1 34 3096
1 35 535
1 36 826
1 37 3193
1 38 1899
1 39 2478
1 40 682
1 41 2706
1 42 1752
1 43 2701
1 44 984
1 45 931
1 46 832
1 47 447
1 48 1767
1 49 957
1 50 1350
1 51 380
1 52 867
1 53 3286
1 54 1028
1 55 2714
1 56 950
1 57 1605
1 58 561
1 59 712
1 60 1606
1 61 887
1 62 748
1 63 489
1 64 753
1 65 1397
1 66 2084
1 67 3030
1 68 1830
1 69 332
1 70 3092
1 71 911
1 72 1263
1 73 620
1 74 74
1 75 2620
1 76 297
1 77 3401
1 78 3391
1 79 872
1 80 1513
1 81 1041
1 82 3004
1 83 187
1 84 828
1 85 3341
1 86 2689
1 87 2700
1 88 492
1 89 1038
1 90 1832
1 91 2610
1 92 2873
1 93 2392
1 94 2958
1 95 728
1 96 3386
1 97 1292
1 98 553
1 99 913
1 100 3496
2 3 4127
2 4 146
2 5 1985
2 6 838
2 7 3401
2 8 2307
2 9 1425
2 10 2056
2 11 84
2 12 3340
2 13 1020
2 14 3050
2 15 3020
2 16 3442
2 17 2713
2 18 1746
2 19 1714
2 20 2999
2 21 3475
2 22 1910
2 23 3237
2 24 1699
2 25 2476
2 26 3830
2 27 659
2 28 3467
2 29 1579
2 30 1582
2 31 1677
2 32 3393
2 33 2133
2 34 908
2 35 2979
2 36 3555
2 37 729
2 38 2355
2 39 1675
2 40 2806
2 41 835
2 42 1940
2 43 1704
2 44 3031
2 45 2557
2 46 4123
2 47 3724
2 48 2035
2 49 2825
2 50 2356
2 51 3787
2 52 2985
2 53 1045
2 54 2454
2 55 1124
2 56 3015
2 57 1876
2 58 3281
2 59 3613
2 60 2078
2 61 3310
2 62 3010
2 63 3168
2 64 3268
2 65 2117
2 66 1452
2 67 571
2 68 2448
2 69 3807
2 70 599
2 71 3341
2 72 2886
2 73 3418
2 74 3461
2 75 869
2 76 3368
2 77 666
2 78 1041
2 79 3727
2 80 1981
2 81 3426
2 82 480
2 83 3436
2 84 2756
2 85 550
2 86 1825
2 87 936
2 88 3015
2 89 3346
2 90 1908
2 91 1286
2 92 602
2 93 1318
2 94 1712
2 95 3461
2 96 465
2 97 2189
2 98 3720
2 99 2585
2 100 1466
3 4 3993
3 5 2203
3 6 3503
3 7 933
3 8 1839
3 9 2789
3 10 2234
3 11 4138
3 12 1131
3 13 3108
3 14 1150
3 15 1822
3 16 740
3 17 1634
3 18 3612
3 19 3236
3 20 1838
3 21 875
3 22 2694
3 23 1649
3 24 3766
3 25 1694
3 26 530
3 27 3573
3 28 1723
3 29 3928
3 30 2610
3 31 2452
3 32 1187
3 33 2345
3 34 3631
3 35 1313
3 36 1466
3 37 3753
3 38 2203
3 39 2905
3 40 1430
3 41 3403
3 42 2264
3 43 3098
3 44 1220
3 45 1665
3 46 77
3 47 408
3 48 2230
3 49 1750
3 50 2134
3 51 786
3 52 1198
3 53 3789
3 54 1748
3 55 3246
3 56 1727
3 57 2300
3 58 1318
3 59 1323
3 60 2378
3 61 963
3 62 1538
3 63 1278
3 64 1495
3 65 2010
3 66 2687
3 67 3726
3 68 2111
3 69 582
3 70 3684
3 71 954
3 72 1481
3 73 744
3 74 851
3 75 3299
3 76 1064
3 77 3963
3 78 3893
3 79 596
3 80 2228
3 81 980
3 82 3671
3 83 735
3 84 1612
3 85 3923
3 86 3057
3 87 3418
3 88 1268
3 89 1036
3 90 2327
3 91 3118
3 92 3530
3 93 2936
3 94 3339
3 95 1408
3 96 3978
3 97 1999
3 98 1086
3 99 1658
3 100 3924
4 5 1842
4 6 697
4 7 3277
4 8 2168
4 9 1315
4 10 1945
4 11 147
4 12 3222
4 13 884
4 14 2910
4 15 2921
4 16 3304
4 17 2598
4 18 1633
4 19 1582
4 20 2901
4 21 3352
4 22 1765
4 23 3135
4 24 1594
4 25 2350
4 26 3690
4 27 583
4 28 3370
4 29 1486
4 30 1438
4 31 1546
4 32 3278
4 33 1987
4 34 782
4 35 2858
4 36 3450
4 37 609
4 38 2209
4 39 1531
4 40 2684
4 41 750
4 42 1796
4 43 1566
4 44 2889
4 45 2436
4 46 3987
4 47 3591
4 48 1890
4 49 2720
4 50 2255
4 51 3666
4 52 2845
4 53 939
4 54 2332
4 55 980
4 56 2913
4 57 1754
4 58 3169
4 59 3504
4 60 1981
4 61 3169
4 62 2900
4 63 3052
4 64 3162
4 65 1983
4 66 1313
4 67 529
4 68 2301
4 69 3681
4 70 460
4 71 3200
4 72 2742
4 73 3280
4 74 3337
4 75 761
4 76 3249
4 77 579
4 78 947
4 79 3587
4 80 1863
4 81 3284
4 82 381
4 83 3306
4 84 2642
4 85 450
4 86 1688
4 87 871
4 88 2894
4 89 3203
4 90 1763
4 91 1142
4 92 481
4 93 1171
4 94 1585
4 95 3353
4 96 376
4 97 2067
4 98 3605
4 99 2465
4 100 1373
5 6 1301
5 7 1662
5 8 381
5 9 959
5 10 940
5 11 1982
5 12 1698
5 13 985
5 14 1078
5 15 1766
5 16 1483
5 17 1222
5 18 1605
5 19 1216
5 20 1756
5 21 1729
5 22 723
5 23 1884
5 24 1734
5 25 824
5 26 1855
5 27 1545
5 28 2153
5 29 1851
5 30 411
5 31 504
5 32 1792
5 33 512
5 34 1431
5 35 1325
5 36 2106
5 37 1550
5 38 640
5 39 823
5 40 1149
5 41 1414
5 42 68
5 43 1062
5 44 1048
5 45 975
5 46 2187
5 47 1819
5 48 182
5 49 1488
5 50 1261
5 51 2052
5 52 1018
5 53 1605
5 54 882
5 55 1046
5 56 1696
5 57 680
5 58 1736
5 59 2095
5 60 1196
5 61 1329
5 62 1553
5 63 1571
5 64 1826
5 65 391
5 66 549
5 67 1703
5 68 678
5 69 2003
5 70 1490
5 71 1359
5 72 910
5 73 1467
5 74 1698
5 75 1264
5 76 1695
5 77 1760
5 78 1711
5 79 1752
5 80 769
5 81 1442
5 82 1575
5 83 1588
5 84 1267
5 85 1722
5 86 1082
5 87 1505
5 88 1343
5 89 1361
5 90 157
5 91 928
5 92 1422
5 93 733
5 94 1322
5 95 1982
5 96 1782
5 97 741
5 98 2099
5 99 1022
5 100 1819
6 7 2893
6 8 1668
6 9 1157
6 10 1709
6 11 798
6 12 2880
6 13 591
6 14 2375
6 15 2722
6 16 2783
6 17 2293
6 18 1027
6 19 900
6 20 2704
6 21 2964
6 22 1081
6 23 2907
6 24 1036
6 25 1971
6 26 3146
6 27 851
6 28 3164
6 29 998
6 30 894
6 31 1168
6 32 2955
6 33 1335
6 34 217
6 35 2501
6 36 3194
6 37 253
6 38 1553
6 39 840
6 40 2319
6 41 897
6 42 1243
6 43 871
6 44 2335
6 45 2088
6 46 3488
6 47 3115
6 48 1302
6 49 2479
6 50 2067
6 51 3288
6 52 2317
6 53 472
6 54 1980
6 55 296
6 56 2689
6 57 1449
6 58 2866
6 59 3221
6 60 1835
6 61 2617
6 62 2623
6 63 2724
6 64 2899
6 65 1543
6 66 863
6 67 933
6 68 1651
6 69 3268
6 70 240
6 71 2645
6 72 2151
6 73 2768
6 74 2941
6 75 771
6 76 2893
6 77 462
6 78 553
6 79 3043
6 80 1577
6 81 2710
6 82 689
6 83 2865
6 84 2340
6 85 426
6 86 993
6 87 1073
6 88 2530
6 89 2630
6 90 1187
6 91 459
6 92 593
6 93 569
6 94 919
6 95 3082
6 96 496
6 97 1733
6 98 3280
6 99 2126
6 100 901
7 8 1285
7 9 1997
7 10 1389
7 11 3425
7 12 221
7 13 2410
7 14 936
7 15 904
7 16 789
7 17 739
7 18 3241
7 19 2849
7 20 918
7 21 75
7 22 2312
7 23 765
7 24 3380
7 25 931
7 26 1051
7 27 2797
7 28 919
7 29 3509
7 30 2023
7 31 1746
7 32 318
7 33 1986
7 34 3056
7 35 430
7 36 704
7 37 3146
7 38 1925
7 39 2469
7 40 595
7 41 2619
7 42 1730
7 43 2697
7 44 1052
7 45 845
7 46 975
7 47 594
7 48 1758
7 49 818
7 50 1227
7 51 395
7 52 922
7 53 3253
7 54 946
7 55 2677
7 56 804
7 57 1525
7 58 415
7 59 601
7 60 1490
7 61 988
7 62 605
7 63 346
7 64 609
7 65 1351
7 66 2032
7 67 2942
7 68 1862
7 69 424
7 70 3036
7 71 1016
7 72 1322
7 73 736
7 74 81
7 75 2540
7 76 153
7 77 3352
7 78 3358
7 79 1010
7 80 1427
7 81 1152
7 82 2926
7 83 308
7 84 708
7 85 3287
7 86 2692
7 87 2605
7 88 389
7 89 1143
7 90 1814
7 91 2579
7 92 2799
7 93 2354
7 94 2956
7 95 597
7 96 3329
7 97 1212
7 98 482
7 99 820
7 100 3480
8 9 1108
8 10 846
8 11 2312
8 12 1333
8 13 1289
8 14 747
8 15 1483
8 16 1136
8 17 918
8 18 1964
8 19 1572
8 20 1476
8 21 1350
8 22 1049
8 23 1570
8 24 2099
8 25 515
8 26 1524
8 27 1808
8 28 1837
8 29 2224
8 30 774
8 31 675
8 32 1432
8 33 758
8 34 1807
8 35 968
8 36 1765
8 37 1919
8 38 785
8 39 1187
8 40 800
8 41 1657
8 42 448
8 43 1419
8 44 745
8 45 670
8 46 1827
8 47 1448
8 48 479
8 49 1204
8 50 1085
8 51 1673
8 52 679
8 53 1986
8 54 598
8 55 1423
8 56 1401
8 57 681
8 58 1387
8 59 1742
8 60 1108
8 61 1013
8 62 1232
8 63 1217
8 64 1495
8 65 267
8 66 856
8 67 1967
8 68 771
8 69 1621
8 70 1845
8 71 1048
8 72 696
8 73 1113
8 74 1318
8 75 1525
8 76 1325
8 77 2129
8 78 2091
8 79 1422
8 80 708
8 81 1153
8 82 1871
8 83 1207
8 84 959
8 85 2085
8 86 1424
8 87 1717
8 88 982
8 89 1074
8 90 529
8 91 1309
8 92 1723
8 93 1105
8 94 1679
8 95 1639
8 96 2139
8 97 569
8 98 1731
8 99 718
8 100 2195
9 10 631
9 11 1460
9 12 1921
9 13 566
9 14 1825
9 15 1616
9 16 2169
9 17 1291
9 18 1994
9 19 1687
9 20 1597
9 21 2072
9 22 1428
9 23 1824
9 24 2065
9 25 1098
9 26 2575
9 27 800
9 28 2065
9 29 2091
9 30 780
9 31 458
9 32 1970
9 33 1398
9 34 1370
9 35 1569
9 36 2136
9 37 1374
9 38 1576
9 39 1351
9 40 1404
9 41 622
9 42 961
9 43 1562
9 44 1843
9 45 1154
9 46 2797
9 47 2381
9 48 1113
9 49 1405
9 50 948
9 51 2375
9 52 1752
9 53 1622
9 54 1057
9 55 1105
9 56 1602
9 57 490
9 58 1857
9 59 2189
9 60 690
9 61 2095
9 62 1586
9 63 1747
9 64 1847
9 65 852
9 66 558
9 67 946
9 68 1628
9 69 2413
9 70 1196
9 71 2133
9 72 1797
9 73 2133
9 74 2062
9 75 556
9 76 1952
9 77 1548
9 78 1709
9 79 2477
9 80 571
9 81 2250
9 82 944
9 83 2069
9 84 1333
9 85 1445
9 86 1647
9 87 631
9 88 1608
9 89 2174
9 90 1000
9 91 1127
9 92 836
9 93 887
9 94 1767
9 95 2038
9 96 1457
9 97 795
9 98 2296
9 99 1176
9 100 2012
10 11 2091
10 12 1297
10 13 1141
10 14 1410
10 15 1013
10 16 1686
10 17 665
10 18 2387
10 19 2028
10 20 995
10 21 1464
10 22 1623
10 23 1206
10 24 2487
10 25 568
10 26 2093
10 27 1424
10 28 1458
10 29 2552
10 30 1035
10 31 597
10 32 1341
10 33 1452
10 34 1910
10 35 960
10 36 1510
10 37 1947
10 38 1560
10 39 1642
10 40 810
10 41 1243
10 42 985
10 43 1882
10 44 1461
10 45 568
10 46 2250
10 47 1829
10 48 1122
10 49 781
10 50 367
10 51 1758
10 52 1337
10 53 2148
10 54 492
10 55 1582
10 56 985
10 57 295
10 58 1226
10 59 1559
10 60 264
10 61 1670
10 62 955
10 63 1121
10 64 1219
10 65 603
10 66 903
10 67 1563
10 68 1574
10 69 1811
10 70 1790
10 71 1710
10 72 1508
10 73 1642
10 74 1460
10 75 1186
10 76 1332
10 77 2136
10 78 2244
10 79 2002
10 80 175
10 81 1847
10 82 1575
10 83 1500
10 84 706
10 85 2044
10 86 1936
10 87 1217
10 88 1001
10 89 1780
10 90 1065
10 91 1550
10 92 1465
10 93 1292
10 94 2124
10 95 1409
10 96 2066
10 97 296
10 98 1666
10 99 579
10 100 2489
11 12 3369
11 13 1030
11 14 3052
11 15 3063
11 16 3447
11 17 2744
11 18 1679
11 19 1660
11 20 3043
11 21 3499
11 22 1877
11 23 3278
11 24 1627
11 25 2498
11 26 3831
11 27 713
11 28 3512
11 29 1503
11 30 1575
11 31 1693
11 32 3424
11 33 2110
11 34 851
11 35 3005
11 36 3594
11 37 669
11 38 2331
11 39 1638
11 40 2831
11 41 885
11 42 1935
11 43 1656
11 44 3030
11 45 2583
11 46 4132
11 47 3736
11 48 2025
11 49 2864
11 50 2398
11 51 3813
11 52 2987
11 53 975
11 54 2479
11 55 1089
11 56 3057
11 57 1901
11 58 3315
11 59 3649
11 60 2122
11 61 3309
11 62 3046
11 63 3198
11 64 3306
11 65 2128
11 66 1456
11 67 638
11 68 2426
11 69 3828
11 70 559
11 71 3340
11 72 2878
11 73 3424
11 74 3484
11 75 905
11 76 3396
11 77 592
11 78 967
11 79 3729
11 80 2010
11 81 3422
11 82 521
11 83 3453
11 84 2788
11 85 481
11 86 1777
11 87 996
11 88 3041
11 89 3342
11 90 1899
11 91 1252
11 92 628
11 93 1300
11 94 1655
11 95 3498
11 96 394
11 97 2214
11 98 3752
11 99 2612
11 100 1390
12 13 2370
12 14 1097
12 15 692
12 16 998
12 17 632
12 18 3296
12 19 2905
12 20 708
12 21 259
12 22 2378
12 23 545
12 24 3430
12 25 911
12 26 1272
12 27 2720
12 28 707
12 29 3549
12 30 2032
12 31 1717
12 32 116
12 33 2065
12 34 3053
12 35 381
12 36 512
12 37 3131
12 38 2026
12 39 2517
12 40 563
12 41 2539
12 42 1766
12 43 2752
12 44 1213
12 45 795
12 46 1178
12 47 811
12 48 1812
12 49 642
12 50 1088
12 51 469
12 52 1073
12 53 3261
12 54 903
12 55 2681
12 56 596
12 57 1470
12 58 195
12 59 435
12 60 1363
12 61 1182
12 62 420
12 63 179
12 64 389
12 65 1356
12 66 2017
12 67 2860
