105 5564
1 2 31
1 3 309
1 4 1210
1 5 1151
1 6 150
1 7 181
1 8 598
1 9 697
1 10 299
1 11 331
1 12 488
1 13 1275
1 14 1227
1 15 473
1 16 763
1 17 846
1 18 819
1 19 715
1 20 624
1 21 579
1 22 610
1 23 661
1 24 747
1 25 847
1 26 870
1 27 773
1 28 691
1 29 642
1 30 717
1 31 757
1 32 787
1 33 849
1 34 1461
1 35 1428
1 36 1084
1 37 1147
1 38 1655
1 39 1631
1 40 1220
1 41 1357
1 42 1409
1 43 1424
1 44 1367
1 45 1317
1 46 1482
1 47 1427
1 48 1380
1 49 1358
1 50 1442
1 51 1487
1 52 1540
1 53 1598
1 54 1548
1 55 1504
1 56 1567
1 57 1608
1 58 1657
1 59 1673
1 60 2123
1 61 2115
1 62 1933
1 63 1972
1 64 2046
1 65 2382
1 66 2379
1 67 2130
1 68 2160
1 69 2228
1 70 2264
1 71 2182
1 72 2226
1 73 2253
1 74 2289
1 75 2326
1 76 2292
1 77 2265
1 78 2269
1 79 2296
1 80 2322
1 81 2356
1 82 2300
1 83 2341
1 84 2344
1 85 2418
1 86 2451
1 87 2744
1 88 2745
1 89 2627
1 90 2658
1 91 2693
1 92 2724
1 93 2756
1 94 3023
1 95 3027
1 96 2843
1 97 2874
1 98 2928
1 99 2957
1 100 3189
1 101 2992
1 102 3024
1 103 563
1 104 1142
1 105 1743
2 3 303
2 4 1208
2 5 1147
2 6 119
2 7 150
2 8 588
2 9 687
2 10 268
2 11 300
2 12 464
2 13 1265
2 14 1216
2 15 442
2 16 743
2 17 827
2 18 797
2 19 690
2 20 596
2 21 549
2 22 579
2 23 632
2 24 721
2 25 824
2 26 847
2 27 748
2 28 662
2 29 611
2 30 686
2 31 727
2 32 756
2 33 820
2 34 1444
2 35 1410
2 36 1058
2 37 1121
2 38 1634
2 39 1609
2 40 1190
2 41 1328
2 42 1381
2 43 1396
2 44 1337
2 45 1287
2 46 1453
2 47 1397
2 48 1349
2 49 1327
2 50 1411
2 51 1457
2 52 1511
2 53 1569
2 54 1518
2 55 1474
2 56 1536
2 57 1578
2 58 1628
2 59 1642
2 60 2098
2 61 2089
2 62 1903
2 63 1943
2 64 2015
2 65 2356
2 66 2352
2 67 2099
2 68 2129
2 69 2198
2 70 2234
2 71 2151
2 72 2196
2 73 2223
2 74 2259
2 75 2296
2 76 2261
2 77 2234
2 78 2238
2 79 2265
2 80 2292
2 81 2326
2 82 2269
2 83 2310
2 84 2313
2 85 2387
2 86 2421
2 87 2716
2 88 2717
2 89 2597
2 90 2628
2 91 2662
2 92 2693
2 93 2725
2 94 2994
2 95 2998
2 96 2812
2 97 2843
2 98 2897
2 99 2927
2 100 3161
2 101 2961
2 102 2993
2 103 533
2 104 1112
2 105 1712
3 4 907
3 5 845
3 6 309
3 7 318
3 8 292
3 9 388
3 10 373
3 11 393
3 12 307
3 13 967
3 14 921
3 15 441
3 16 512
3 17 577
3 18 572
3 19 512
3 20 499
3 21 546
3 22 574
3 23 538
3 24 550
3 25 606
3 26 634
3 27 581
3 28 570
3 29 604
3 30 640
3 31 693
3 32 728
3 33 716
3 34 1175
3 35 1148
3 36 889
3 37 931
3 38 1391
3 39 1375
3 40 1146
3 41 1186
3 42 1220
3 43 1253
3 44 1226
3 45 1223
3 46 1314
3 47 1289
3 48 1285
3 49 1290
3 50 1348
3 51 1352
3 52 1376
3 53 1437
3 54 1415
3 55 1411
3 56 1474
3 57 1477
3 58 1499
3 59 1600
3 60 1899
3 61 1898
3 62 1790
3 63 1815
3 64 1945
3 65 2174
3 66 2178
3 67 2054
3 68 2086
3 69 2094
3 70 2117
3 71 2114
3 72 2135
3 73 2138
3 74 2153
3 75 2191
3 76 2177
3 77 2174
3 78 2201
3 79 2205
3 80 2208
3 81 2222
3 82 2232
3 83 2270
3 84 2265
3 85 2349
3 86 2354
3 87 2552
3 88 2560
3 89 2502
3 90 2522
3 91 2631
3 92 2662
3 93 2661
3 94 2841
3 95 2851
3 96 2780
3 97 2811
3 98 2807
3 99 2826
3 100 3013
3 101 2929
3 102 2960
3 103 488
3 104 1023
3 105 1638
4 5 71
4 6 1208
4 7 1209
4 8 654
4 9 555
4 10 1222
4 11 1227
4 12 947
4 13 307
4 14 345
4 15 1174
4 16 765
4 17 686
4 18 777
4 19 908
4 20 1068
4 21 1226
4 22 1238
4 23 1085
4 24 929
4 25 801
4 26 821
4 27 946
4 28 1100
4 29 1251
4 30 1210
4 31 1260
4 32 1291
4 33 1136
4 34 717
4 35 751
4 36 1043
4 37 990
4 38 1024
4 39 1057
4 40 1537
4 41 1298
4 42 1258
4 43 1342
4 44 1422
4 45 1544
4 46 1398
4 47 1475
4 48 1593
4 49 1663
4 50 1643
4 51 1529
4 52 1455
4 53 1512
4 54 1583
4 55 1694
4 56 1745
4 57 1639
4 58 1570
4 59 1901
4 60 1638
4 61 1671
4 62 1856
4 63 1831
4 64 2118
4 65 1945
4 66 1978
4 67 2283
4 68 2318
4 69 2147
4 70 2126
4 71 2361
4 72 2312
4 73 2243
4 74 2193
4 75 2230
4 76 2280
4 77 2348
4 78 2438
4 79 2376
4 80 2309
4 81 2260
4 82 2465
4 83 2494
4 84 2466
4 85 2571
4 86 2493
4 87 2355
4 88 2387
4 89 2541
4 90 2524
4 91 2851
4 92 2879
4 93 2782
4 94 2662
4 95 2694
4 96 2988
4 97 3016
4 98 2838
4 99 2825
4 100 2843
4 101 3125
4 102 3154
4 103 1141
4 104 1343
4 105 1845
5 6 1144
5 7 1145
5 8 587
5 9 487
5 10 1155
5 11 1160
5 12 878
5 13 282
5 14 307
5 15 1104
5 16 695
5 17 617
5 18 707
5 19 838
5 20 998
5 21 1155
5 22 1167
5 23 1014
5 24 858
5 25 732
5 26 753
5 27 876
5 28 1030
5 29 1180
5 30 1140
5 31 1190
5 32 1220
5 33 1066
5 34 688
5 35 716
5 36 979
5 37 929
5 38 994
5 39 1023
5 40 1471
5 41 1240
5 42 1202
5 43 1285
5 44 1361
5 45 1479
5 46 1342
5 47 1415
5 48 1529
5 49 1597
5 50 1580
5 51 1470
5 52 1399
5 53 1457
5 54 1525
5 55 1632
5 56 1684
5 57 1581
5 58 1516
5 59 1839
5 60 1607
5 61 1638
5 62 1805
5 63 1782
5 64 2062
5 65 1914
5 66 1945
5 67 2225
5 68 2260
5 69 2098
5 70 2079
5 71 2303
5 72 2257
5 73 2192
5 74 2145
5 75 2183
5 76 2228
5 77 2293
5 78 2381
5 79 2322
5 80 2258
5 81 2213
5 82 2408
5 83 2438
5 84 2411
5 85 2514
5 86 2441
5 87 2324
5 88 2354
5 89 2494
5 90 2480
5 91 2796
5 92 2824
5 93 2731
5 94 2631
5 95 2661
5 96 2933
5 97 2962
5 98 2794
5 99 2782
5 100 2812
5 101 3071
5 102 3101
5 103 1071
5 104 1278
5 105 1786
6 7 31
6 8 565
6 9 667
6 10 149
6 11 181
6 12 382
6 13 1236
6 14 1182
6 15 327
6 16 672
6 17 763
6 18 723
6 19 602
6 20 491
6 21 431
6 22 462
6 23 525
6 24 631
6 25 747
6 26 767
6 27 654
6 28 554
6 29 493
6 30 571
6 31 610
6 32 639
6 33 712
6 34 1384
6 35 1345
6 36 960
6 37 1029
6 38 1557
6 39 1529
6 40 1072
6 41 1222
6 42 1279
6 43 1289
6 44 1226
6 45 1170
6 46 1346
6 47 1285
6 48 1232
6 49 1208
6 50 1294
6 51 1345
6 52 1403
6 53 1460
6 54 1404
6 55 1356
6 56 1418
6 57 1465
6 58 1518
6 59 1524
6 60 2003
6 61 1991
6 62 1790
6 63 1832
6 64 1898
6 65 2255
6 66 2250
6 67 1981
6 68 2011
6 69 2084
6 70 2121
6 71 2032
6 72 2078
6 73 2107
6 74 2144
6 75 2182
6 76 2145
6 77 2116
6 78 2119
6 79 2147
6 80 2175
6 81 2212
6 82 2150
6 83 2191
6 84 2194
6 85 2268
6 86 2303
6 87 2611
6 88 2610
6 89 2481
6 90 2514
6 91 2543
