318 50720
1 2 31
1 3 309
1 4 1210
1 5 1151
1 6 150
1 7 181
1 8 598
1 9 697
1 10 299
1 11 331
1 12 488
1 13 1275
1 14 1227
1 15 473
1 16 763
1 17 846
1 18 819
1 19 715
1 20 624
1 21 579
1 22 610
1 23 661
1 24 747
1 25 847
1 26 870
1 27 773
1 28 691
1 29 642
1 30 717
1 31 757
1 32 787
1 33 849
1 34 1461
1 35 1428
1 36 1084
1 37 1147
1 38 1655
1 39 1631
1 40 1220
1 41 1357
1 42 1409
1 43 1424
1 44 1367
1 45 1317
1 46 1482
1 47 1427
1 48 1380
1 49 1358
1 50 1442
1 51 1487
1 52 1540
1 53 1598
1 54 1548
1 55 1504
1 56 1567
1 57 1608
1 58 1657
1 59 1673
1 60 2123
1 61 2115
1 62 1933
1 63 1972
1 64 2046
1 65 2382
1 66 2379
1 67 2130
1 68 2160
1 69 2228
1 70 2264
1 71 2182
1 72 2226
1 73 2253
1 74 2289
1 75 2326
1 76 2292
1 77 2265
1 78 2269
1 79 2296
1 80 2322
1 81 2356
1 82 2300
1 83 2341
1 84 2344
1 85 2418
1 86 2451
1 87 2744
1 88 2745
1 89 2627
1 90 2658
1 91 2693
1 92 2724
1 93 2756
1 94 3023
1 95 3027
1 96 2843
1 97 2874
1 98 2928
1 99 2957
1 100 3189
1 101 2992
1 102 3024
1 103 563
1 104 1142
1 105 1743
1 106 1331
1 107 1331
1 108 1632
1 109 2538
1 110 2477
1 111 1337
1 112 1341
1 113 1902
1 114 2004
1 115 1362
1 116 1370
1 117 1675
1 118 2570
1 119 2513
1 120 1491
1 121 1960
1 122 2061
1 123 1999
1 124 1848
1 125 1676
1 126 1515
1 127 1527
1 128 1690
1 129 1860
1 130 2010
1 131 2020
1 132 1871
1 133 1702
1 134 1540
1 135 1638
1 136 1631
1 137 1632
1 138 1814
1 139 2667
1 140 2618
1 141 2106
1 142 2201
1 143 2778
1 144 2734
1 145 1902
1 146 2258
1 147 2349
1 148 2313
1 149 2184
1 150 2023
1 151 2349
1 152 2222
1 153 2064
1 154 1971
1 155 2106
1 156 2261
1 157 2386
1 158 2424
1 159 2302
1 160 2149
1 161 2193
1 162 2343
1 163 2464
1 164 2210
1 165 3080
1 166 3047
1 167 2645
1 168 2724
1 169 2599
1 170 3264
1 171 3236
1 172 2582
1 173 2599
1 174 2868
1 175 2942
1 176 2593
1 177 2716
1 178 2825
1 179 2926
1 180 2955
1 181 2856
1 182 2748
1 183 2666
1 184 2774
1 185 2880
1 186 2979
1 187 2693
1 188 2735
1 189 2768
1 190 2794
1 191 2929
1 192 3537
1 193 3514
1 194 3188
1 195 3256
1 196 3003
1 197 3031
1 198 3188
1 199 3757
1 200 3738
1 201 3138
1 202 3166
1 203 3440
1 204 3503
1 205 3892
1 206 3274
1 207 3303
1 208 1576
1 209 1968
1 210 2367
1 211 2662
1 212 2662
1 213 2962
1 214 3869
1 215 3807
1 216 2664
1 217 2666
1 218 3228
1 219 3330
1 220 2677
1 221 2681
1 222 2986
1 223 3889
1 224 3830
1 225 2787
1 226 3263
1 227 3365
1 228 3296
1 229 3140
1 230 2961
1 231 2793
1 232 2799
1 233 2970
1 234 3147
1 235 3303
1 236 3309
1 237 3154
1 238 2977
1 239 2806
1 240 2897
1 241 2879
1 242 2872
1 243 3066
1 244 3954
1 245 3900
1 246 3352
1 247 3453
1 248 4030
1 249 3978
1 250 3048
1 251 3450
1 252 3548
1 253 3495
1 254 3349
1 255 3161
1 256 3519
1 257 3374
1 258 3188
1 259 3078
1 260 3215
1 261 3400
1 262 3544
1 263 3570
1 264 3427
1 265 3243
1 266 3273
1 267 3455
1 268 3597
1 269 3243
1 270 4244
1 271 4200
1 272 3714
1 273 3807
1 274 3587
1 275 4379
1 276 4339
1 277 3512
1 278 3519
1 279 3877
1 280 3966
1 281 3497
1 282 3653
1 283 3798
1 284 3928
1 285 3950
1 286 3821
1 287 3676
1 288 3551
1 289 3696
1 290 3839
1 291 3968
1 292 3571
1 293 3609
1 294 3657
1 295 3648
1 296 3832
1 297 4586
1 298 4550
1 299 4119
1 300 4204
1 301 3785
1 302 3807
1 303 4034
1 304 4758
1 305 4725
1 306 3893
1 307 3916
1 308 4317
1 309 4399
1 310 4866
1 311 4003
1 312 4027
1 313 2863
1 314 3159
1 315 3423
1 316 1362
1 317 1441
1 318 4305
2 3 303
2 4 1208
2 5 1147
2 6 119
2 7 150
2 8 588
2 9 687
2 10 268
2 11 300
2 12 464
2 13 1265
2 14 1216
2 15 442
2 16 743
2 17 827
2 18 797
2 19 690
2 20 596
2 21 549
2 22 579
2 23 632
2 24 721
2 25 824
2 26 847
2 27 748
2 28 662
2 29 611
2 30 686
2 31 727
2 32 756
2 33 820
2 34 1444
2 35 1410
2 36 1058
2 37 1121
2 38 1634
2 39 1609
2 40 1190
2 41 1328
2 42 1381
2 43 1396
2 44 1337
2 45 1287
2 46 1453
2 47 1397
2 48 1349
2 49 1327
2 50 1411
2 51 1457
2 52 1511
2 53 1569
2 54 1518
2 55 1474
2 56 1536
2 57 1578
2 58 1628
2 59 1642
2 60 2098
2 61 2089
2 62 1903
2 63 1943
2 64 2015
2 65 2356
2 66 2352
2 67 2099
2 68 2129
2 69 2198
2 70 2234
2 71 2151
2 72 2196
2 73 2223
2 74 2259
2 75 2296
2 76 2261
2 77 2234
2 78 2238
2 79 2265
2 80 2292
2 81 2326
2 82 2269
2 83 2310
2 84 2313
2 85 2387
2 86 2421
2 87 2716
2 88 2717
2 89 2597
2 90 2628
2 91 2662
2 92 2693
2 93 2725
2 94 2994
2 95 2998
2 96 2812
2 97 2843
2 98 2897
2 99 2927
2 100 3161
2 101 2961
2 102 2993
2 103 533
2 104 1112
2 105 1712
2 106 1331
2 107 1331
2 108 1631
2 109 2537
2 110 2475
2 111 1334
2 112 1337
2 113 1899
2 114 2001
2 115 1356
2 116 1362
2 117 1668
2 118 2565
2 119 2508
2 120 1482
2 121 1952
2 122 2053
2 123 1990
2 124 1838
2 125 1665
2 126 1504
2 127 1515
2 128 1679
2 129 1850
2 130 2001
2 131 2010
2 132 1861
2 133 1691
2 134 1528
2 135 1625
2 136 1617
2 137 1617
2 138 1800
2 139 2658
2 140 2608
2 141 2092
2 142 2188
2 143 2765
2 144 2721
2 145 1882
2 146 2241
2 147 2332
2 148 2296
2 149 2166
2 150 2003
2 151 2331
2 152 2203
2 153 2044
2 154 1950
2 155 2085
2 156 2242
2 157 2368
2 158 2405
2 159 2282
2 160 2128
2 161 2172
2 162 2322
2 163 2444
2 164 2187
2 165 3063
2 166 3029
2 167 2623
2 168 2703
2 169 2575
2 170 3245
2 171 3216
2 172 2556
2 173 2573
2 174 2845
2 175 2919
2 176 2567
2 177 2691
2 178 2801
2 179 2903
2 180 2932
2 181 2831
2 182 2723
2 183 2640
2 184 2748
2 185 2856
2 186 2955
2 187 2666
2 188 2708
2 189 2742
2 190 2767
2 191 2903
2 192 3515
2 193 3492
2 194 3163
2 195 3231
2 196 2975
2 197 3003
2 198 3162
2 199 3734
2 200 3715
2 201 3110
2 202 3138
2 203 3414
2 204 3478
2 205 3869
2 206 3246
2 207 3275
2 208 1566
2 209 1950
2 210 2345
2 211 2662
2 212 2662
2 213 2961
2 214 3868
2 215 3806
2 216 2663
2 217 2664
2 218 3226
2 219 3328
2 220 2673
2 221 2677
2 222 2982
2 223 3886
2 224 3827
2 225 2782
2 226 3258
2 227 3360
2 228 3290
2 229 3135
2 230 2955
2 231 2787
2 232 2793
2 233 2964
2 234 3142
2 235 3297
2 236 3303
2 237 3148
2 238 2970
2 239 2800
2 240 2890
2 241 2871
2 242 2864
2 243 3058
2 244 3948
2 245 3893
2 246 3344
2 247 3444
2 248 4021
2 249 3969
2 250 3036
2 251 3439
2 252 3537
2 253 3484
2 254 3337
2 255 3149
2 256 3507
2 257 3362
2 258 3175
2 259 3064
2 260 3201
2 261 3387
2 262 3532
2 263 3557
2 264 3414
2 265 3229
2 266 3258
2 267 3441
