442 97902
1 2 100
1 3 200
1 4 300
1 5 400
1 6 500
1 7 600
1 8 700
1 9 800
1 10 900
1 11 1000
1 12 1100
1 13 1200
1 14 1300
1 15 1400
1 16 1500
1 17 1600
1 18 1700
1 19 1800
1 20 1900
1 21 2000
1 22 2100
1 23 2200
1 24 2300
1 25 2400
1 26 2500
1 27 2600
1 28 2700
1 29 2800
1 30 2900
1 31 3000
1 32 3100
1 33 3200
1 34 100
1 35 141
1 36 224
1 37 316
1 38 412
1 39 510
1 40 608
1 41 707
1 42 806
1 43 906
1 44 1005
1 45 1105
1 46 1204
1 47 1304
1 48 1404
1 49 1503
1 50 1603
1 51 1703
1 52 1803
1 53 1903
1 54 2002
1 55 2102
1 56 2202
1 57 2302
1 58 2402
1 59 2502
1 60 2602
1 61 2702
1 62 2802
1 63 2902
1 64 3002
1 65 3102
1 66 200
1 67 224
1 68 283
1 69 361
1 70 447
1 71 539
1 72 632
1 73 728
1 74 825
1 75 922
1 76 1020
1 77 1118
1 78 1217
1 79 1315
1 80 1414
1 81 1513
1 82 1612
1 83 1712
1 84 1811
1 85 1910
1 86 2010
1 87 2110
1 88 2209
1 89 2309
1 90 2408
1 91 2508
1 92 2608
1 93 2707
1 94 2807
1 95 2907
1 96 3007
1 97 3106
1 98 3206
1 99 1140
1 100 1460
1 101 2717
1 102 400
1 103 510
1 104 539
1 105 1208
1 106 1300
1 107 1487
1 108 1772
1 109 2062
1 110 2354
1 111 2648
1 112 2943
1 113 3239
1 114 608
1 115 632
1 116 870
1 117 1253
1 118 1523
1 119 1803
1 120 2088
1 121 2280
1 122 2377
1 123 2668
1 124 2961
1 125 3256
1 126 707
1 127 728
1 128 1304
1 129 1565
1 130 1838
1 131 2119
1 132 2404
1 133 2693
1 134 2983
1 135 3276
1 136 806
1 137 825
1 138 1063
1 139 1360
1 140 1466
1 141 1612
1 142 1879
1 143 2154
1 144 2341
1 145 2435
1 146 2720
1 147 3008
1 148 3298
1 149 906
1 150 922
1 151 949
1 152 1030
1 153 1421
1 154 1664
1 155 1924
