136 9315
1 2 1975
1 3 7150
1 4 9125
1 5 1222
1 6 637
1 7 707
1 8 1298
1 9 5976
1 10 6600
1 11 7791
1 12 8416
1 13 9146
1 14 7177
1 15 5001
1 16 2072
1 17 625
1 18 2312
1 19 795
1 20 2129
1 21 7194
1 22 9160
1 23 8483
1 24 7864
1 25 6686
1 26 6070
1 27 1679
1 28 1279
1 29 1242
1 30 1621
1 31 1420
1 32 2432
1 33 7290
1 34 9235
1 35 9475
1 36 7591
1 37 3225
1 38 2550
1 39 3095
1 40 2914
1 41 2930
1 42 3125
1 43 6618
1 44 7187
1 45 8294
1 46 8883
1 47 9662
1 48 7823
1 49 5927
1 50 3739
1 51 3175
1 52 3933
1 53 3345
1 54 3885
1 55 7894
1 56 9719
1 57 9172
1 58 8602
1 59 7541
1 60 7001
1 61 3871
1 62 3715
1 63 3702
1 64 3846
1 65 3970
1 66 4434
1 67 8178
1 68 9951
1 69 10453
1 70 8783
1 71 5469
1 72 5100
1 73 5538
1 74 5439
1 75 5447
1 76 5555
1 77 8055
1 78 8529
1 79 9480
1 80 10000
1 81 10772
1 82 9160
1 83 6056
1 84 5725
1 85 6213
1 86 5895
1 87 6217
1 88 7633
1 89 9267
1 90 10864
1 91 10454
1 92 9958
1 93 9057
1 94 8613
1 95 6337
1 96 6242
1 97 6235
1 98 6321
1 99 6520
1 100 6813
1 101 9676
1 102 11215
1 103 11907
1 104 10471
1 105 7901
1 106 7650
1 107 8047
1 108 7979
1 109 7985
1 110 8059
1 111 9949
1 112 10336
1 113 11134
1 114 11580
1 115 12318
1 116 10936
1 117 8507
1 118 8275
1 119 8645
1 120 8445
1 121 8673
1 122 9716
1 123 11065
1 124 12433
1 125 12144
1 126 11719
1 127 10964
1 128 10600
1 129 8850
1 130 8783
1 131 8778
1 132 8839
1 133 12866
1 134 11549
1 135 9283
1 136 9070
2 3 5175
2 4 7150
2 5 3172
2 6 2551
2 7 1375
2 8 779
2 9 4005
2 10 4628
2 11 5818
2 12 6442
2 13 7177
2 14 5213
2 15 3059
2 16 625
2 17 2072
2 18 4235
2 19 2129
2 20 795
2 21 5236
2 22 7194
2 23 6530
2 24 5915
2 25 4750
2 26 4144
2 27 1320
2 28 1740
2 29 2765
2 30 3346
2 31 2432
2 32 1420
2 33 5366
2 34 7290
2 35 7591
2 36 5769
2 37 2550
2 38 3225
2 39 4260
2 40 3820
2 41 3158
2 42 2948
2 43 4912
2 44 5432
2 45 6476
2 46 7042
2 47 7823
2 48 6071
2 49 4413
2 50 3175
2 51 3739
2 52 5297
2 53 3885
2 54 3345
2 55 6162
2 56 7894
2 57 7403
2 58 6867
2 59 5892
2 60 5417
2 61 3729
2 62 3898
2 63 4450
2 64 4833
2 65 4434
2 66 3970
2 67 6522
2 68 8178
2 69 8783
2 70 7266
2 71 5100
2 72 5469
2 73 6264
2 74 5973
2 75 5573
2 76 5457
2 77 6724
2 78 7113
2 79 7939
2 80 8407
2 81 9160
2 82 7717
2 83 5725
2 84 6056
2 85 7154
2 86 6217
2 87 5895
2 88 6527
2 89 7844
2 90 9267
2 91 8943
2 92 8504
2 93 7739
2 94 7383
2 95 6251
2 96 6353
2 97 6706
2 98 6966
2 99 6813
2 100 6520
2 101 8324
2 102 9676
2 103 10471
2 104 9236
2 105 7650
2 106 7901
2 107 8563
2 108 8353
2 109 8072
2 110 7992
2 111 8905
2 112 9203
2 113 9855
2 114 10236
2 115 10936
2 116 9760
2 117 8275
2 118 8507
2 119 9345
2 120 8673
2 121 8445
2 122 8874
2 123 9904
2 124 11065
2 125 10870
2 126 10512
2 127 9903
2 128 9627
2 129 8789
2 130 8862
2 131 9119
2 132 9312
2 133 11549
2 134 10442
2 135 9070
2 136 9283
3 4 1975
3 5 8338
3 6 7713
3 7 6522
3 8 5898
3 9 1222
3 10 637
3 11 707
3 12 1298
3 13 2072
3 14 625
3 15 2312
3 16 5213
3 17 7177
3 18 9377
3 19 7194
3 20 5236
3 21 795
3 22 2129
3 23 1679
3 24 1279
3 25 1242
3 26 1621
3 27 5994
3 28 6609
3 29 7787
3 30 8406
3 31 7290
3 32 5366
3 33 1420
3 34 2432
3 35 3225
3 36 2550
3 37 5769
3 38 7591
3 39 8809
3 40 8221
3 41 7115
3 42 6548
3 43 3095
3 44 2914
3 45 2930
3 46 3125
3 47 3739
3 48 3175
3 49 3933
3 50 6071
3 51 7823
3 52 9902
3 53 7894
3 54 6162
3 55 3345
3 56 3885
3 57 3871
3 58 3715
3 59 3702
3 60 3846
3 61 6935
3 62 7473
3 63 8532
3 64 9100
3 65 8178
3 66 6522
3 67 3970
3 68 4434
3 69 5469
3 70 5100
3 71 7266
3 72 8783
3 73 9934
3 74 9416
3 75 8468
3 76 7998
3 77 5538
3 78 5439
3 79 5447
3 80 5555
3 81 6056
3 82 5725
3 83 7717
3 84 9160
3 85 11008
3 86 9267
3 87 7844
3 88 6213
3 89 5895
3 90 6217
3 91 6337
3 92 6242
3 93 6235
3 94 6321
3 95 8559
