99 4949
1 2 14
1 3 23
1 4 28
1 5 43
1 6 52
1 7 61
1 8 71
1 9 81
1 10 17
1 11 25
1 12 27
1 13 40
1 14 42
1 15 58
1 16 67
1 17 80
1 18 87
1 19 49
1 20 40
1 21 54
1 22 52
1 23 59
1 24 69
1 25 74
1 26 84
1 27 97
1 28 68
1 29 75
1 30 68
1 31 73
1 32 83
1 33 87
1 34 96
1 35 96
1 36 106
1 37 77
1 38 92
1 39 96
1 40 97
1 41 92
1 42 99
1 43 100
1 44 107
1 45 122
1 46 105
1 47 107
1 48 100
1 49 119
1 50 110
1 51 118
1 52 122
1 53 128
1 54 134
1 55 120
1 56 130
1 57 126
1 58 130
1 59 138
1 60 128
1 61 143
1 62 146
1 63 149
1 64 142
1 65 143
1 66 150
1 67 154
1 68 158
1 69 158
1 70 159
1 71 162
1 72 166
1 73 173
1 74 158
1 75 166
1 76 175
1 77 173
1 78 169
1 79 180
1 80 171
1 81 177
1 82 191
1 83 192
1 84 186
1 85 186
1 86 195
1 87 197
1 88 193
1 89 202
1 90 206
1 91 207
1 92 213
1 93 207
1 94 214
1 95 203
1 96 215
1 97 211
1 98 218
1 99 215
2 3 9
2 4 18
2 5 33
2 6 42
2 7 52
2 8 62
2 9 71
2 10 11
2 11 11
2 12 13
2 13 26
2 14 29
2 15 45
2 16 54
2 17 67
2 18 75
2 19 40
2 20 29
2 21 40
2 22 38
2 23 45
2 24 54
2 25 60
2 26 70
2 27 83
2 28 58
2 29 63
2 30 55
2 31 59
2 32 69
2 33 73
2 34 82
2 35 82
2 36 92
2 37 66
2 38 80
2 39 84
2 40 84
2 41 78
2 42 85
2 43 85
2 44 93
2 45 107
2 46 95
2 47 96
2 48 88
2 49 107
2 50 97
2 51 104
2 52 108
2 53 114
2 54 120
2 55 110
2 56 119
2 57 114
2 58 118
2 59 125
2 60 114
2 61 129
2 62 132
2 63 135
2 64 132
2 65 132
2 66 138
2 67 142
2 68 146
2 69 145
2 70 145
2 71 148
2 72 152
2 73 162
2 74 147
2 75 154
2 76 163
2 77 160
2 78 156
2 79 167
2 80 157
2 81 163
2 82 180
2 83 181
2 84 174
2 85 174
2 86 183
2 87 184
2 88 180
2 89 188
2 90 192
2 91 196
2 92 202
2 93 195
2 94 202
2 95 191
2 96 203
2 97 198
2 98 205
2 99 202
3 4 11
3 5 25
3 6 33
3 7 44
3 8 54
3 9 62
3 10 18
3 11 11
3 12 7
3 13 19
3 14 20
3 15 35
3 16 45
3 17 58
3 18 65
3 19 41
3 20 29
3 21 35
3 22 32
3 23 36
3 24 46
3 25 51
3 26 61
3 27 74
3 28 58
3 29 61
3 30 52
3 31 54
3 32 64
3 33 66
3 34 74
3 35 73
3 36 84
3 37 65
3 38 77
3 39 80
3 40 79
3 41 73
3 42 78
3 43 78
3 44 85
3 45 99
3 46 93
3 47 94
3 48 84
3 49 102
3 50 92
3 51 98
3 52 102
3 53 107
3 54 112
3 55 108
3 56 116
3 57 111
3 58 114
3 59 120
3 60 109
3 61 123
3 62 126
3 63 128
3 64 130
3 65 129
3 66 135
3 67 138
3 68 141
3 69 140
3 70 139
3 71 142
3 72 145
3 73 160
3 74 144
3 75 151
3 76 159
3 77 156
3 78 151
3 79 161
3 80 151
3 81 157
3 82 178
3 83 178
3 84 171
3 85 170
3 86 178
3 87 179
3 88 174
3 89 183
3 90 186
3 91 194
3 92 199
3 93 192
3 94 198
3 95 186
3 96 198
3 97 193
3 98 199
3 99 196
4 5 15
4 6 24
4 7 34
4 8 44
4 9 53
4 10 28
4 11 21
4 12 16
4 13 23
4 14 15
4 15 32
4 16 40
4 17 52
4 18 59
4 19 51
4 20 38
4 21 41
4 22 37
4 23 37
4 24 46
4 25 49
4 26 59
4 27 70
4 28 67
4 29 68
4 30 59
4 31 59
4 32 68
4 33 68
4 34 75
4 35 71
4 36 81
4 37 74
4 38 85
4 39 86
4 40 85
4 41 77
4 42 81
4 43 79
4 44 84
4 45 99
4 46 101
4 47 101
4 48 90
4 49 107
4 50 96
4 51 101
4 52 104
4 53 109
4 54 112
4 55 116
4 56 123
4 57 117
4 58 119
4 59 125
4 60 113
4 61 127
4 62 128
4 63 129
4 64 138
4 65 136
4 66 141
4 67 143
4 68 146
4 69 144
4 70 143
4 71 145
4 72 147
4 73 167
4 74 151
4 75 157
4 76 165
4 77 161
4 78 155
4 79 165
4 80 154
4 81 159
4 82 186
4 83 185
4 84 177
4 85 175
4 86 183
4 87 184
4 88 179
4 89 186
4 90 189
4 91 201
4 92 206
4 93 198
4 94 204
4 95 192
4 96 203
4 97 197
4 98 203
4 99 199
5 6 9
5 7 19
5 8 29
5 9 38
5 10 43
5 11 34
5 12 28
5 13 28
5 14 12
5 15 24
5 16 29
5 17 40
5 18 45
5 19 61
5 20 48
5 21 46
5 22 40
5 23 34
5 24 41
5 25 41
5 26 51
5 27 60
5 28 74
5 29 74
5 30 64
5 31 61
5 32 67
5 33 65
5 34 69
5 35 63
5 36 72
5 37 80
5 38 89
5 39 89
5 40 86
5 41 76
5 42 78
5 43 75
5 44 77
5 45 93
5 46 106
5 47 105
5 48 93
5 49 107
5 50 95
5 51 99
5 52 100
5 53 104
5 54 106
5 55 121
5 56 126
5 57 120
5 58 120
5 59 125
5 60 111
5 61 124
5 62 124
5 63 123
5 64 142
5 65 139
5 66 143
5 67 143
5 68 146
5 69 142
5 70 140
5 71 141
5 72 142
5 73 171
5 74 154
5 75 159
5 76 166
5 77 160
5 78 154
5 79 163
5 80 151
5 81 155
5 82 189
5 83 187
5 84 178
5 85 175
5 86 183
5 87 182
5 88 177
5 89 183
5 90 186
5 91 203
5 92 208
5 93 200
5 94 204
5 95 191
5 96 201
5 97 195
5 98 200
5 99 196
6 7 11
6 8 20
6 9 29
6 10 51
6 11 42
6 12 36
6 13 33
6 14 17
6 15 21
6 16 23
6 17 33
6 18 37
6 19 67
6 20 54
6 21 49
6 22 42
6 23 34
6 24 38
6 25 37
6 26 45
6 27 52
6 28 79
6 29 77
6 30 66
6 31 61
6 32 67
6 33 63
6 34 66
6 35 57
6 36 66
6 37 84
6 38 90
6 39 90
6 40 87
6 41 75
6 42 75
6 43 71
6 44 72
6 45 88
6 46 108
6 47 107
6 48 94
6 49 107
6 50 94
6 51 96
6 52 97
6 53 100
6 54 101
6 55 123
6 56 126
6 57 120
6 58 119
6 59 124
6 60 109
6 61 121
6 62 121
6 63 119
6 64 143
6 65 139
6 66 143
6 67 142
6 68 145
6 69 140
6 70 137
6 71 138
6 72 138
6 73 171
6 74 154
6 75 158
6 76 164
6 77 158
6 78 152
6 79 160
6 80 148
6 81 151
6 82 189
6 83 187
6 84 177
6 85 174
6 86 181
6 87 180
6 88 174
6 89 180
6 90 182
6 91 203
6 92 208
6 93 199
6 94 203
6 95 189
6 96 199
6 97 192
6 98 197
6 99 192
7 8 10
7 9 20
7 10 62
7 11 52
7 12 46
7 13 43
7 14 27
7 15 28
7 16 26
7 17 31
7 18 32
7 19 77
7 20 65
7 21 58
7 22 52
7 23 41
7 24 44
7 25 40
7 26 47
7 27 51
7 28 88
7 29 86
7 30 75
7 31 69
7 32 73
7 33 68
7 34 69
7 35 58
7 36 66
7 37 93
7 38 99
7 39 97
7 40 94
7 41 82
7 42 80
7 43 75
7 44 74
7 45 89
7 46 117
7 47 115
7 48 101
7 49 113
7 50 99
7 51 100
7 52 100
7 53 103
7 54 102
7 55 131
7 56 134
7 57 127
7 58 125
7 59 129
7 60 114
7 61 125
7 62 124
7 63 121
7 64 151
7 65 146
7 66 149
7 67 148
7 68 150
7 69 144
7 70 141
7 71 141
7 72 140
7 73 178
7 74 161
7 75 164
7 76 170
7 77 163
7 78 157
7 79 164
7 80 151
7 81 153
7 82 196
7 83 193
7 84 183
7 85 179
7 86 186
7 87 184
7 88 178
7 89 183
7 90 185
7 91 209
7 92 214
7 93 205
7 94 209
7 95 194
7 96 203
7 97 196
7 98 200
7 99 195
8 9 10
8 10 72
8 11 62
8 12 56
8 13 51
8 14 36
8 15 33
8 16 29
8 17 29
8 18 27
8 19 86
8 20 73
8 21 65
8 22 59
8 23 47
8 24 47
8 25 42
8 26 47
8 27 48
8 28 96
8 29 92
8 30 81
8 31 75
8 32 77
8 33 71
8 34 70
8 35 57
8 36 64
8 37 100
8 38 104
8 39 102
8 40 98
8 41 85
8 42 81
8 43 76
8 44 73
8 45 88
8 46 122
8 47 120
8 48 106
8 49 116
8 50 102
8 51 102
8 52 100
8 53 103
8 54 101
8 55 136
8 56 138
8 57 131
8 58 128
8 59 132
8 60 116
8 61 126
8 62 124
8 63 119
8 64 155
8 65 150
8 66 152
8 67 150
8 68 152
8 69 145
8 70 141
8 71 141
8 72 139
8 73 182
8 74 165
8 75 167
8 76 172
8 77 165
8 78 158
8 79 164
8 80 151
8 81 152
8 82 200
8 83 196
8 84 186
8 85 181
8 86 188
8 87 185
8 88 179
8 89 183
8 90 184
8 91 213
8 92 217
8 93 207
8 94 210
8 95 195
8 96 204
