100 5049
1 2 1134
1 3 421
1 4 359
1 5 521
1 6 627
1 7 698
1 8 55
1 9 499
1 10 547
1 11 589
1 12 325
1 13 232
1 14 278
1 15 130
1 16 759
1 17 736
1 18 88
1 19 834
1 20 516
1 21 257
1 22 551
1 23 1050
1 24 759
1 25 825
1 26 512
1 27 656
1 28 803
1 29 914
1 30 446
1 31 878
1 32 391
1 33 520
1 34 657
1 35 957
1 36 502
1 37 817
1 38 798
1 39 847
1 40 768
1 41 601
1 42 734
1 43 791
1 44 866
1 45 787
1 46 753
1 47 546
1 48 377
1 49 260
1 50 749
1 51 241
1 52 694
1 53 591
1 54 825
1 55 866
1 56 746
1 57 574
1 58 970
1 59 814
1 60 22
1 61 566
1 62 94
1 63 159
1 64 370
1 65 315
1 66 838
1 67 183
1 68 214
1 69 103
1 70 841
1 71 131
1 72 784
1 73 756
1 74 526
1 75 281
1 76 874
1 77 821
1 78 478
1 79 586
1 80 375
1 81 403
1 82 288
1 83 244
1 84 930
1 85 295
1 86 173
1 87 172
1 88 925
1 89 1150
1 90 219
1 91 311
1 92 669
1 93 865
1 94 694
1 95 795
1 96 886
1 97 166
1 98 766
1 99 544
1 100 820
2 3 807
2 4 953
2 5 759
2 6 603
2 7 753
2 8 1099
2 9 1008
2 10 759
2 11 641
2 12 1073
2 13 928
2 14 1088
2 15 1048
2 16 378
2 17 924
2 18 1208
2 19 731
2 20 915
2 21 997
2 22 825
2 23 87
2 24 873
2 25 870
2 26 967
2 27 763
2 28 612
2 29 372
2 30 953
2 31 274
2 32 971
2 33 799
2 34 725
2 35 317
2 36 642
2 37 640
2 38 891
2 39 542
2 40 725
2 41 817
2 42 810
2 43 842
2 44 342
2 45 355
2 46 760
2 47 601
2 48 1006
2 49 965
2 50 763
2 51 1015
2 52 472
2 53 600
2 54 828
2 55 645
2 56 736
2 57 561
2 58 308
2 59 498
2 60 1119
2 61 716
2 62 1159
2 63 1026
2 64 765
2 65 949
2 66 353
2 67 988
2 68 1124
2 69 1038
2 70 972
2 71 1208
2 72 954
2 73 788
2 74 930
2 75 981
2 76 369
2 77 538
2 78 915
2 79 646
2 80 932
2 81 865
2 82 1012
2 83 1045
2 84 237
2 85 1049
2 86 1023
2 87 1146
2 88 251
2 89 108
2 90 994
2 91 863
2 92 794
2 93 533
2 94 487
2 95 509
2 96 529
2 97 1018
2 98 415
2 99 643
2 100 414
3 4 147
3 5 517
3 6 222
3 7 696
3 8 416
3 9 256
3 10 130
3 11 494
3 12 266
3 13 193
3 14 282
3 15 297
3 16 440
3 17 382
3 18 464
3 19 422
3 20 192
3 21 201
3 22 601
3 23 734
3 24 816
3 25 869
3 26 230
3 27 247
3 28 382
3 29 710
3 30 597
3 31 534
3 32 172
3 33 115
3 34 639
3 35 732
3 36 326
3 37 397
3 38 425
3 39 725
3 40 745
3 41 644
3 42 761
3 43 827
3 44 635
3 45 511
3 46 345
3 47 227
3 48 578
3 49 177
3 50 342
3 51 473
3 52 480
3 53 208
3 54 432
3 55 796
3 56 334
3 57 316
3 58 582
3 59 403
3 60 416
3 61 532
3 62 401
3 63 268
3 64 247
3 65 475
3 66 467
3 67 239
3 68 543
3 69 367
3 70 492
3 71 541
3 72 436
3 73 355
3 74 211
3 75 180
3 76 486
3 77 404
3 78 162
3 79 177
3 80 517
3 81 483
3 82 207
3 83 503
3 84 577
3 85 243
3 86 258
3 87 360
3 88 567
3 89 795
3 90 431
3 91 362
3 92 270
3 93 446
3 94 322
3 95 384
3 96 759
3 97 260
3 98 397
3 99 164
3 100 622
4 5 609
4 6 359
4 7 796
4 8 374
4 9 162
4 10 225
4 11 607
4 12 120
4 13 185
4 14 145
4 15 231
4 16 587
4 17 377
4 18 376
4 19 487
4 20 157
4 21 102
4 22 683
4 23 880
4 24 904
4 25 962
4 26 161
4 27 311
4 28 483
4 29 850
4 30 648
4 31 680
4 32 42
4 33 187
4 34 741
4 35 875
4 36 448
4 37 488
4 38 439
4 39 852
4 40 852
4 41 730
4 42 855
4 43 921
4 44 778
4 45 657
4 46 404
4 47 372
4 48 612
4 49 107
4 50 399
4 51 486
4 52 617
4 53 353
4 54 468
4 55 914
4 56 401
4 57 455
4 58 718
4 59 528
4 60 362
4 61 632
4 62 309
4 63 203
4 64 339
4 65 513
4 66 610
4 67 194
4 68 529
4 69 341
4 70 484
4 71 489
4 72 427
4 73 403
4 74 168
4 75 78
4 76 623
4 77 520
4 78 119
4 79 314
4 80 564
4 81 547
4 82 80
4 83 511
4 84 721
4 85 104
4 86 188
4 87 247
4 88 711
4 89 937
4 90 444
4 91 418
4 92 318
4 93 559
4 94 467
4 95 509
4 96 888
4 97 197
4 98 541
4 99 311
4 100 760
5 6 548
5 7 190
5 8 468
5 9 761
5 10 608
5 11 118
5 12 681
5 13 446
5 14 660
5 15 513
5 16 463
5 17 888
5 18 609
5 19 852
5 20 709
5 21 564
5 22 93
5 23 673
5 24 298
5 25 354
5 26 743
5 27 718
5 28 751
5 29 442
5 30 193
5 31 579
5 32 650
5 33 617
5 34 140
5 35 497
5 36 226
5 37 783
5 38 916
5 39 335
5 40 254
5 41 128
5 42 247
5 43 313
5 44 427
5 45 420
5 46 801
5 47 390
5 48 251
5 49 532
5 50 800
5 51 308
5 52 295
5 53 489
5 54 901
5 55 345
5 56 780
5 57 314
5 58 732
5 59 685
5 60 500
5 61 50
5 62 593
5 63 512
5 64 273
5 65 226
5 66 598
5 67 482
5 68 409
5 69 422
5 70 993
5 71 532
5 72 941
5 73 822
5 74 727
5 75 569
5 76 661
5 77 720
5 78 677
5 79 540
5 80 187
5 81 128
5 82 603
5 83 329
5 84 632
5 85 641
5 86 520
5 87 633
5 88 638
5 89 816
5 90 310
5 91 218
5 92 751
5 93 760
5 94 513
5 95 672
5 96 374
5 97 508
5 98 548
5 99 471
5 100 361
6 7 691
6 8 612
6 9 407
6 10 157
6 11 477
6 12 479
6 13 395
6 14 501
6 15 510
6 16 267
6 17 390
6 18 679
6 19 305
6 20 315
6 21 423
6 22 641
6 23 537
6 24 827
6 25 869
6 26 367
6 27 203
6 28 209
6 29 583
6 30 686
6 31 332
6 32 371
6 33 196
6 34 635
6 35 590
6 36 322
6 37 237
6 38 394
6 39 647
6 40 723
6 41 672
6 42 763
6 43 826
6 44 499
6 45 361
6 46 263
6 47 158
6 48 691
6 49 398
6 50 263
6 51 619
6 52 384
6 53 59
6 54 363
6 55 740
6 56 240
6 57 247
6 58 360
6 59 188
6 60 618
6 61 542
6 62 618
6 63 482
6 64 336
6 65 595
6 66 253
6 67 449
6 68 709
6 69 555
6 70 479
6 71 736
6 72 437
6 73 288
6 74 331
6 75 403
6 76 265
6 77 201
6 78 312
6 79 46
6 80 618
6 81 566
6 82 427
6 83 653
6 84 367
6 85 461
6 86 474
6 87 582
6 88 355
6 89 579
6 90 582
6 91 475
6 92 240
6 93 245
6 94 121
6 95 169
6 96 673
6 97 474
6 98 189
6 99 91
6 100 510
7 8 644
7 9 945
7 10 775
7 11 214
7 12 870
