175 15399
0 1 113
0 2 189
0 3 299
0 4 189
0 5 177
0 6 187
0 7 187
0 8 187
0 9 162
0 10 187
0 11 162
0 12 187
0 13 162
0 14 187
0 15 177
0 16 189
0 17 202
0 18 213
0 19 234
0 20 245
0 21 256
0 22 266
0 23 274
0 24 282
0 25 289
0 26 296
0 27 311
0 28 319
0 29 326
0 30 333
0 31 340
0 32 262
0 33 246
0 34 262
0 35 246
0 36 262
0 37 312
0 38 262
0 39 262
0 40 262
0 41 278
0 42 278
0 43 278
0 44 278
0 45 278
0 46 278
0 47 278
0 48 262
0 49 246
0 50 246
0 51 262
0 52 246
0 53 262
0 54 246
0 55 262
0 56 246
0 57 262
0 58 246
0 59 262
0 60 256
0 61 262
0 62 266
0 63 272
0 64 274
0 65 282
0 66 283
0 67 289
0 68 294
0 69 296
0 70 304
0 71 305
0 72 311
0 73 316
0 74 319
0 75 326
0 76 333
0 77 314
0 78 294
0 79 320
0 80 320
0 81 278
0 82 273
0 83 287
0 84 320
0 85 287
0 86 273
0 87 287
0 88 320
0 89 314
0 90 294
0 91 312
0 92 314
0 93 314
0 94 321
0 95 345
0 96 294
0 97 314
0 98 314
0 99 294
0 100 312
0 101 294
0 102 314
0 103 314
0 104 312
0 105 294
0 106 314
0 107 314
0 108 321
0 109 345
0 110 345
0 111 370
0 112 370
0 113 370
0 114 370
0 115 370
0 116 384
0 117 384
0 118 340
0 119 416
0 120 416
0 121 416
0 122 416
0 123 416
0 124 416
0 125 416
0 126 416
0 127 416
0 128 416
0 129 416
0 130 416
0 131 416
0 132 416
0 133 416
0 134 416
0 135 416
0 136 416
0 137 416
0 138 416
0 139 416
0 140 416
0 141 416
0 142 416
0 143 416
0 144 416
0 145 416
0 146 345
0 147 345
0 148 368
0 149 368
0 150 370
0 151 370
0 152 370
0 153 370
0 154 370
0 155 370
0 156 370
0 157 370
0 158 370
0 159 370
0 160 370
0 161 384
0 162 384
0 163 384
0 164 384
0 165 384
0 166 384
0 167 384
0 168 384
0 169 384
0 170 384
0 171 384
0 172 384
0 173 384
0 174 384
1 2 177
1 3 291
1 4 201
1 5 189
1 6 187
1 7 187
1 8 187
1 9 162
1 10 187
1 11 162
1 12 187
1 13 162
1 14 187
1 15 167
1 16 187
1 17 189
1 18 202
1 19 224
1 20 234
1 21 245
1 22 256
1 23 266
1 24 274
1 25 282
1 26 289
1 27 304
1 28 311
1 29 319
1 30 326
1 31 333
1 32 262
1 33 246
1 34 262
1 35 246
1 36 262
1 37 312
1 38 262
1 39 262
1 40 262
1 41 278
1 42 278
1 43 278
1 44 278
1 45 278
1 46 278
1 47 278
1 48 262
1 49 246
1 50 246
1 51 262
1 52 246
1 53 262
1 54 246
1 55 262
1 56 246
1 57 262
1 58 246
1 59 262
1 60 246
1 61 262
1 62 256
1 63 263
1 64 266
1 65 274
1 66 276
1 67 282
1 68 286
1 69 289
1 70 296
1 71 297
1 72 304
1 73 308
1 74 311
1 75 319
1 76 326
1 77 314
1 78 294
1 79 320
1 80 320
1 81 278
1 82 273
1 83 287
1 84 320
1 85 287
1 86 273
1 87 287
1 88 320
1 89 314
1 90 294
1 91 312
1 92 314
1 93 314
1 94 314
1 95 345
1 96 294
1 97 314
1 98 314
1 99 294
1 100 312
1 101 294
1 102 314
1 103 314
1 104 312
1 105 294
1 106 314
1 107 314
1 108 314
1 109 345
1 110 345
1 111 370
1 112 370
1 113 370
1 114 370
1 115 370
1 116 384
1 117 384
1 118 333
1 119 416
1 120 416
1 121 416
1 122 416
1 123 416
1 124 416
1 125 416
1 126 416
1 127 416
1 128 416
1 129 416
1 130 416
1 131 416
1 132 416
1 133 416
1 134 416
1 135 416
1 136 416
1 137 416
1 138 416
1 139 416
1 140 416
1 141 416
1 142 416
1 143 416
1 144 416
1 145 416
1 146 345
1 147 345
1 148 368
1 149 368
1 150 370
1 151 370
1 152 370
1 153 370
1 154 370
1 155 370
1 156 370
1 157 370
1 158 370
1 159 370
1 160 370
1 161 384
1 162 384
1 163 384
1 164 384
1 165 384
1 166 384
1 167 384
1 168 384
1 169 384
1 170 384
1 171 384
1 172 384
1 173 384
1 174 384
2 3 248
2 4 255
2 5 245
2 6 234
2 7 224
2 8 213
2 9 202
2 10 189
2 11 177
2 12 187
2 13 162
2 14 187
2 15 162
2 16 187
2 17 162
2 18 187
2 19 167
2 20 177
2 21 189
2 22 202
2 23 213
2 24 224
2 25 234
2 26 245
2 27 266
2 28 274
2 29 282
2 30 289
2 31 296
2 32 262
2 33 246
2 34 262
2 35 246
2 36 262
2 37 312
2 38 262
2 39 262
2 40 262
2 41 278
2 42 278
2 43 278
2 44 278
2 45 278
2 46 278
2 47 278
2 48 262
2 49 246
2 50 246
2 51 262
2 52 246
2 53 262
2 54 246
2 55 262
2 56 246
2 57 262
2 58 246
