70 2484
1 2 59
1 3 73
1 4 55
1 5 33
1 6 53
1 7 64
1 8 80
1 9 81
1 10 36
1 11 60
1 12 57
1 13 15
1 14 88
1 15 50
1 16 9
1 17 66
1 18 56
1 19 68
1 20 95
1 21 64
1 22 26
1 23 9
1 24 51
1 25 105
1 26 81
1 27 93
1 28 84
1 29 14
1 30 93
1 31 20
1 32 69
1 33 60
1 34 65
1 35 33
1 36 4
1 37 21
1 38 19
1 39 95
1 40 90
1 41 59
1 42 60
1 43 66
1 44 79
1 45 98
1 46 99
1 47 13
1 48 66
1 49 91
1 50 30
1 51 44
1 52 42
1 53 34
1 54 68
1 55 95
1 56 53
1 57 44
1 58 21
1 59 26
1 60 50
1 61 88
1 62 78
1 63 30
1 64 55
1 65 49
1 66 31
1 67 61
1 68 79
1 69 21
1 70 20
2 3 19
2 4 9
2 5 43
2 6 22
2 7 5
2 8 22
2 9 52
2 10 47
2 11 82
2 12 52
2 13 53
2 14 35
2 15 23
2 16 57
2 17 40
2 18 12
2 19 13
2 20 42
2 21 52
2 22 34
2 23 51
2 24 20
2 25 80
2 26 22
2 27 58
2 28 26
2 29 55
2 30 44
2 31 49
2 32 13
2 33 62
2 34 53
2 35 49
2 36 61
2 37 54
2 38 42
2 39 75
2 40 64
2 41 26
2 42 17
2 43 36
2 44 35
2 45 73
2 46 65
2 47 51
2 48 80
2 49 32
2 50 54
2 51 66
2 52 50
2 53 34
2 54 72
2 55 37
2 56 73
2 57 23
2 58 54
2 59 37
2 60 55
2 61 65
2 62 75
2 63 31
2 64 94
2 65 76
2 66 29
2 67 76
2 68 38
2 69 47
2 70 55
3 4 19
3 5 49
3 6 23
3 7 16
3 8 12
3 9 39
3 10 52
3 11 82
3 12 49
3 13 70
3 14 16
3 15 43
3 16 69
3 17 31
3 18 17
3 19 25
3 20 23
3 21 46
3 22 50
3 23 65
3 24 39
3 25 65
3 26 19
3 27 41
3 28 13
3 29 72
3 30 24
3 31 66
3 32 6
3 33 59
3 34 47
3 35 68
3 36 76
3 37 64
3 38 58
3 39 61
3 40 49
3 41 21
3 42 14
3 43 27
3 44 18
3 45 58
3 46 48
3 47 63
3 48 78
3 49 25
3 50 60
3 51 69
3 52 52
3 53 42
3 54 67
3 55 33
3 56 74
3 57 42
3 58 63
3 59 54
3 60 54
3 61 52
3 62 68
3 63 48
3 64 98
3 65 79
3 66 44
3 67 74
3 68 21
3 69 65
3 70 73
4 5 35
4 6 14
4 7 12
4 8 26
4 9 46
4 10 39
4 11 73
4 12 44
4 13 50
4 14 35
4 15 27
4 16 51
4 17 33
4 18 4
4 19 22
4 20 42
4 21 44
4 22 31
4 23 46
4 24 24
4 25 74
4 26 28
4 27 53
4 28 29
4 29 52
4 30 43
4 31 47
4 32 14
4 33 54
4 34 45
4 35 50
4 36 57
4 37 48
4 38 39
4 39 68
4 40 57
4 41 18
4 42 11
4 43 29
4 44 31
4 45 67
4 46 60
4 47 45
4 48 72
4 49 38
4 50 46
4 51 58
4 52 41
4 53 26
4 54 63
4 55 44
4 56 64
4 57 25
4 58 47
4 59 35
4 60 47
4 61 59
4 62 67
4 63 29
4 64 86
4 65 68
4 66 25
4 67 67
4 68 33
4 69 45
4 70 53
5 6 26
5 7 47
5 8 59
5 9 48
5 10 6
5 11 42
5 12 25
5 13 39
5 14 61
5 15 48
5 16 26
5 17 33
5 18 34
5 19 55
5 20 67
5 21 31
5 22 29
5 23 28
5 24 47
5 25 72
5 26 63
5 27 61
5 28 61
5 29 40
5 30 64
5 31 40
5 32 46
5 33 30
5 34 32
5 35 51
5 36 37
5 37 16
5 38 30
5 39 62
5 40 56
5 41 30
5 42 34
5 43 34
5 44 49
5 45 65
5 46 66
5 47 21
5 48 43
5 49 72
5 50 11
5 51 25
5 52 11
5 53 9
5 54 40
5 55 78
5 56 33
5 57 42
5 58 15
5 59 34
5 60 20
5 61 55
5 62 48
5 63 31
5 64 51
5 65 34
5 66 26
5 67 38
5 68 48
5 69 40
5 70 45
6 7 25
6 8 33
6 9 34
6 10 29
6 11 61
6 12 30
6 13 53
6 14 36
6 15 40
6 16 48
6 17 20
6 18 10
6 19 35
6 20 42
6 21 30
6 22 35
6 23 46
6 24 37
6 25 63
6 26 38
6 27 44
6 28 36
6 29 55
6 30 40
6 31 51
6 32 21
6 33 40
6 34 31
6 35 57
6 36 57
6 37 41
6 38 42
6 39 55
6 40 45
6 41 6
6 42 9
6 43 17
6 44 26
6 45 55
6 46 50
6 47 42
6 48 58
6 49 47
6 50 37
6 51 47
6 52 30
6 53 20
6 54 49
6 55 54
6 56 52
6 57 35
6 58 40
6 59 40
6 60 34
6 61 46
6 62 53
6 63 34
6 64 75
6 65 57
6 66 29
6 67 54
6 68 26
6 69 50
6 70 57
7 8 17
7 9 52
7 10 51
7 11 85
7 12 55
7 13 58
7 14 31
7 15 27
7 16 62
7 17 41
7 18 14
7 19 11
7 20 38
7 21 54
7 22 39
7 23 56
7 24 23
7 25 79
7 26 17
7 27 57
7 28 21
7 29 60
7 30 40
7 31 54
7 32 10
7 33 65
7 34 55
7 35 54
7 36 66
7 37 59
7 38 47
7 39 75
7 40 63
7 41 27
7 42 18
7 43 37
7 44 33
7 45 72
7 46 63
7 47 56
7 48 83
7 49 27
7 50 58
7 51 70
7 52 53
7 53 38
7 54 74
7 55 32
7 56 76
7 57 27
7 58 58
7 59 42
7 60 58
7 61 65
7 62 77
7 63 36
7 64 98
7 65 80
7 66 34
7 67 79
7 68 36
7 69 52
7 70 60
8 9 49
8 10 62
8 11 93
8 12 60
8 13 75
8 14 17
8 15 43
8 16 77
8 17 43
8 18 25
8 19 21
8 20 23
8 21 57
8 22 56
8 23 72
8 24 40
8 25 74
8 26 8
8 27 50
8 28 4
8 29 77
8 30 28
8 31 71
8 32 13
8 33 70
8 34 58
8 35 71
8 36 83
8 37 73
8 38 64
8 39 71
8 40 59
8 41 33
8 42 25
8 43 38
8 44 27
8 45 67
8 46 55
8 47 71
8 48 89
8 49 14
8 50 70
8 51 80
8 52 63
8 53 51
8 54 79
8 55 21
8 56 85
8 57 44
8 58 72
8 59 59
8 60 66
8 61 62
8 62 79
8 63 53
8 64 109
8 65 90
8 66 50
8 67 86
8 68 31
8 69 69
8 70 77
9 10 46
9 11 58
9 12 28
9 13 84
9 14 37
9 15 73
9 16 73
9 17 16
9 18 42
9 19 63
9 20 39
9 21 20
9 22 68
9 23 75
9 24 70
9 25 28
9 26 57
9 27 14
9 28 48
9 29 86
9 30 32
9 31 83
9 32 43
9 33 34
9 34 20
9 35 91
9 36 85
9 37 63
9 38 73
9 39 22
9 40 11
9 41 28
9 42 35
9 43 17
9 44 23
9 45 21
9 46 19
9 47 68
9 48 51
9 49 62
9 50 54
9 51 53
9 52 42
9 53 48
9 54 38
9 55 70
9 56 53
9 57 70
9 58 62
9 59 74
9 60 37
9 61 13
9 62 33
9 63 68
9 64 80
9 65 60
9 66 62
9 67 49
9 68 18
9 69 82
9 70 89
10 11 36
10 12 21
10 13 44
10 14 63
10 15 54
10 16 28
10 17 32
10 18 37
10 19 60
10 20 69
10 21 28
10 22 35
10 23 33
10 24 53
10 25 69
10 26 67
10 27 59
10 28 64
10 29 45
10 30 65
10 31 45
10 32 50
10 33 25
10 34 28
10 35 56
10 36 41
10 37 17
10 38 36
10 39 59
10 40 54
10 41 31
10 42 37
10 43 34
10 44 50
10 45 62
10 46 64
10 47 24
10 48 37
10 49 75
10 50 9
10 51 19
10 52 6
10 53 15
10 54 34
10 55 82
10 56 27
10 57 48
10 58 16
10 59 40
10 60 15
10 61 51
10 62 43
10 63 37
10 64 47
10 65 29
10 66 32
10 67 32
10 68 48
10 69 45
10 70 50
11 12 33
11 13 73
11 14 89
11 15 90
11 16 52
11 17 53
11 18 71
11 19 95
11 20 93
11 21 39
11 22 69
11 23 61
11 24 89
11 25 68
11 26 99
11 27 71
11 28 94
11 29 73
11 30 87
11 31 76
11 32 82
11 33 25
11 34 39
11 35 89
11 36 64
11 37 42
11 38 68
11 39 57
