42 1763
0 1 15
0 2 30
0 3 23
0 4 32
0 5 55
0 6 33
0 7 37
0 8 92
0 9 114
0 10 92
0 11 110
0 12 96
0 13 90
0 14 74
0 15 76
0 16 82
0 17 67
0 18 72
0 19 78
0 20 82
0 21 159
0 22 122
0 23 131
0 24 206
0 25 112
0 26 57
0 27 28
0 28 43
0 29 70
0 30 65
0 31 66
0 32 37
0 33 103
0 34 84
0 35 125
0 36 129
0 37 72
0 38 126
0 39 141
0 40 183
0 41 124
1 2 34
1 3 23
1 4 27
1 5 40
1 6 19
1 7 32
1 8 93
1 9 117
1 10 88
1 11 100
1 12 87
1 13 75
1 14 63
1 15 67
1 16 71
1 17 69
1 18 62
1 19 63
1 20 96
1 21 164
1 22 132
1 23 131
1 24 212
1 25 106
1 26 44
1 27 33
1 28 51
1 29 77
1 30 75
1 31 72
1 32 52
1 33 118
1 34 99
1 35 132
1 36 132
1 37 67
1 38 139
1 39 148
1 40 186
1 41 122
2 3 11
2 4 18
2 5 57
2 6 36
2 7 65
2 8 62
2 9 84
2 10 64
2 11 89
2 12 76
2 13 93
2 14 95
2 15 100
2 16 104
2 17 98
2 18 57
2 19 88
2 20 99
2 21 130
2 22 100
2 23 101
2 24 179
2 25 86
2 26 51
2 27 4
2 28 18
2 29 43
2 30 45
2 31 95
2 32 45
2 33 115
2 34 93
2 35 152
2 36 159
2 37 100
2 38 112
2 39 114
2 40 153
2 41 94
3 4 11
3 5 48
3 6 26
3 7 54
3 8 70
3 9 94
3 10 69
3 11 89
3 12 75
3 13 84
3 14 84
3 15 89
3 16 92
3 17 89
3 18 54
3 19 78
3 20 99
3 21 141
3 22 111
3 23 109
3 24 190
3 25 89
3 26 44
3 27 11
3 28 29
3 29 54
3 30 56
3 31 89
3 32 47
3 33 118
3 34 96
3 35 147
3 36 151
3 37 90
3 38 122
3 39 126
3 40 163
3 41 101
4 5 40
4 6 20
4 7 58
4 8 67
4 9 92
4 10 61
4 11 78
4 12 65
4 13 76
4 14 83
4 15 89
4 16 91
4 17 95
4 18 43
4 19 72
4 20 110
4 21 141
4 22 116
4 23 105
4 24 190
4 25 81
4 26 34
4 27 19
4 28 35
4 29 57
4 30 63
4 31 97
4 32 58
4 33 129
4 34 107
4 35 156
4 36 158
4 37 92
4 38 129
4 39 127
4 40 161
4 41 95
5 6 23
5 7 55
5 8 96
5 9 123
5 10 78
5 11 75
5 12 62
5 13 36
5 14 56
5 15 66
5 16 63
5 17 95
5 18 37
5 19 34
5 20 137
5 21 174
5 22 156
5 23 129
5 24 224
5 25 90
5 26 15
5 27 59
5 28 75
5 29 96
5 30 103
5 31 105
5 32 91
5 33 158
5 34 139
5 35 164
5 36 156
5 37 78
5 38 169
5 39 163
5 40 191
5 41 115
6 7 45
6 8 85
6 9 111
6 10 75
6 11 82
6 12 69
6 13 60
6 14 63
6 15 70
6 16 71
6 17 85
6 18 44
6 19 52
6 20 115
6 21 161
6 22 136
6 23 122
6 24 210
6 25 91
6 26 25
6 27 37
6 28 54
6 29 78
6 30 81
6 31 90
6 32 68
6 33 136
6 34 116
6 35 150
6 36 147
6 37 76
6 38 148
6 39 147
6 40 180
6 41 111
7 8 124
7 9 149
7 10 118
7 11 126
7 12 113
