225 25424
1 2 500
1 3 1000
1 4 1500
1 5 2000
1 6 2500
1 7 3000
1 8 3500
1 9 4000
1 10 4500
1 11 5000
1 12 5500
1 13 6000
1 14 6500
1 15 7000
1 16 7500
1 17 8000
1 18 8500
1 19 9000
1 20 9500
1 21 10000
1 22 10500
1 23 11000
1 24 11500
1 25 12000
1 26 3000
1 27 3041
1 28 3162
1 29 3354
1 30 3606
1 31 3905
1 32 4243
1 33 4610
1 34 5000
1 35 5408
1 36 5831
1 37 6265
1 38 6708
1 39 7159
1 40 7616
1 41 8078
1 42 8544
1 43 9014
1 44 9487
1 45 9962
1 46 10440
1 47 10920
1 48 11402
1 49 11885
1 50 12369
1 51 6000
1 52 6021
1 53 6083
1 54 6185
1 55 6325
1 56 6500
1 57 6708
1 58 6946
1 59 7211
1 60 7500
1 61 7810
1 62 8139
1 63 8485
1 64 8846
1 65 9220
1 66 9605
1 67 10000
1 68 10404
1 69 10817
1 70 11236
1 71 11662
1 72 12093
1 73 12530
1 74 12971
1 75 13416
1 76 9000
1 77 9014
1 78 9055
1 79 9124
1 80 9220
1 81 9341
1 82 9487
1 83 9657
1 84 9849
1 85 10062
1 86 10296
1 87 10548
1 88 10817
1 89 11102
1 90 11402
1 91 11715
1 92 12042
1 93 12379
1 94 12728
1 95 13086
1 96 13454
1 97 13829
1 98 14213
1 99 14603
1 100 15000
1 101 12000
1 102 12010
1 103 12042
1 104 12093
1 105 12166
1 106 12258
1 107 12369
1 108 12500
1 109 12649
1 110 12816
1 111 13000
1 112 13200
1 113 13416
1 114 13647
1 115 13892
1 116 14151
1 117 14422
1 118 14705
1 119 15000
1 120 15305
1 121 15620
1 122 15945
1 123 16279
1 124 16621
1 125 16971
1 126 500
1 127 1000
1 128 1500
1 129 2000
1 130 2500
1 131 3041
1 132 3162
1 133 3354
1 134 3606
1 135 3905
1 136 6021
1 137 6083
1 138 6185
1 139 6325
1 140 6500
1 141 9014
1 142 9055
1 143 9124
1 144 9220
1 145 9341
1 146 12010
1 147 12042
1 148 12093
1 149 12166
1 150 12258
1 151 3500
1 152 4000
1 153 4500
1 154 5000
1 155 5500
1 156 4610
1 157 5000
1 158 5408
1 159 5831
1 160 6265
1 161 6946
1 162 7211
1 163 7500
1 164 7810
1 165 8139
1 166 9657
1 167 9849
1 168 10062
1 169 10296
1 170 10548
1 171 12500
1 172 12649
1 173 12816
1 174 13000
1 175 13200
1 176 6500
1 177 7000
1 178 7500
1 179 8000
1 180 8500
1 181 7159
1 182 7616
1 183 8078
1 184 8544
1 185 9014
1 186 8846
1 187 9220
1 188 9605
1 189 10000
1 190 10404
1 191 11102
1 192 11402
1 193 11715
1 194 12042
1 195 12379
1 196 13647
1 197 13892
1 198 14151
1 199 14422
1 200 14705
1 201 9500
1 202 10000
1 203 10500
1 204 11000
1 205 11500
1 206 9962
1 207 10440
1 208 10920
1 209 11402
1 210 11885
1 211 11236
1 212 11662
1 213 12093
1 214 12530
1 215 12971
1 216 13086
1 217 13454
1 218 13829
1 219 14213
1 220 14603
1 221 15305
1 222 15620
1 223 15945
1 224 16279
1 225 16621
2 3 500
2 4 1000
2 5 1500
2 6 2000
2 7 2500
2 8 3000
2 9 3500
2 10 4000
2 11 4500
2 12 5000
2 13 5500
2 14 6000
2 15 6500
2 16 7000
2 17 7500
2 18 8000
2 19 8500
2 20 9000
2 21 9500
2 22 10000
2 23 10500
2 24 11000
2 25 11500
2 26 3041
2 27 3000
2 28 3041
2 29 3162
2 30 3354
2 31 3606
2 32 3905
2 33 4243
2 34 4610
2 35 5000
2 36 5408
2 37 5831
2 38 6265
2 39 6708
2 40 7159
2 41 7616
2 42 8078
2 43 8544
2 44 9014
2 45 9487
2 46 9962
2 47 10440
2 48 10920
2 49 11402
2 50 11885
2 51 6021
2 52 6000
2 53 6021
2 54 6083
2 55 6185
2 56 6325
2 57 6500
2 58 6708
2 59 6946
2 60 7211
2 61 7500
2 62 7810
2 63 8139
2 64 8485
2 65 8846
2 66 9220
2 67 9605
2 68 10000
2 69 10404
2 70 10817
2 71 11236
2 72 11662
2 73 12093
2 74 12530
2 75 12971
2 76 9014
2 77 9000
2 78 9014
2 79 9055
2 80 9124
2 81 9220
2 82 9341
2 83 9487
2 84 9657
2 85 9849
2 86 10062
2 87 10296
2 88 10548
2 89 10817
2 90 11102
2 91 11402
2 92 11715
2 93 12042
2 94 12379
2 95 12728
2 96 13086
2 97 13454
2 98 13829
2 99 14213
2 100 14603
2 101 12010
2 102 12000
2 103 12010
2 104 12042
2 105 12093
2 106 12166
2 107 12258
2 108 12369
2 109 12500
2 110 12649
2 111 12816
2 112 13000
2 113 13200
2 114 13416
2 115 13647
2 116 13892
2 117 14151
2 118 14422
2 119 14705
2 120 15000
2 121 15305
2 122 15620
2 123 15945
2 124 16279
2 125 16621
2 126 707
2 127 1118
2 128 1581
2 129 2062
2 130 2550
2 131 2550
2 132 2693
2 133 2915
2 134 3202
2 135 3536
2 136 5523
2 137 5590
2 138 5701
2 139 5852
2 140 6042
2 141 8515
2 142 8559
2 143 8631
2 144 8732
2 145 8860
2 146 11511
2 147 11543
2 148 11597
2 149 11673
2 150 11769
2 151 3536
2 152 4031
2 153 4528
2 154 5025
2 155 5523
2 156 4301
2 157 4717
2 158 5148
2 159 5590
2 160 6042
2 161 6519
2 162 6801
2 163 7106
2 164 7433
2 165 7778
2 166 9192
2 167 9394
2 168 9618
2 169 9862
2 170 10124
2 171 12021
2 172 12176
2 173 12349
2 174 12540
2 175 12748
2 176 6519
2 177 7018
2 178 7517
2 179 8016
2 180 8515
2 181 6964
2 182 7433
2 183 7906
2 184 8382
2 185 8860
2 186 8515
2 187 8902
2 188 9301
2 189 9708
2 190 10124
2 191 10700
2 192 11011
2 193 11336
2 194 11673
2 195 12021
2 196 13210
2 197 13463
2 198 13730
2 199 14009
2 200 14300
2 201 9513
2 202 10012
2 203 10512
2 204 11011
2 205 11511
2 206 9823
2 207 10308
2 208 10794
2 209 11281
2 210 11769
2 211 10977
2 212 11413
2 213 11853
