225 25424
1 2 221
1 3 29
1 4 50
1 5 54
1 6 74
1 7 79
1 8 91
1 9 111
1 10 134
1 11 159
1 12 178
1 13 198
1 14 192
1 15 188
1 16 181
1 17 179
1 18 151
1 19 149
1 20 177
1 21 206
1 22 208
1 23 216
1 24 223
1 25 235
1 26 246
1 27 232
1 28 263
1 29 247
1 30 241
1 31 221
1 32 206
1 33 223
1 34 229
1 35 228
1 36 210
1 37 191
1 38 173
1 39 157
1 40 136
1 41 122
1 42 108
1 43 102
1 44 123
1 45 141
1 46 121
1 47 221
1 48 154
1 49 200
1 50 185
1 51 201
1 52 190
1 53 196
1 54 212
1 55 206
1 56 212
1 57 210
1 58 231
1 59 230
1 60 251
1 61 252
1 62 266
1 63 268
1 64 282
1 65 286
1 66 273
1 67 277
1 68 256
1 69 259
1 70 239
1 71 245
1 72 239
1 73 242
1 74 223
1 75 231
1 76 222
1 77 254
1 78 261
1 79 272
1 80 287
1 81 295
1 82 333
1 83 326
1 84 337
1 85 346
1 86 357
1 87 338
1 88 325
1 89 312
1 90 322
1 91 310
1 92 314
1 93 296
1 94 303
1 95 287
1 96 279
1 97 268
1 98 255
1 99 266
1 100 259
1 101 277
1 102 271
1 103 290
1 104 287
1 105 306
1 106 301
1 107 315
1 108 313
1 109 320
1 110 313
1 111 309
1 112 295
1 113 293
1 114 286
1 115 285
1 116 265
1 117 265
1 118 285
1 119 299
1 120 321
1 121 321
1 122 342
1 123 344
1 124 347
1 125 354
1 126 362
1 127 370
1 128 380
1 129 388
1 130 365
1 131 376
1 132 399
1 133 192
1 134 436
1 135 455
1 136 480
1 137 475
1 138 488
1 139 494
1 140 492
1 141 486
1 142 500
1 143 487
1 144 473
1 145 468
1 146 447
1 147 445
1 148 432
1 149 418
1 150 400
1 151 404
1 152 421
1 153 435
1 154 437
1 155 444
1 156 448
1 157 461
1 158 446
1 159 470
1 160 457
1 161 460
1 162 453
1 163 459
1 164 414
1 165 405
1 166 399
1 167 393
1 168 379
1 169 375
1 170 372
1 171 371
1 172 392
1 173 392
1 174 413
1 175 321
1 176 449
1 177 470
1 178 470
1 179 441
1 180 420
1 181 399
1 182 377
1 183 468
1 184 335
1 185 313
1 186 292
