159 12719
1 2 728
1 3 700
1 4 922
1 5 1118
1 6 1300
1 7 1513
1 8 1712
1 9 1811
1 10 1910
1 11 2110
1 12 2100
1 13 2309
1 14 2508
1 15 2608
1 16 2700
1 17 2807
1 18 3338
1 19 3551
1 20 3635
1 21 3622
1 22 3406
1 23 3506
1 24 3700
1 25 3905
1 26 4300
1 27 4205
1 28 4428
1 29 4464
1 30 4144
1 31 3640
1 32 3418
1 33 3585
1 34 3329
1 35 3276
1 36 3081
1 37 3023
1 38 2983
1 39 3111
1 40 3183
1 41 2907
1 42 2941
1 43 3220
1 44 3276
1 45 3551
1 46 3722
1 47 3895
1 48 4071
1 49 4357
1 50 4614
1 51 4717
1 52 5022
1 53 5500
1 54 5701
1 55 5657
1 56 5873
1 57 6081
1 58 6223
1 59 6512
1 60 6622
1 61 6440
1 62 6268
1 63 6022
1 64 6054
1 65 6003
1 66 5954
1 67 5906
1 68 5859
1 69 5814
1 70 5770
1 71 5727
1 72 5686
1 73 5456
1 74 5100
1 75 4875
1 76 5148
1 77 5126
1 78 5571
1 79 5536
1 80 5503
1 81 5471
1 82 5441
1 83 5412
1 84 5385
1 85 5360
1 86 5337
1 87 5001
1 88 4805
1 89 4657
1 90 4464
1 91 4272
1 92 4079
1 93 4045
1 94 4512
1 95 4752
1 96 4866
1 97 5277
1 98 5261
1 99 5247
1 100 5235
1 101 5224
1 102 5215
1 103 5209
1 104 5204
1 105 5201
1 106 4901
1 107 4501
1 108 3600
1 109 3401
1 110 3202
1 111 3002
1 112 2802
1 113 2602
1 114 2693
1 115 2886
1 116 3081
1 117 3276
1 118 3471
1 119 3640
1 120 3454
1 121 3270
1 122 3087
1 123 2907
1 124 2088
1 125 1404
1 126 1077
1 127 1565
1 128 1924
1 129 1931
1 130 2193
1 131 2081
1 132 2421
1 133 2404
1 134 2476
1 135 2691
1 136 2625
1 137 2608
1 138 2865
1 139 2417
1 140 2600
1 141 2341
1 142 2474
1 143 2236
1 144 2138
1 145 2159
1 146 1942
1 147 1844
1 148 1746
1 149 1868
1 150 1709
1 151 1552
1 152 1414
1 153 1315
1 154 1360
1 155 1393
1 156 1077
1 157 1118
1 158 1000
1 159 283
2 3 200
2 4 200
2 5 400
2 6 632
2 7 800
2 8 1000
2 9 1100
2 10 1200
2 11 1400
2 12 1414
2 13 1600
2 14 1800
2 15 1900
2 16 2010
2 17 2100
2 18 2617
2 19 2828
2 20 2915
2 21 2907
2 22 2700
2 23 2800
2 24 3007
2 25 3200
2 26 3606
2 27 3500
2 28 3712
2 29 3736
2 30 3418
2 31 2912
2 32 2693
2 33 2884
2 34 2640
2 35 2581
2 36 2408
2 37 2343
2 38 2335
2 39 2500
2 40 2581
2 41 2332
2 42 2417
2 43 2683
2 44 2786
2 45 3046
2 46 3231
2 47 3418
2 48 3606
2 49 3848
2 50 4123
2 51 4205
2 52 4478
2 53 4940
2 54 5131
2 55 5033
2 56 5235
2 57 5456
2 58 5597
2 59 5903
2 60 6046
2 61 5883
2 62 5731
2 63 5471
2 64 5546
2 65 5504
2 66 5463
2 67 5423
2 68 5385
2 69 5349
2 70 5314
2 71 5281
2 72 5250
2 73 4998
2 74 4624
2 75 4427
2 76 4713
2 77 4730
2 78 5166
2 79 5142
2 80 5120
2 81 5099
2 82 5080
2 83 5064
2 84 5049
2 85 5036
2 86 5025
2 87 4710
2 88 4510
2 89 4329
2 90 4130
2 91 3932
2 92 3801
2 93 3801
2 94 4211
2 95 4500
2 96 4601
2 97 5004
2 98 5001
2 99 5000
2 100 5001
2 101 5004
2 102 5009
2 103 5016
2 104 5025
2 105 5036
2 106 4768
2 107 4374
2 108 3471
2 109 3256
2 110 3059
2 111 2864
2 112 2668
2 113 2474
2 114 2400
2 115 2600
2 116 2800
2 117 3000
2 118 3200
2 119 3256
2 120 3059
2 121 2864
2 122 2668
2 123 2474
2 124 1803
2 125 1442
2 126 854
2 127 1200
2 128 1513
2 129 1600
2 130 1811
2 131 1581
2 132 1879
2 133 1803
2 134 1887
2 135 2062
2 136 1985
2 137 1921
2 138 2163
2 139 1700
2 140 1879
2 141 1616
2 142 1746
2 143 1513
2 144 1414
2 145 1432
2 146 1217
2 147 1118
2 148 1020
2 149 1140
2 150 985
2 151 825
2 152 700
2 153 600
2 154 632
2 155 671
2 156 361
2 157 424
2 158 412
2 159 500
3 4 283
3 5 447
3 6 600
3 7 825
3 8 1020
3 9 1118
3 10 1217
3 11 1414
3 12 1400
3 13 1612
3 14 1811
3 15 1910
3 16 2000
3 17 2110
3 18 2648
3 19 2864
3 20 2943
3 21 2927
3 22 2707
3 23 2807
3 24 3000
3 25 3206
3 26 3600
3 27 3506
3 28 3734
3 29 3795
3 30 3493
3 31 2973
3 32 2773
3 33 3000
3 34 2766
3 35 2702
3 36 2546
3 37 2476
3 38 2484
3 39 2663
3 40 2746
3 41 2506
3 42 2600
3 43 2864
3 44 2973
3 45 3231
3 46 3418
3 47 3606
3 48 3795
3 49 4031
3 50 4308
3 51 4386
3 52 4653
3 53 5111
3 54 5300
3 55 5186
3 56 5381
3 57 5608
3 58 5749
3 59 6061
3 60 6213
3 61 6054
3 62 5906
3 63 5644
3 64 5727
3 65 5686
3 66 5646
3 67 5608
3 68 5571
3 69 5536
3 70 5503
3 71 5471
3 72 5441
3 73 5187
3 74 4810
3 75 4617
3 76 4904
3 77 4924
3 78 5360
3 79 5337
3 80 5315
3 81 5295
3 82 5277
3 83 5261
3 84 5247
3 85 5235
3 86 5224
3 87 4909
3 88 4710
3 89 4528
3 90 4329
3 91 4130
3 92 4001
3 93 4001
3 94 4410
3 95 4700
3 96 4801
3 97 5204
