instancia,metodo,tiempo,tamaño,costo,iteraciones,T
50,H-CG,0.08626,50,409,,
50,H-CG,0.08067,50,442,,
50,H-CG,0.091771,50,322,,
50,H-CG,0.090608,50,493,,
50,H-CG,0.090638,50,493,,
50,H-CG,0.104754,50,423,,
50,H-CG,0.090799,50,464,,
50,H-CG,0.092702,50,425,,
50,H-CG,0.09153,50,414,,
50,H-CG,0.090478,50,494,,
50,H-CG,0.086711,50,508,,
50,H-CG,0.092011,50,420,,
50,H-CG,0.086891,50,481,,
50,H-CG,0.14543,50,354,,
50,H-CG,0.091189,50,397,,
50,H-CG,0.092101,50,332,,
50,H-CG,0.16717,50,401,,
50,H-CG,0.098633,50,422,,
50,H-CG,0.081001,50,457,,
50,H-CG,0.080439,50,337,,
50,H-CG,0.097531,50,372,,
50,H-CG,0.090618,50,482,,
50,H-CG,0.079278,50,374,,
50,H-CG,0.081572,50,403,,
50,H-CG,0.091259,50,343,,
50,H-CG,0.08026,50,457,,
50,H-CG,0.08102,50,542,,
50,H-CG,0.164876,50,461,,
50,H-CG,0.143978,50,456,,
50,H-CG,0.176979,50,380,,
50,H-CG,0.085859,50,392,,
50,H-CG,0.11329,50,435,,
50,H-CG,0.163133,50,378,,
50,H-CG,0.120153,50,421,,
50,H-CG,0.176658,50,490,,
50,H-CG,0.080289,50,422,,
50,H-CG,0.108572,50,413,,
50,H-CG,0.111036,50,337,,
50,H-CG,0.143226,50,459,,
50,H-CG,0.144308,50,340,,
50,H-CG,0.100166,50,509,,
50,H-CG,0.177309,50,448,,
50,H-CG,0.086862,50,471,,
50,H-CG,0.100286,50,374,,
50,H-CG,0.114733,50,397,,
50,H-CG,0.081221,50,446,,
50,H-CG,0.090829,50,351,,
50,H-CG,0.081071,50,264,,
50,H-CG,0.09132,50,488,,
50,H-CG,0.09134,50,458,,
50,H-CG,0.086441,50,367,,
50,H-CG,0.141723,50,460,,
50,H-CG,0.144218,50,476,,
50,H-CG,0.098553,50,372,,
50,H-CG,0.086721,50,389,,
50,H-CG,0.08093,50,389,,
50,H-CG,0.091009,50,465,,
50,H-CG,0.09174,50,412,,
50,H-CG,0.144579,50,450,,
50,H-CG,0.094846,50,446,,
50,H-CG,0.144819,50,451,,
50,H-CG,0.081,50,429,,
50,H-CG,0.079818,50,375,,
50,H-CG,0.145791,50,408,,
50,H-CG,0.16131,50,445,,
50,H-CG,0.09115,50,459,,
50,H-CG,0.162571,50,490,,
50,H-CG,0.144418,50,485,,
50,H-CG,0.094796,50,513,,
50,H-CG,0.146863,50,392,,
50,H-CG,0.080199,50,339,,
50,H-CG,0.091019,50,405,,
