instancia,metodo,tiempo,tamaño,costo,iteraciones,T
10,H-CG,0.006503,10,284,,
11,H-CG,0.006803,11,280,,
12,H-CG,0.014437,12,281,,
13,H-CG,0.013155,13,260,,
14,H-CG,0.01045,14,271,,
15,H-CG,0.01034,15,332,,
16,H-CG,0.011982,16,239,,
17,H-CG,0.027693,17,171,,
18,H-CG,0.013706,18,305,,
19,H-CG,0.014047,19,247,,
20,H-CG,0.027181,20,295,,
21,H-CG,0.034947,21,208,,
22,H-CG,0.019837,22,177,,
23,H-CG,0.021821,23,372,,
24,H-CG,0.022653,24,245,,
25,H-CG,0.024948,25,335,,
26,H-CG,0.027061,26,337,,
27,H-CG,0.028254,27,295,,
28,H-CG,0.030668,28,339,,
29,H-CG,0.032943,29,250,,
30,H-CG,0.034876,30,353,,
31,H-CG,0.049384,31,315,,
32,H-CG,0.038663,32,321,,
33,H-CG,0.044615,33,417,,
34,H-CG,0.043533,34,261,,
35,H-CG,0.046208,35,314,,
36,H-CG,0.05809,36,396,,
37,H-CG,0.055475,37,345,,
38,H-CG,0.053893,38,413,,
39,H-CG,0.061327,39,325,,
40,H-CG,0.060324,40,393,,
41,H-CG,0.055455,41,282,,
42,H-CG,0.05739,42,293,,
43,H-CG,0.060135,43,368,,
44,H-CG,0.071616,44,342,,
45,H-CG,0.074632,45,367,,
46,H-CG,0.074151,46,363,,
47,H-CG,0.143564,47,300,,
48,H-CG,0.085122,48,496,,
49,H-CG,0.0841,49,306,,
50,H-CG,0.093328,50,358,,
51,H-CG,0.084611,51,315,,
52,H-CG,0.098667,52,450,,
53,H-CG,0.11025,53,380,,
54,H-CG,0.168781,54,340,,
55,H-CG,0.197946,55,390,,
56,H-CG,0.178049,56,425,,
57,H-CG,0.102736,57,390,,
58,H-CG,0.238955,58,383,,
59,H-CG,0.245868,59,481,,
60,H-CG,0.114788,60,423,,
61,H-CG,0.118576,61,412,,
62,H-CG,0.252921,62,366,,
63,H-CG,0.125709,63,421,,
64,H-CG,0.265114,64,346,,
65,H-CG,0.295462,65,459,,
66,H-CG,0.137482,66,430,,
67,H-CG,0.230208,67,342,,
68,H-CG,0.263722,68,324,,
69,H-CG,0.151248,69,288,,
70,H-CG,0.174592,70,298,,
71,H-CG,0.159243,71,472,,
72,H-CG,0.175875,72,387,,
73,H-CG,0.169563,73,402,,
74,H-CG,0.194179,74,435,,
75,H-CG,0.213747,75,435,,
76,H-CG,0.180683,76,498,,
77,H-CG,0.186585,77,481,,
78,H-CG,0.205591,78,403,,
79,H-CG,0.354274,79,343,,
80,H-CG,0.363041,80,377,,
81,H-CG,0.264744,81,512,,
82,H-CG,0.445538,82,445,,
83,H-CG,0.249995,83,430,,
84,H-CG,0.222413,84,491,,
85,H-CG,0.226321,85,443,,
86,H-CG,0.23117,86,378,,
87,H-CG,0.271386,87,427,,
88,H-CG,0.267379,88,355,,
89,H-CG,0.290092,89,463,,
90,H-CG,0.273391,90,265,,
91,H-CG,0.279472,91,428,,
92,H-CG,0.259023,92,361,,
93,H-CG,0.267329,93,407,,
94,H-CG,0.279702,94,386,,
95,H-CG,0.290653,95,435,,
96,H-CG,0.292356,96,413,,
97,H-CG,0.295372,97,377,,
98,H-CG,0.297035,98,354,,
99,H-CG,0.345577,99,473,,
10,H-AGM,0.028635,10,368,,
11,H-AGM,0.030718,11,316,,
12,H-AGM,0.067718,12,319,,
13,H-AGM,0.035678,13,260,,
14,H-AGM,0.071966,14,388,,
15,H-AGM,0.046378,15,298,,
16,H-AGM,0.058221,16,406,,
17,H-AGM,0.114888,17,200,,
18,H-AGM,0.130197,18,606,,
19,H-AGM,0.076957,19,511,,
20,H-AGM,0.146148,20,598,,
21,H-AGM,0.160295,21,476,,
22,H-AGM,0.096102,22,759,,
23,H-AGM,0.163762,23,636,,
24,H-AGM,0.097565,24,741,,
25,H-AGM,0.18393,25,623,,
26,H-AGM,0.200201,26,554,,
27,H-AGM,0.136059,27,735,,
28,H-AGM,0.145918,28,734,,
29,H-AGM,0.18403,29,601,,
30,H-AGM,0.170344,30,837,,
31,H-AGM,0.164042,31,823,,
32,H-AGM,0.313025,32,647,,
33,H-AGM,0.202615,33,847,,
34,H-AGM,0.209949,34,697,,
35,H-AGM,0.191084,35,708,,
36,H-AGM,0.232091,36,731,,
37,H-AGM,0.259354,37,982,,
38,H-AGM,0.254013,38,921,,
39,H-AGM,0.274673,39,759,,
40,H-AGM,0.470645,40,1071,,
41,H-AGM,0.189,41,821,,
42,H-AGM,0.269263,42,910,,
43,H-AGM,0.291415,43,948,,
44,H-AGM,0.636741,44,814,,
45,H-AGM,0.358062,45,1284,,
46,H-AGM,0.365756,46,839,,
47,H-AGM,0.385263,47,793,,
48,H-AGM,0.395623,48,1198,,
49,H-AGM,0.316592,49,929,,
50,H-AGM,0.663933,50,1469,,
51,H-AGM,0.4885,51,1151,,
52,H-AGM,0.761218,52,1090,,
53,H-AGM,0.745558,53,1389,,
54,H-AGM,0.674384,54,1083,,
55,H-AGM,0.70927,55,1399,,
56,H-AGM,0.531802,56,1463,,
57,H-AGM,0.474503,57,1399,,
58,H-AGM,0.960618,58,1660,,
59,H-AGM,0.582227,59,1129,,
60,H-AGM,1.1014,60,1427,,
61,H-AGM,0.564985,61,1450,,
62,H-AGM,0.885104,62,1545,,
63,H-AGM,0.749696,63,1235,,
64,H-AGM,0.695423,64,1484,,
65,H-AGM,0.763593,65,1598,,
66,H-AGM,0.594491,66,1511,,
67,H-AGM,0.645298,67,1217,,
68,H-AGM,1.05284,68,1291,,
69,H-AGM,0.80401,69,1551,,
70,H-AGM,0.804931,70,1501,,
71,H-AGM,0.833957,71,1496,,
72,H-AGM,1.31148,72,1623,,
73,H-AGM,0.769234,73,1281,,
74,H-AGM,0.910303,74,1738,,
75,H-AGM,0.93552,75,1873,,
76,H-AGM,0.969675,76,1921,,
77,H-AGM,1.09238,77,2026,,
78,H-AGM,0.879594,78,1685,,
79,H-AGM,1.0315,79,1876,,
80,H-AGM,1.49931,80,1991,,
81,H-AGM,0.941802,81,2096,,
82,H-AGM,0.97196,82,2240,,
83,H-AGM,0.985555,83,1653,,
84,H-AGM,1.00839,84,1624,,
85,H-AGM,1.02274,85,1676,,
86,H-AGM,1.75456,86,2142,,
87,H-AGM,1.13689,87,2026,,
88,H-AGM,1.09618,88,2317,,
89,H-AGM,0.945279,89,1353,,
90,H-AGM,1.13913,90,2014,,
91,H-AGM,1.17246,91,1675,,
92,H-AGM,1.21344,92,1975,,
93,H-AGM,1.23782,93,2284,,
94,H-AGM,1.06265,94,1981,,
95,H-AGM,1.28568,95,2211,,
96,H-AGM,1.51995,96,1940,,
97,H-AGM,1.32251,97,2548,,
98,H-AGM,1.58559,98,1995,,
99,H-AGM,1.51879,99,2307,,
10,BL,0.009648,10,284,,
11,BL,0.019377,11,194,,
12,BL,0.017794,12,251,,
13,BL,0.017463,13,219,,
14,BL,0.020429,14,259,,
15,BL,0.029506,15,199,,
16,BL,0.033483,16,239,,
17,BL,0.024085,17,171,,
18,BL,0.032382,18,284,,
19,BL,0.036339,19,247,,
20,BL,0.058361,20,261,,
21,BL,0.046899,21,146,,
22,BL,0.038945,22,177,,
23,BL,0.139185,23,306,,
24,BL,0.090433,24,178,,
25,BL,0.0739,25,321,,
26,BL,0.192136,26,280,,
27,BL,0.129116,27,291,,
28,BL,0.169232,28,313,,
29,BL,0.100491,29,246,,
30,BL,0.14195,30,290,,
31,BL,0.081926,31,315,,
32,BL,0.137963,32,321,,
33,BL,0.128936,33,376,,
34,BL,0.203186,34,258,,
35,BL,0.120559,35,283,,
36,BL,0.154244,36,334,,
37,BL,0.226692,37,271,,
38,BL,0.36276,38,368,,
39,BL,0.154254,39,297,,
40,BL,0.12605,40,393,,
41,BL,0.19976,41,282,,
42,BL,0.413196,42,253,,
43,BL,0.181695,43,366,,
44,BL,0.38864,44,267,,
