instancia,metodo,tiempo,tamaño,costo,tipo_memoria,iteraciones,T
gr17,BL-Tabu,0.193076,17,2370,ciclos,20000,3
a280,BL-Tabu,47.0373,280,3493,ciclos,20000,3
att48,BL-Tabu,1.5516,48,13929,ciclos,20000,3
bayg29,BL-Tabu,0.564601,29,2203,ciclos,20000,3
bays29,BL-Tabu,0.6783,29,2690,ciclos,20000,3
berlin52,BL-Tabu,1.98353,52,10414,ciclos,20000,3
bier127,BL-Tabu,9.95113,127,155477,ciclos,20000,3
brazil58,BL-Tabu,3.81534,58,30367,ciclos,20000,3
brg180,BL-Tabu,33.0128,180,120770,ciclos,20000,3
burma14,BL-Tabu,0.186638,14,4091,ciclos,20000,3
ch130,BL-Tabu,10.837,130,8280,ciclos,20000,3
ch150,BL-Tabu,13.6667,150,9320,ciclos,20000,3
d198,BL-Tabu,25.1746,198,19348,ciclos,20000,3
d493,BL-Tabu,145.151,493,45335,ciclos,20000,3
dantzig42,BL-Tabu,1.57839,42,920,ciclos,20000,3
eil51,BL-Tabu,1.78068,51,606,ciclos,20000,3
eil76,BL-Tabu,4.36464,76,732,ciclos,20000,3
fl417,BL-Tabu,104.827,417,16017,ciclos,20000,3
fri26,BL-Tabu,0.489702,26,1137,ciclos,20000,3
gil262,BL-Tabu,40.1318,262,3266,ciclos,20000,3
gr120,BL-Tabu,8.18829,120,9920,ciclos,20000,3
gr137,BL-Tabu,10.3001,137,94475,ciclos,20000,3
gr17,BL-Tabu,0.272653,17,2370,ciclos,20000,3
gr202,BL-Tabu,23.548,202,52616,ciclos,20000,3
gr21,BL-Tabu,0.329391,21,3747,ciclos,20000,3
gr229,BL-Tabu,29.6107,229,179347,ciclos,20000,3
gr24,BL-Tabu,0.715736,24,1643,ciclos,20000,3
gr431,BL-Tabu,124.495,431,228527,ciclos,20000,3
gr48,BL-Tabu,1.82725,48,7188,ciclos,20000,3
gr96,BL-Tabu,5.00243,96,75251,ciclos,20000,3
hk48,BL-Tabu,1.42714,48,14964,ciclos,20000,3
kroA100,BL-Tabu,5.74172,100,30517,ciclos,20000,3
kroA150,BL-Tabu,12.125,150,38780,ciclos,20000,3
kroA200,BL-Tabu,22.5443,200,40235,ciclos,20000,3
kroB100,BL-Tabu,7.24978,100,28808,ciclos,20000,3
kroB150,BL-Tabu,12.9567,150,35291,ciclos,20000,3
kroB200,BL-Tabu,25.7962,200,40616,ciclos,20000,3
