instancia,metodo,tiempo,tamaño,costo,tipo_memoria,iteraciones,T
50,H-CG,0.099338,50,2360,,,
50,H-CG,0.09526,50,2739,,,
50,H-CG,0.091243,50,2729,,,
50,H-CG,0.091433,50,2547,,,
50,H-CG,0.10105,50,2596,,,
50,H-CG,0.100911,50,2631,,,
50,H-CG,0.108875,50,2220,,,
50,H-CG,0.091212,50,2518,,,
50,H-CG,0.164471,50,2211,,,
50,H-CG,0.090922,50,2291,,,
50,H-CG,0.081113,50,2601,,,
50,H-CG,0.081174,50,2325,,,
50,H-CG,0.091674,50,2600,,,
50,H-CG,0.110148,50,2470,,,
50,H-CG,0.091213,50,2406,,,
50,H-CG,0.081634,50,2583,,,
50,H-CG,0.091102,50,2465,,,
50,H-CG,0.167116,50,2382,,,
50,H-CG,0.101321,50,2643,,,
50,H-CG,0.091062,50,2674,,,
50,H-CG,0.091292,50,2525,,,
50,H-CG,0.068159,50,2014,,,
50,H-CG,0.090952,50,2549,,,
50,H-CG,0.083868,50,2530,,,
50,H-CG,0.081314,50,2446,,,
50,H-CG,0.091463,50,2904,,,
50,H-CG,0.091423,50,2595,,,
50,H-CG,0.091393,50,2657,,,
50,H-CG,0.092425,50,2634,,,
50,H-CG,0.098826,50,2510,,,
50,H-CG,0.091694,50,2413,,,
50,H-CG,0.086864,50,2666,,,
50,H-CG,0.110369,50,2512,,,
50,H-CG,0.092575,50,2632,,,
50,H-CG,0.090661,50,2733,,,
50,H-CG,0.092654,50,2343,,,
50,H-CG,0.103135,50,2015,,,
50,H-CG,0.091292,50,2827,,,
50,H-CG,0.094378,50,2704,,,
50,H-CG,0.092454,50,2609,,,
50,H-CG,0.090401,50,2665,,,
50,H-CG,0.100941,50,2627,,,
50,H-CG,0.103145,50,2944,,,
50,H-CG,0.096553,50,2328,,,
50,H-CG,0.181413,50,2295,,,
50,H-CG,0.099417,50,2177,,,
50,H-CG,0.082325,50,2773,,,
50,H-CG,0.091553,50,2894,,,
50,H-CG,0.098937,50,2152,,,
50,H-CG,0.082997,50,2615,,,
50,H-CG,0.092004,50,2295,,,
50,H-CG,0.079951,50,3050,,,
50,H-CG,0.092444,50,2504,,,
50,H-CG,0.081434,50,2246,,,
50,H-CG,0.088498,50,2517,,,
50,H-CG,0.090421,50,2127,,,
50,H-CG,0.14832,50,2461,,,
50,H-CG,0.155614,50,2293,,,
50,H-CG,0.083247,50,3079,,,
50,H-CG,0.099318,50,2662,,,
50,H-CG,0.146227,50,2503,,,
50,H-CG,0.167516,50,2660,,,
50,H-CG,0.098596,50,2948,,,
50,H-CG,0.103154,50,2462,,,
50,H-CG,0.087645,50,2661,,,
50,H-CG,0.096702,50,2389,,,
50,H-CG,0.091533,50,2752,,,
50,H-CG,0.083888,50,2371,,,
50,H-CG,0.091072,50,2435,,,
50,H-CG,0.102002,50,2703,,,
50,H-CG,0.091783,50,2497,,,
50,H-CG,0.096422,50,2469,,,
50,H-CG,0.091713,50,2420,,,
50,H-CG,0.082956,50,2527,,,
50,H-CG,0.090861,50,2583,,,
50,H-CG,0.082295,50,2456,,,
50,H-CG,0.081855,50,2304,,,
50,H-CG,0.083047,50,2482,,,
50,H-CG,0.081985,50,2427,,,
50,H-CG,0.100049,50,2475,,,
50,H-CG,0.090792,50,2308,,,
50,H-CG,0.091512,50,2515,,,
50,H-CG,0.10047,50,2730,,,
50,H-CG,0.082556,50,2417,,,
50,H-CG,0.094919,50,2299,,,
50,H-CG,0.091503,50,2343,,,
50,H-CG,0.098677,50,2293,,,
50,H-CG,0.091162,50,2553,,,
50,H-CG,0.091583,50,2600,,,
50,H-CG,0.098406,50,2536,,,
50,H-CG,0.091142,50,2514,,,
50,H-CG,0.081935,50,2712,,,
50,H-CG,0.090451,50,2168,,,
50,H-CG,0.105019,50,2313,,,
50,H-CG,0.109797,50,2632,,,
50,H-CG,0.091823,50,2555,,,
50,H-CG,0.082075,50,2333,,,
50,H-CG,0.091493,50,2441,,,
50,H-CG,0.080913,50,2570,,,
50,H-AGM,0.450431,50,1151,,,
50,H-AGM,0.460359,50,1295,,,
50,H-AGM,0.369247,50,808,,,
50,H-AGM,0.445251,50,1060,,,
50,H-AGM,0.463646,50,899,,,
50,H-AGM,0.421235,50,1624,,,
