instancia,metodo,tiempo,tamaño,costo,tipo_memoria,iteraciones,T
10,H-CG,0.006442,10,564,,,
11,H-CG,0.008335,11,473,,,
12,H-CG,0.008526,12,605,,,
13,H-CG,0.009488,13,547,,,
14,H-CG,0.018896,14,653,,,
15,H-CG,0.017143,15,613,,,
16,H-CG,0.011802,16,1023,,,
17,H-CG,0.014067,17,1032,,,
18,H-CG,0.014307,18,771,,,
19,H-CG,0.01588,19,941,,,
20,H-CG,0.017062,20,1223,,,
21,H-CG,0.018565,21,914,,,
22,H-CG,0.02132,22,858,,,
23,H-CG,0.019988,23,1157,,,
24,H-CG,0.016782,24,1261,,,
25,H-CG,0.049834,25,1050,,,
26,H-CG,0.026289,26,1174,,,
27,H-CG,0.029646,27,1320,,,
28,H-CG,0.030527,28,1149,,,
29,H-CG,0.030117,29,1306,,,
30,H-CG,0.034766,30,1363,,,
31,H-CG,0.033744,31,1522,,,
32,H-CG,0.038933,32,1338,,,
33,H-CG,0.052038,33,1613,,,
34,H-CG,0.044063,34,1405,,,
35,H-CG,0.082556,35,1514,,,
36,H-CG,0.078869,36,1890,,,
37,H-CG,0.051788,37,2096,,,
38,H-CG,0.048592,38,1792,,,
39,H-CG,0.053842,39,1873,,,
40,H-CG,0.108124,40,2095,,,
41,H-CG,0.061576,41,2308,,,
42,H-CG,0.104066,42,2187,,,
43,H-CG,0.061095,43,2122,,,
44,H-CG,0.071675,44,2668,,,
45,H-CG,0.086724,45,2398,,,
46,H-CG,0.077166,46,2175,,,
47,H-CG,0.082937,47,2408,,,
48,H-CG,0.090711,48,2597,,,
49,H-CG,0.10605,49,2382,,,
50,H-CG,0.146266,50,2550,,,
51,H-CG,0.093386,51,3009,,,
52,H-CG,0.098847,52,2726,,,
53,H-CG,0.107673,53,2583,,,
54,H-CG,0.132891,54,2598,,,
55,H-CG,0.109737,55,2790,,,
56,H-CG,0.101392,56,3126,,,
57,H-CG,0.125768,57,2904,,,
58,H-CG,0.118794,58,2598,,,
59,H-CG,0.159311,59,2876,,,
60,H-CG,0.131549,60,2625,,,
61,H-CG,0.242107,61,2913,,,
62,H-CG,0.130988,62,3143,,,
63,H-CG,0.20145,63,3123,,,
64,H-CG,0.133823,64,3277,,,
65,H-CG,0.158489,65,3051,,,
66,H-CG,0.149513,66,3197,,,
67,H-CG,0.151606,67,3265,,,
68,H-CG,0.165022,68,3361,,,
69,H-CG,0.163949,69,3465,,,
70,H-CG,0.166965,70,3155,,,
71,H-CG,0.175872,71,3199,,,
72,H-CG,0.251595,72,3791,,,
73,H-CG,0.191381,73,3571,,,
74,H-CG,0.194908,74,3934,,,
75,H-CG,0.209746,75,3782,,,
76,H-CG,0.206289,76,3680,,,
77,H-CG,0.210407,77,3855,,,
78,H-CG,0.192243,78,4011,,,
79,H-CG,0.230024,79,3616,,,
80,H-CG,0.202252,80,4377,,,
81,H-CG,0.235174,81,3973,,,
82,H-CG,0.230465,82,3832,,,
83,H-CG,0.219885,83,4542,,,
84,H-CG,0.250774,84,4032,,,
85,H-CG,0.231988,85,4192,,,
86,H-CG,0.233731,86,4653,,,
87,H-CG,0.266794,87,4585,,,
88,H-CG,0.199757,88,4637,,,
89,H-CG,0.251174,89,4350,,,
90,H-CG,0.258067,90,4434,,,
91,H-CG,0.292432,91,4362,,,
92,H-CG,0.282093,92,4433,,,
93,H-CG,0.355481,93,5026,,,
94,H-CG,0.280239,94,4908,,,
95,H-CG,0.315916,95,4711,,,
96,H-CG,0.293694,96,4221,,,
97,H-CG,0.359799,97,5402,,,
98,H-CG,0.217621,98,5208,,,
99,H-CG,0.308642,99,4954,,,
10,H-AGM,0.046378,10,368,,,
11,H-AGM,0.032221,11,316,,,
12,H-AGM,0.034956,12,319,,,
13,H-AGM,0.043321,13,260,,,
14,H-AGM,0.085422,14,388,,,
15,H-AGM,0.086964,15,298,,,
16,H-AGM,0.060274,16,406,,,
17,H-AGM,0.093857,17,200,,,
18,H-AGM,0.070854,18,606,,,
19,H-AGM,0.10089,19,511,,,
20,H-AGM,0.180691,20,598,,,
21,H-AGM,0.092685,21,476,,,
22,H-AGM,0.096622,22,759,,,
23,H-AGM,0.115418,23,636,,,
24,H-AGM,0.208062,24,741,,,
25,H-AGM,0.122632,25,623,,,
26,H-AGM,0.145535,26,554,,,
27,H-AGM,0.277825,27,735,,,
28,H-AGM,0.149332,28,734,,,
29,H-AGM,0.199015,29,601,,,
30,H-AGM,0.166064,30,837,,,
31,H-AGM,0.198465,31,823,,,
32,H-AGM,0.208634,32,647,,,
33,H-AGM,0.271292,33,847,,,
34,H-AGM,0.216249,34,697,,,
35,H-AGM,0.229603,35,708,,,
36,H-AGM,0.251996,36,731,,,
37,H-AGM,0.444279,37,982,,,
38,H-AGM,0.261904,38,921,,,
39,H-AGM,0.553234,39,759,,,
40,H-AGM,0.27576,40,1071,,,
41,H-AGM,0.295108,41,821,,,
42,H-AGM,0.297732,42,910,,,
43,H-AGM,0.358056,43,948,,,
44,H-AGM,0.363096,44,814,,,
45,H-AGM,0.338489,45,1284,,,
46,H-AGM,0.345903,46,839,,,
47,H-AGM,0.40266,47,793,,,
48,H-AGM,0.40791,48,1198,,,
49,H-AGM,0.387672,49,929,,,
50,H-AGM,0.489534,50,1469,,,
51,H-AGM,0.472382,51,1151,,,
52,H-AGM,0.470549,52,1090,,,
53,H-AGM,0.824036,53,1389,,,
54,H-AGM,0.5138,54,1083,,,
55,H-AGM,0.512668,55,1399,,,
56,H-AGM,0.494143,56,1463,,,
57,H-AGM,0.589283,57,1399,,,
58,H-AGM,0.442555,58,1660,,,
59,H-AGM,0.575417,59,1129,,,
60,H-AGM,0.639518,60,1427,,,
61,H-AGM,0.702266,61,1450,,,
62,H-AGM,0.660237,62,1545,,,
63,H-AGM,0.69439,63,1235,,,
64,H-AGM,0.644317,64,1484,,,
65,H-AGM,0.718667,65,1598,,,
66,H-AGM,0.759664,66,1511,,,
67,H-AGM,1.29418,67,1217,,,
68,H-AGM,0.862609,68,1291,,,
69,H-AGM,0.830168,69,1551,,,
70,H-AGM,0.780022,70,1501,,,
71,H-AGM,0.790443,71,1496,,,
72,H-AGM,0.919005,72,1623,,,
73,H-AGM,0.84258,73,1281,,,
74,H-AGM,0.921981,74,1738,,,
75,H-AGM,0.706193,75,1873,,,
76,H-AGM,1.01615,76,1921,,,
77,H-AGM,1.12573,77,2026,,,
78,H-AGM,1.06239,78,1685,,,
79,H-AGM,1.07221,79,1876,,,
80,H-AGM,1.12201,80,1991,,,
81,H-AGM,1.14009,81,2096,,,
82,H-AGM,1.17054,82,2240,,,
83,H-AGM,1.19948,83,1653,,,
84,H-AGM,1.08502,84,1624,,,
85,H-AGM,1.11492,85,1676,,,
86,H-AGM,1.39815,86,2142,,,
87,H-AGM,1.18043,87,2026,,,
88,H-AGM,1.06362,88,2317,,,
89,H-AGM,1.22026,89,1353,,,
