instancia,metodo,tiempo,tamaño,costo,tipo_memoria,iteraciones,T
gr17,H-CG,0.014078,17,4763,,,
a280,H-CG,1.76419,280,4150,,,
att48,H-CG,0.083706,48,50306,,,
bayg29,H-CG,0.035561,29,5005,,,
bays29,H-CG,0.058206,29,6193,,,
berlin52,H-CG,0.07059,52,22066,,,
bier127,H-CG,0.494621,127,415894,,,
brazil58,H-CG,0.121832,58,131340,,,
brg180,H-CG,0.658537,180,963110,,,
burma14,H-CG,0.010181,14,4840,,,
ch130,H-CG,0.504582,130,47935,,,
ch150,H-CG,0.61481,150,52645,,,
d198,H-CG,0.896208,198,27348,,,
d493,H-CG,5.82843,493,123615,,,
dantzig42,H-CG,0.075269,42,1147,,,
eil51,H-CG,0.101672,51,1371,,,
eil76,H-CG,0.19635,76,2095,,,
fl417,H-CG,3.44933,417,57227,,,
fri26,H-CG,0.027875,26,1449,,,
gil262,H-CG,1.57827,262,26442,,,
gr120,H-CG,0.451726,120,50305,,,
gr137,H-CG,0.446817,137,121157,,,
gr17,H-CG,0.020641,17,4763,,,
gr202,H-CG,0.847011,202,78560,,,
gr21,H-CG,0.017234,21,6955,,,
gr229,H-CG,1.03999,229,245235,,,
gr24,H-CG,0.047524,24,3292,,,
gr431,H-CG,3.78438,431,338768,,,
gr48,H-CG,0.084718,48,18936,,,
gr96,H-CG,0.307019,96,101445,,,
hk48,H-CG,0.084779,48,49319,,,
kroA100,H-CG,0.353291,100,188264,,,
kroA150,H-CG,0.569159,150,288668,,,
kroA200,H-CG,0.898593,200,369360,,,
kroB100,H-CG,0.348752,100,157801,,,
kroB150,H-CG,0.50891,150,271636,,,
kroB200,H-CG,0.94245,200,327116,,,
kroC100,H-CG,0.318912,100,183606,,,
kroD100,H-CG,0.317279,100,169384,,,
kroE100,H-CG,0.315024,100,185906,,,
lin105,H-CG,0.266769,105,36372,,,
lin318,H-CG,2.02116,318,121828,,,
linhp318,H-CG,2.02265,318,121828,,,
pcb442,H-CG,4.04792,442,239248,,,
pr107,H-CG,0.37279,107,78129,,,
pr124,H-CG,0.429422,124,137061,,,
pr136,H-CG,0.52387,136,320783,,,
pr144,H-CG,0.406437,144,113612,,,
pr152,H-CG,0.555732,152,180095,,,
pr226,H-CG,1.00525,226,150357,,,
pr264,H-CG,1.40816,264,103155,,,
pr299,H-CG,1.84117,299,101596,,,
pr439,H-CG,4.17202,439,343546,,,
pr76,H-CG,0.182773,76,213178,,,
rat195,H-CG,1.05869,195,4734,,,
rat99,H-CG,0.304154,99,2458,,,
rd100,H-CG,0.40359,100,51808,,,
rd400,H-CG,3.86563,400,215469,,,
si175,H-CG,0.673315,175,26966,,,
st70,H-CG,0.173985,70,3403,,,
