instancia,metodo,tiempo,tamaño,costo,tipo_memoria,iteraciones,T
10,BL-Tabu,0.235471,10,269,aristas,10000,3
11,BL-Tabu,0.608346,11,185,aristas,10000,3
12,BL-Tabu,0.506862,12,205,aristas,10000,3
13,BL-Tabu,1.20627,13,195,aristas,10000,3
14,BL-Tabu,0.311578,14,252,aristas,10000,3
15,BL-Tabu,0.517292,15,205,aristas,10000,3
16,BL-Tabu,1.04598,16,260,aristas,10000,3
17,BL-Tabu,0.494768,17,196,aristas,10000,3
18,BL-Tabu,1.01688,18,263,aristas,10000,3
19,BL-Tabu,1.1353,19,335,aristas,10000,3
20,BL-Tabu,1.69673,20,317,aristas,10000,3
21,BL-Tabu,3.14051,21,254,aristas,10000,3
22,BL-Tabu,3.40671,22,239,aristas,10000,3
23,BL-Tabu,1.67838,23,347,aristas,10000,3
24,BL-Tabu,3.07695,24,265,aristas,10000,3
25,BL-Tabu,2.48352,25,315,aristas,10000,3
26,BL-Tabu,2.6678,26,377,aristas,10000,3
27,BL-Tabu,2.66398,27,397,aristas,10000,3
28,BL-Tabu,5.07405,28,283,aristas,10000,3
29,BL-Tabu,4.52079,29,329,aristas,10000,3
30,BL-Tabu,4.57718,30,412,aristas,10000,3
31,BL-Tabu,3.42336,31,331,aristas,10000,3
32,BL-Tabu,4.75756,32,322,aristas,10000,3
33,BL-Tabu,4.70807,33,395,aristas,10000,3
34,BL-Tabu,6.07869,34,348,aristas,10000,3
35,BL-Tabu,5.69404,35,395,aristas,10000,3
36,BL-Tabu,4.34716,36,495,aristas,10000,3
37,BL-Tabu,7.95701,37,386,aristas,10000,3
38,BL-Tabu,7.52344,38,467,aristas,10000,3
39,BL-Tabu,8.69304,39,390,aristas,10000,3
40,BL-Tabu,9.55038,40,552,aristas,10000,3
41,BL-Tabu,8.60995,41,383,aristas,10000,3
42,BL-Tabu,6.96133,42,402,aristas,10000,3
43,BL-Tabu,9.80215,43,493,aristas,10000,3
44,BL-Tabu,7.64158,44,428,aristas,10000,3
45,BL-Tabu,8.52569,45,529,aristas,10000,3
46,BL-Tabu,10.0834,46,394,aristas,10000,3
47,BL-Tabu,12.3325,47,415,aristas,10000,3
48,BL-Tabu,10.9185,48,584,aristas,10000,3
49,BL-Tabu,13.4326,49,426,aristas,10000,3
50,BL-Tabu,9.19024,50,480,aristas,10000,3
51,BL-Tabu,13.948,51,447,aristas,10000,3
52,BL-Tabu,16.3221,52,549,aristas,10000,3
53,BL-Tabu,14.1955,53,544,aristas,10000,3
54,BL-Tabu,14.181,54,552,aristas,10000,3
55,BL-Tabu,15.8159,55,503,aristas,10000,3
56,BL-Tabu,19.906,56,559,aristas,10000,3
57,BL-Tabu,16.5672,57,506,aristas,10000,3
58,BL-Tabu,16.0512,58,517,aristas,10000,3
59,BL-Tabu,15.5228,59,403,aristas,10000,3
60,BL-Tabu,20.6259,60,549,aristas,10000,3
61,BL-Tabu,21.43,61,566,aristas,10000,3
62,BL-Tabu,16.4301,62,552,aristas,10000,3
63,BL-Tabu,20.4425,63,498,aristas,10000,3
64,BL-Tabu,24.0368,64,544,aristas,10000,3
65,BL-Tabu,20.83,65,580,aristas,10000,3
66,BL-Tabu,18.8781,66,553,aristas,10000,3
67,BL-Tabu,24.5381,67,478,aristas,10000,3
68,BL-Tabu,22.2609,68,556,aristas,10000,3
69,BL-Tabu,32.2382,69,457,aristas,10000,3
70,BL-Tabu,28.6369,70,636,aristas,10000,3
71,BL-Tabu,26.9992,71,583,aristas,10000,3
72,BL-Tabu,21.7054,72,637,aristas,10000,3
73,BL-Tabu,38.4359,73,552,aristas,10000,3
74,BL-Tabu,32.6093,74,664,aristas,10000,3
75,BL-Tabu,38.1627,75,731,aristas,10000,3
76,BL-Tabu,31.2968,76,734,aristas,10000,3
77,BL-Tabu,36.0755,77,554,aristas,10000,3
78,BL-Tabu,42.5922,78,566,aristas,10000,3
79,BL-Tabu,45.7368,79,543,aristas,10000,3
80,BL-Tabu,38.4369,80,648,aristas,10000,3
81,BL-Tabu,58.3928,81,549,aristas,10000,3
82,BL-Tabu,37.649,82,662,aristas,10000,3
83,BL-Tabu,41.8686,83,653,aristas,10000,3
84,BL-Tabu,41.2759,84,607,aristas,10000,3
