instancia,metodo,tiempo,tamaño,costo,iteraciones,T
gr17,H-CG,0.013025,17,2187,,
a280,H-CG,1.72343,280,3157,,
att48,H-CG,0.094932,48,12861,,
bayg29,H-CG,0.033404,29,2005,,
bays29,H-CG,0.03103,29,2258,,
berlin52,H-CG,0.116673,52,8980,,
bier127,H-CG,0.344669,127,135737,,
brazil58,H-CG,0.121483,58,30774,,
brg180,H-CG,0.629835,180,12360,,
burma14,H-CG,0.015009,14,4048,,
ch130,H-CG,0.419474,130,7579,,
ch150,H-CG,0.700932,150,8191,,
d198,H-CG,0.769824,198,18240,,
d493,H-CG,5.02487,493,41665,,
dantzig42,H-CG,0.053963,42,956,,
eil51,H-CG,0.150057,51,511,,
eil76,H-CG,0.364248,76,642,,
fl417,H-CG,3.37826,417,15013,,
fri26,H-CG,0.039966,26,1112,,
gil262,H-CG,1.5138,262,3208,,
gr120,H-CG,0.445734,120,9351,,
gr137,H-CG,0.400577,137,93912,,
gr17,H-CG,0.011782,17,2187,,
gr202,H-CG,0.843205,202,49336,,
gr21,H-CG,0.029637,21,3333,,
gr229,H-CG,1.06445,229,162430,,
gr24,H-CG,0.041199,24,1553,,
gr431,H-CG,3.76606,431,210069,,
gr48,H-CG,0.084832,48,6098,,
gr96,H-CG,0.300225,96,70916,,
hk48,H-CG,0.105362,48,13181,,
kroA100,H-CG,0.326606,100,27807,,
kroA150,H-CG,0.56912,150,33633,,
kroA200,H-CG,0.890937,200,35859,,
kroB100,H-CG,0.313701,100,29158,,
kroB150,H-CG,0.693549,150,34499,,
kroB200,H-CG,0.890095,200,36980,,
kroC100,H-CG,0.394085,100,26227,,
kroD100,H-CG,0.313781,100,26947,,
kroE100,H-CG,0.312349,100,27460,,
lin105,H-CG,0.322358,105,20356,,
lin318,H-CG,2.20925,318,54019,,
linhp318,H-CG,2.03057,318,54019,,
pcb442,H-CG,3.96229,442,61979,,
pr107,H-CG,0.311977,107,46680,,
pr124,H-CG,0.44899,124,69297,,
pr136,H-CG,0.455193,136,120769,,
pr144,H-CG,0.493176,144,61652,,
pr152,H-CG,0.452487,152,85699,,
pr226,H-CG,0.992152,226,94683,,
pr264,H-CG,1.36815,264,58023,,
pr299,H-CG,1.9613,299,59890,,
pr439,H-CG,3.80347,439,131281,,
pr76,H-CG,0.170908,76,153462,,
rat195,H-CG,0.731513,195,2752,,
rat99,H-CG,0.294986,99,1554,,
rd100,H-CG,0.309394,100,9938,,
rd400,H-CG,3.53415,400,19183,,
si175,H-CG,0.658072,175,22263,,
st70,H-CG,0.175396,70,830,,
swiss42,H-CG,0.079202,42,1630,,
ts225,H-CG,1.04121,225,152493,,
