instancia,metodo,tiempo,tamaño,costo,tipo_memoria,iteraciones,T
gr17,H-CG,0.022505,17,4763,,,
a280,H-CG,3.48306,280,4150,,,
att48,H-CG,0.153633,48,50306,,,
bayg29,H-CG,0.057914,29,5005,,,
bays29,H-CG,0.056451,29,6193,,,
berlin52,H-CG,0.17933,52,22066,,,
bier127,H-CG,0.702658,127,415894,,,
brazil58,H-CG,0.221624,58,131340,,,
brg180,H-CG,1.456,180,963110,,,
burma14,H-CG,0.016177,14,4840,,,
ch130,H-CG,0.681392,130,47935,,,
ch150,H-CG,0.987264,150,52645,,,
d198,H-CG,1.85801,198,27348,,,
d493,H-CG,10.7576,493,123615,,,
dantzig42,H-CG,0.093703,42,1147,,,
eil51,H-CG,0.169718,51,1371,,,
eil76,H-CG,0.376084,76,2095,,,
fl417,H-CG,7.74101,417,57227,,,
fri26,H-CG,0.048144,26,1449,,,
gil262,H-CG,2.9739,262,26442,,,
gr120,H-CG,0.630106,120,50305,,,
gr137,H-CG,0.826129,137,121157,,,
gr17,H-CG,0.024235,17,4763,,,
gr202,H-CG,1.88428,202,78560,,,
gr21,H-CG,0.026338,21,6955,,,
gr229,H-CG,2.31646,229,245235,,,
gr24,H-CG,0.041871,24,3292,,,
gr431,H-CG,8.07818,431,338768,,,
gr48,H-CG,0.152412,48,18936,,,
gr96,H-CG,0.426117,96,101445,,,
hk48,H-CG,0.149605,48,49319,,,
kroA100,H-CG,0.524453,100,188264,,,
kroA150,H-CG,1.00542,150,288668,,,
kroA200,H-CG,1.74632,200,369360,,,
kroB100,H-CG,0.544468,100,157801,,,
kroB150,H-CG,1.06429,150,271636,,,
kroB200,H-CG,1.84947,200,327116,,,
kroC100,H-CG,0.432678,100,183606,,,
kroD100,H-CG,0.521858,100,169384,,,
kroE100,H-CG,0.444358,100,185906,,,
lin105,H-CG,0.560369,105,36372,,,
lin318,H-CG,4.55092,318,121828,,,
linhp318,H-CG,4.6251,318,121828,,,
pcb442,H-CG,8.6367,442,239248,,,
pr107,H-CG,0.541042,107,78129,,,
pr124,H-CG,0.702685,124,137061,,,
pr136,H-CG,0.80328,136,320783,,,
pr144,H-CG,0.903513,144,113612,,,
pr152,H-CG,1.03924,152,180095,,,
pr226,H-CG,2.20949,226,150357,,,
pr264,H-CG,3.2592,264,103155,,,
pr299,H-CG,4.00717,299,101596,,,
pr439,H-CG,8.61688,439,343546,,,
pr76,H-CG,0.30158,76,213178,,,
rat195,H-CG,1.66057,195,4734,,,
rat99,H-CG,0.508194,99,2458,,,
rd100,H-CG,0.529771,100,51808,,,
rd400,H-CG,6.90164,400,215469,,,
si175,H-CG,1.34241,175,26966,,,
st70,H-CG,0.313987,70,3403,,,
swiss42,H-CG,0.117751,42,2932,,,
ts225,H-CG,2.26179,225,372666,,,
tsp225,H-CG,2.27693,225,11632,,,
u159,H-CG,1.01491,159,68574,,,
ulysses16,H-CG,0.020578,16,11124,,,
ulysses22,H-CG,0.029364,22,13688,,,
gr17,H-AGM,0.104616,17,2352,,,
a280,H-AGM,16.9648,280,3492,,,
att48,H-AGM,0.621491,48,13926,,,
bayg29,H-AGM,0.245133,29,2193,,,
bays29,H-AGM,0.243226,29,2677,,,
berlin52,H-AGM,0.735718,52,10402,,,
bier127,H-AGM,3.85379,127,155472,,,
brazil58,H-AGM,1.12168,58,30336,,,
brg180,H-AGM,7.2846,180,118860,,,
burma14,H-AGM,0.068748,14,4003,,,
ch130,H-AGM,3.6577,130,8279,,,
ch150,H-AGM,5.16425,150,9315,,,
d198,H-AGM,8.78081,198,19347,,,
d493,H-AGM,50.5148,493,45334,,,
dantzig42,H-AGM,0.5961,42,916,,,
eil51,H-AGM,0.877942,51,605,,,
eil76,H-AGM,1.36628,76,731,,,
fl417,H-AGM,37.5176,417,16016,,,
fri26,H-AGM,0.19962,26,1136,,,
gil262,H-AGM,15.1715,262,3265,,,
gr120,H-AGM,3.573,120,9919,,,
gr137,H-AGM,4.16536,137,94463,,,
gr17,H-AGM,0.119873,17,2352,,,
gr202,H-AGM,8.93446,202,52615,,,
gr21,H-AGM,0.16608,21,3738,,,
gr229,H-AGM,11.5344,229,179335,,,
gr24,H-AGM,0.212209,24,1641,,,
gr431,H-AGM,40.401,431,228526,,,
gr48,H-AGM,0.792741,48,7187,,,
gr96,H-AGM,2.59484,96,75225,,,
hk48,H-AGM,0.628203,48,14905,,,
kroA100,H-AGM,2.65299,100,30516,,,
kroA150,H-AGM,4.86059,150,38763,,,
kroA200,H-AGM,8.84911,200,40234,,,
kroB100,H-AGM,2.38551,100,28807,,,
kroB150,H-AGM,5.19345,150,35289,,,
kroB200,H-AGM,8.73143,200,40615,,,
kroC100,H-AGM,2.4371,100,27636,,,
kroD100,H-AGM,2.22242,100,28599,,,
kroE100,H-AGM,2.59454,100,30964,,,
lin105,H-AGM,2.93549,105,21167,,,
lin318,H-AGM,22.6413,318,60978,,,
linhp318,H-AGM,22.9204,318,60978,,,
pcb442,H-AGM,43.3837,442,71264,,,
pr107,H-AGM,3.03423,107,55956,,,
pr124,H-AGM,3.47454,124,82761,,,
pr136,H-AGM,4.15542,136,146988,,,
pr144,H-AGM,4.72046,144,77704,,,
pr152,H-AGM,5.15058,152,90292,,,
pr226,H-AGM,11.4467,226,114702,,,
pr264,H-AGM,15.324,264,66410,,,
pr299,H-AGM,19.2359,299,66918,,,
pr439,H-AGM,40.8586,439,144156,,,
pr76,H-AGM,1.52632,76,147668,,,
rat195,H-AGM,8.57889,195,3278,,,
rat99,H-AGM,2.51091,99,1635,,,
rd100,H-AGM,2.65039,100,10467,,,
rd400,H-AGM,34.3207,400,21105,,,
si175,H-AGM,6.97248,175,22992,,,
st70,H-AGM,1.60329,70,874,,,
swiss42,H-AGM,0.490533,42,1699,,,
ts225,H-AGM,11.3832,225,188008,,,
tsp225,H-AGM,11.1271,225,5324,,,
u159,H-AGM,5.54474,159,54089,,,
ulysses16,H-AGM,0.092843,16,7788,,,
ulysses22,H-AGM,0.182083,22,8308,,,
gr17,BL,0.160655,17,2314,,,
a280,BL,30.6863,280,3394,,,
att48,BL,1.50492,48,12007,,,
bayg29,BL,0.491601,29,1867,,,
bays29,BL,0.556791,29,2293,,,
berlin52,BL,1.67537,52,9079,,,
bier127,BL,7.54659,127,145596,,,
brazil58,BL,1.95736,58,29185,,,
brg180,BL,15.3942,180,2980,,,
burma14,BL,0.134854,14,3452,,,
ch130,BL,10.1731,130,7582,,,
ch150,BL,12.7022,150,8149,,,
d198,BL,22.4719,198,18039,,,
d493,BL,151.02,493,42315,,,
dantzig42,BL,0.731111,42,825,,,
eil51,BL,1.29083,51,572,,,
eil76,BL,2.63103,76,694,,,
fl417,BL,77.9975,417,15218,,,
fri26,BL,0.393775,26,1019,,,
gil262,BL,31.0474,262,2968,,,
gr120,BL,7.15986,120,8460,,,
gr137,BL,7.3158,137,87595,,,
gr17,BL,0.160189,17,2314,,,
gr202,BL,23.6958,202,49124,,,
gr21,BL,0.213876,21,3278,,,
gr229,BL,23.476,229,163510,,,
gr24,BL,0.271927,24,1576,,,
gr431,BL,113.593,431,207417,,,
gr48,BL,1.5081,48,6127,,,
gr96,BL,5.04347,96,69131,,,
hk48,BL,1.20109,48,14276,,,
kroA100,BL,5.23479,100,27725,,,
kroA150,BL,11.2775,150,32821,,,
kroA200,BL,20.6876,200,36119,,,
kroB100,BL,4.74917,100,27286,,,
kroB150,BL,10.3185,150,31975,,,
kroB200,BL,21.2283,200,36722,,,
kroC100,BL,4.51759,100,24703,,,
kroD100,BL,6.08984,100,25173,,,
kroE100,BL,5.23362,100,28204,,,
lin105,BL,4.7718,105,20113,,,
lin318,BL,46.9466,318,57671,,,
linhp318,BL,47.4097,318,57671,,,
pcb442,BL,108.945,442,67085,,,
pr107,BL,4.32873,107,52595,,,
pr124,BL,6.03407,124,78320,,,
pr136,BL,8.18126,136,114187,,,
pr144,BL,9.53797,144,76530,,,
pr152,BL,9.2735,152,86806,,,
pr226,BL,20.7006,226,112261,,,
pr264,BL,35.9,264,59856,,,
pr299,BL,45.878,299,60092,,,
pr439,BL,88.5742,439,138366,,,
pr76,BL,2.30547,76,143867,,,
rat195,BL,23.737,195,2939,,,
rat99,BL,4.34603,99,1553,,,
rd100,BL,5.94054,100,9866,,,
rd400,BL,74.1143,400,19287,,,
